uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin,winner_magar
2001,1954,PRI,DAVID OJEDA OCHOA,,,NA,NA
2001,1956,PRI,SANTOS B COTA,,,NA,NA
2001,1959,PRI,ELPIDIO BERLANGA DE LEON,PAN,ANTONIO JIMENEZ GONZALEZ,NA,NA
2001,1962,PRI,ADOLFO RAMIREZ MENDEZ,,,NA,NA
2001,1965,PRI,JORGE OLGUIN HERMIDA,,,NA,NA
2001,1968,PRI,GUILEBALDO SILVA COTA,,,NA,NA
2001,1971,PRI,OCTAVIO PEREZ PAZUENGO,PAN,,0.4322913268,NA
2001,1974,PRI,JORGE MORENO BONNET,PAN,,0.4181685084,NA
2001,1977,PRI,LUIS GONZALEZ RUIZ,PAN,,0.3197148633,NA
2001,1980,PRI,RAUL RAMIREZ FUNKE,PAN,,0.5037076517,NA
2001,1983,PST,DAVID OJEDA OCHOA,PRI,,0.1039661208,NA
2001,1986,PAN,ERNESTO RUFFO APPEL,PRI,,0.2197448569,NA
2001,1989,PAN,JESUS DEL PALACIO LAFONTAINE,PRI,,0.1725900608,NA
2001,1992,PAN,OSCAR SANCHEZ DEL PALACIO,PRI,,0.082834591,NA
2001,1995,PRI,MANUEL MONTENEGRO ESPINOZA,PAN,LUIS ENRIQUE CHAPELA ZAPIEN,0.0472440945,NA
2001,1998,PRI,DANIEL QUINTERO PEÑA,PAN,CESAR MANCILLAS AMADOR,0.0161895088,NA
2001,2001,PAN_PVEM,JORGE ANTONIO CATALAN SOSA,PRI,GILBERTO ANTONIO HIRATA CHICO,0.0083578127,NA
2001,2004,PAN,CESAR MANCILLAS AMADOR,PRI_PVEM_PT_PEBC,ROGELIO APPEL CHACON,0.0224477597,NA
2001,2007,PAN_PNA_PES,PABLO ALFARO LOPEZ,PRI_PVEM_PEBC,JAIME PALAFOX GRANADOS,0.0145949891,NA
2001,2010,PRI_PVEM,ENRIQUE PELAYO TORRES,PAN_PNA_PES,HUGO ADRIEL ZEPEDA BERRELLEZA,0.1581029777,NA
2001,2013,PRI_PVEM_PT_PES,GILBERTO ANTONIO HIRATA CHICO,PAN_PRD_PNA_PEBC,FRANCISCO JAVIER SANCHEZ CORONA,0.2287112709,NA
2001,2016,PRI_PT_PVEM_PNA,MARCO ANTONIO NOVELO OSUNA,PAN,CARLOS LOYOLA PETERSON,0.0323980193,NA
2001,2019,PVEM_PT_TRANS_MORENA,ARMANDO AYALA ROBLES,PAN,MARIA ELOISA TALAVERA HERNANDEZ,0.3470992596,NA
2002,1954,PRI,RODOLFO ESCAMILLA SOTO,,,NA,NA
2002,1956,PRI,RAUL TIZNADO AGUILAR,,,NA,NA
2002,1959,PRI,JOAQUIN RAMIREZ ARBALLO,PAN,SAMUEL MARTINEZ,NA,NA
2002,1962,PRI,CARLOS RUBIO PARRA,,,NA,NA
2002,1965,PRI,JOSE MARIA RODRIGUEZ MERIDA,,,NA,NA
2002,1968,PRI,FRANCISCO GALLEGO MONGE,,,NA,NA
2002,1971,PRI,ROBERTO MAZON NORIEGA,PAN,,0.2174512161,NA
2002,1974,PRI,ARMANDO GALLEGO MORENO,PAN,,0.3059869882,NA
2002,1977,PRI,FRANCISCO SANTANA PERALTA,PAN,,0.3775923538,NA
2002,1980,PRI,EDUARDO MARTINEZ PALOMERA,PAN,,0.269752756,NA
2002,1983,PRI,FRANCISCO SANTANA PERALTA,PAN,EUGENIO ELORDUY WALTHER,0.1157531413,NA
2002,1986,PRI,GUILLERMO ALDRETE HASS,PAN,,0.2018580398,NA
2002,1989,PRI,MILTON CASTELLANOS GOUT,PAN,,0.1564367905,NA
