Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PAN_PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,CC_1
5,28,SAN LUIS POTOSI ,773,B01,705,112,196,18,6,0,10,6,28,0,376,8,384,146,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C01,705,129,174,19,8,2,9,8,15,0,364,19,383,152,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C02,705,114,192,19,7,3,10,9,12,0,366,12,378,135,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C03,705,118,196,25,12,4,9,16,13,0,393,11,404,147,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C04,705,114,208,36,8,6,8,10,25,0,415,16,431,149,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C05,704,95,213,12,8,1,14,11,14,0,368,11,379,120,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C06,704,108,212,21,7,5,13,7,15,0,388,7,395,130,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C07,704,82,212,23,4,6,10,10,24,0,371,17,388,116,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C08,705,106,198,28,5,2,9,7,21,0,376,14,390,134,PAN_PNA
5,28,SAN LUIS POTOSI ,773,C09,704,108,203,20,10,4,7,10,12,0,374,17,391,130,PAN_PNA
5,28,SAN LUIS POTOSI ,774,B01,685,77,164,21,7,3,4,5,14,0,295,9,304,96,PAN_PNA
5,28,SAN LUIS POTOSI ,774,C01,685,88,175,15,5,0,9,6,13,0,311,14,325,107,PAN_PNA
5,28,SAN LUIS POTOSI ,774,C02,685,84,127,20,6,3,7,8,19,0,274,8,282,111,PAN_PNA
5,28,SAN LUIS POTOSI ,774,C03,685,60,168,20,15,3,6,6,24,0,302,14,316,90,PAN_PNA
5,28,SAN LUIS POTOSI ,774,C04,685,54,164,25,15,4,3,5,16,0,286,11,297,75,PAN_PNA
