Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT,CC_1,CC_2,CC_3
2,45,VENADO ,1536,B01,479,101,44,23,17,48,2,38,43,18,0,334,4,338,141,135,58,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1536,C01,479,114,47,18,15,68,6,36,36,10,0,350,8,358,156,151,43,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1537,B01,589,144,59,31,12,52,2,37,66,19,0,422,16,438,183,177,62,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1538,B01,660,104,67,39,19,72,8,29,61,23,0,422,12,434,141,200,81,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1538,C01,660,105,85,32,16,65,9,33,79,33,0,457,8,465,147,229,81,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1539,B01,577,114,66,33,10,90,4,17,56,20,1,411,11,422,135,212,63,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1539,C01,577,150,43,36,17,41,6,34,39,18,0,384,9,393,190,123,71,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1540,B01,393,103,28,24,10,20,5,31,19,18,0,258,11,269,139,67,52,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1541,B01,433,123,34,17,14,29,9,48,18,11,0,303,19,322,180,81,42,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1542,B01,235,74,32,3,9,20,3,8,33,2,0,184,9,193,85,85,14,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1543,B01,251,81,20,7,5,9,1,28,20,9,0,180,10,190,110,49,21,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1544,B01,714,208,82,18,10,57,2,37,64,16,1,495,26,521,247,203,44,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1544,E01,270,70,27,4,14,25,6,12,18,11,0,187,8,195,88,70,29,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1545,B01,563,128,49,18,24,40,10,28,46,16,0,359,17,376,166,135,58,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1545,E01,222,45,21,7,7,20,2,15,30,6,2,155,9,164,62,71,20,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1546,B01,414,114,48,13,10,22,3,38,29,11,0,288,13,301,155,99,34,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1547,B01,288,60,39,4,2,30,2,17,20,8,0,182,8,190,79,89,14,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1548,B01,139,29,21,1,1,9,3,8,10,1,0,83,2,85,40,40,3,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1549,B01,212,97,18,15,3,14,6,12,0,0,0,165,0,165,115,32,18,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1550,B01,370,72,32,28,11,51,2,18,32,14,0,260,10,270,92,115,53,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1551,B01,421,110,30,13,26,19,8,33,23,12,0,274,21,295,151,72,51,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1552,B01,272,46,39,11,10,17,4,9,36,3,0,175,5,180,59,92,24,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1553,B01,302,80,28,7,1,33,2,12,31,6,0,200,7,207,94,92,14,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1554,B01,288,122,22,8,2,13,5,40,16,3,0,231,10,241,167,51,13,PAN_PNA,PRI_PVEM,PRD_PT
2,45,VENADO ,1555,B01,321,53,31,15,3,49,1,15,39,13,0,219,10,229,69,119,31,PAN_PNA,PRI_PVEM,PRD_PT
