Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PMC,PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA
14,54,AXTLA DE TERRAZAS ,1705,B01,682,102,69,1,91,96,116,0,475,11,486
14,54,AXTLA DE TERRAZAS ,1705,C01,682,89,69,2,121,104,109,0,494,22,516
14,54,AXTLA DE TERRAZAS ,1706,B01,565,68,93,2,73,94,80,0,410,14,424
14,54,AXTLA DE TERRAZAS ,1706,C01,564,74,72,3,70,110,67,1,397,9,406
14,54,AXTLA DE TERRAZAS ,1707,B01,671,77,83,4,80,63,140,1,448,18,466
14,54,AXTLA DE TERRAZAS ,1707,C01,671,83,72,2,69,80,161,0,467,15,482
14,54,AXTLA DE TERRAZAS ,1708,B01,633,80,149,4,52,97,65,0,447,15,462
14,54,AXTLA DE TERRAZAS ,1708,C01,633,88,117,0,34,95,90,0,424,21,445
14,54,AXTLA DE TERRAZAS ,1709,B01,399,92,74,6,19,72,16,1,280,27,307
14,54,AXTLA DE TERRAZAS ,1709,C01,399,101,84,2,23,59,14,0,283,21,304
14,54,AXTLA DE TERRAZAS ,1710,B01,629,77,90,3,144,58,41,0,413,22,435
14,54,AXTLA DE TERRAZAS ,1711,B01,683,104,76,6,72,128,58,0,444,34,478
14,54,AXTLA DE TERRAZAS ,1711,C01,683,110,99,5,76,118,48,0,456,38,494
14,54,AXTLA DE TERRAZAS ,1712,B01,457,51,73,6,24,97,62,0,313,29,342
14,54,AXTLA DE TERRAZAS ,1713,B01,250,35,28,3,66,41,11,0,184,21,205
14,54,AXTLA DE TERRAZAS ,1713,E01,112,16,27,0,20,15,3,0,81,7,88
14,54,AXTLA DE TERRAZAS ,1714,B01,598,66,124,7,21,120,75,0,413,32,445
14,54,AXTLA DE TERRAZAS ,1714,C01,598,99,81,3,19,125,61,2,390,28,418
14,54,AXTLA DE TERRAZAS ,1715,B01,559,97,70,7,44,117,38,0,373,32,405
14,54,AXTLA DE TERRAZAS ,1716,B01,563,64,53,4,63,108,92,0,384,25,409
14,54,AXTLA DE TERRAZAS ,1716,C01,563,77,75,2,47,108,85,0,394,26,420
14,54,AXTLA DE TERRAZAS ,1717,B01,705,116,62,5,51,203,59,1,497,43,540
14,54,AXTLA DE TERRAZAS ,1718,B01,443,63,92,2,47,37,59,0,300,21,321
14,54,AXTLA DE TERRAZAS ,1718,C01,442,62,94,1,34,53,54,0,298,20,318
14,54,AXTLA DE TERRAZAS ,1719,B01,514,95,133,4,7,64,38,0,341,35,376
14,54,AXTLA DE TERRAZAS ,1719,C01,513,90,112,3,21,68,56,0,350,31,381
14,54,AXTLA DE TERRAZAS ,1720,B01,566,69,157,5,29,88,26,1,375,26,401
14,54,AXTLA DE TERRAZAS ,1720,C01,566,69,102,14,43,93,28,0,349,38,387
14,54,AXTLA DE TERRAZAS ,1720,C02,566,66,119,8,32,128,27,0,380,33,413
14,54,AXTLA DE TERRAZAS ,1721,B01,458,29,120,15,14,98,11,2,289,29,318
14,54,AXTLA DE TERRAZAS ,1721,C01,458,36,126,15,7,93,22,0,299,33,332
14,54,AXTLA DE TERRAZAS ,1722,B01,530,77,118,9,24,52,102,0,382,19,401
14,54,AXTLA DE TERRAZAS ,1722,C01,529,83,98,8,42,54,84,0,369,24,393
14,54,AXTLA DE TERRAZAS ,1723,B01,670,111,76,9,79,101,58,0,434,62,496
14,54,AXTLA DE TERRAZAS ,1723,C01,670,84,92,8,110,82,67,0,443,52,495
14,54,AXTLA DE TERRAZAS ,1724,B01,486,104,83,4,36,80,42,0,349,44,393
14,54,AXTLA DE TERRAZAS ,1724,C01,486,99,79,4,30,84,43,0,339,41,380
14,54,AXTLA DE TERRAZAS ,1725,B01,609,133,110,4,24,87,15,0,373,33,406
14,54,AXTLA DE TERRAZAS ,1725,C01,608,125,109,7,31,82,23,0,377,32,409
