Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PMC,PNA,CC_PAN_PT_PMC_PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PT_PMC_PNA,CC_1
2,17,GUADALCAZAR ,437,B01,541,110,176,5,2,10,18,31,0,352,17,369,171,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,438,B01,179,47,49,2,2,1,8,22,0,131,1,132,80,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,439,B01,441,95,147,4,4,0,27,24,0,301,5,306,150,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,439,E01,97,37,14,0,2,0,0,11,0,64,1,65,50,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,440,B01,517,88,228,1,4,0,13,24,0,358,26,384,129,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,441,B01,609,122,230,1,6,1,3,39,0,402,17,419,171,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,441,C01,608,129,213,0,2,1,5,51,0,401,21,422,188,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,442,B01,250,47,106,1,0,0,0,28,0,182,3,185,75,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,443,B01,378,73,136,1,4,9,14,31,0,268,16,284,131,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,443,C01,377,68,133,2,2,8,4,30,0,247,12,259,112,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,444,B01,193,46,79,0,0,0,1,16,0,142,7,149,63,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,445,B01,457,143,109,1,1,7,4,20,0,285,17,302,175,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,446,B01,719,137,234,10,3,16,10,35,0,445,21,466,201,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,447,B01,564,121,218,4,5,5,0,41,0,394,15,409,172,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,447,C01,564,104,225,3,3,6,1,37,0,379,12,391,151,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,447,C02,564,95,243,3,3,5,2,36,0,387,7,394,141,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,448,B01,671,134,258,6,0,4,5,48,0,455,30,485,191,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,449,B01,706,172,266,0,6,3,12,42,0,501,18,519,235,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,450,B01,707,139,283,7,3,1,2,47,0,482,16,498,192,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,451,B01,491,104,158,36,1,5,3,43,0,350,21,371,156,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,451,C01,491,79,188,26,8,10,7,35,3,356,11,367,139,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,451,E01,410,79,172,4,1,1,1,47,0,305,12,317,129,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,451,E1C1,410,78,124,4,0,5,2,71,0,284,27,311,156,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,452,B01,393,14,227,0,2,1,1,3,0,248,24,272,21,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,453,B01,153,18,75,0,0,0,0,12,0,105,5,110,30,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,454,B01,404,87,138,2,3,2,5,20,0,257,19,276,117,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,454,C01,403,106,144,5,3,1,6,18,0,283,11,294,134,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,455,B01,127,3,75,0,0,0,0,1,0,79,3,82,4,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,456,B01,108,35,29,0,0,0,3,10,0,77,8,85,48,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,457,B01,400,108,145,2,2,0,3,25,0,285,12,297,138,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,458,B01,497,47,141,19,1,143,0,37,0,388,8,396,228,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,459,B01,144,29,48,5,1,3,0,14,0,100,2,102,47,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,460,B01,150,19,56,3,3,2,2,9,0,94,10,104,35,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,461,B01,217,62,52,1,3,1,2,10,0,131,12,143,78,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,462,B01,661,192,165,6,6,1,5,28,0,403,23,426,232,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,463,B01,577,152,223,5,4,4,5,33,0,426,20,446,198,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,464,B01,454,66,174,41,1,16,5,17,0,320,13,333,105,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,465,B01,387,81,108,1,8,1,1,18,0,218,19,237,109,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,465,C01,387,87,83,3,15,4,4,28,0,224,17,241,138,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,466,B01,535,118,182,0,2,0,11,19,0,332,28,360,150,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,466,C01,534,93,195,2,5,1,9,19,0,324,25,349,127,PAN_PT_PMC_PNA
2,17,GUADALCAZAR ,467,B01,238,115,18,0,1,1,1,23,0,159,6,165,141,PAN_PT_PMC_PNA
