Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PMC,CC_1,CC_2,CC_3
4,22,MOCTEZUMA ,591,B01,674,65,65,15,9,10,79,48,20,37,33,24,0,405,20,425,122,108,96,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,592,B01,629,67,83,7,6,14,127,25,6,29,44,11,0,419,12,431,102,141,49,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,592,C01,629,50,64,17,11,7,158,18,10,24,27,11,0,397,13,410,84,98,57,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,593,B01,734,39,99,18,11,13,128,36,24,20,44,25,0,457,14,471,83,156,90,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,593,C01,733,54,85,11,6,18,169,34,16,25,46,21,0,485,14,499,95,149,72,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,593,E01,590,36,46,10,2,37,132,18,6,24,22,9,0,342,17,359,66,105,39,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,594,B01,136,20,10,0,14,7,26,1,1,4,11,4,0,98,5,103,25,28,19,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,596,B01,183,27,17,1,1,9,55,3,1,7,4,2,0,127,6,133,35,30,7,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,597,B01,451,26,85,8,4,10,97,5,3,10,55,7,0,310,12,322,39,150,24,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,598,B01,420,57,37,14,7,9,100,15,7,32,21,9,0,308,12,320,96,67,45,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,599,B01,270,57,23,2,2,2,48,3,6,34,12,2,0,191,16,207,97,37,9,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,600,B01,312,21,41,8,10,16,54,7,3,19,29,6,0,214,10,224,43,86,31,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,601,B01,681,115,91,7,5,4,93,53,7,38,29,17,0,459,19,478,160,124,82,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,602,B01,363,26,31,11,7,5,123,8,8,12,17,12,0,260,3,263,46,53,38,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,603,B01,481,67,39,6,9,7,127,19,0,37,17,4,0,332,19,351,104,63,38,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,604,B01,542,82,50,7,15,7,141,12,9,48,21,13,0,405,14,419,139,78,47,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,605,B01,456,36,58,6,2,17,146,7,6,12,28,4,0,322,19,341,54,103,19,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,606,B01,545,26,88,7,7,7,82,25,5,7,38,19,0,311,15,326,38,133,58,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,607,B01,646,43,78,14,7,3,105,25,8,18,36,26,0,363,16,379,69,117,72,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,608,B01,737,84,80,1,1,12,117,3,7,77,69,4,0,455,23,478,168,161,9,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,609,B01,458,35,63,21,8,6,81,11,2,3,12,8,0,250,9,259,40,81,48,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,610,B01,394,10,46,23,9,8,74,10,4,4,18,26,0,232,13,245,18,72,68,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,611,B01,328,16,74,4,4,6,22,2,8,0,40,7,0,183,7,190,24,120,17,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,612,B01,614,24,43,4,7,12,158,36,4,16,18,27,0,349,18,367,44,73,74,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,613,B01,393,7,14,28,3,0,122,44,2,2,1,29,0,252,8,260,11,15,104,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,613,C01,393,12,12,29,4,1,120,44,1,4,8,29,0,264,8,272,17,21,106,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,614,B01,233,16,23,28,6,1,60,5,2,4,4,6,0,155,12,167,22,28,45,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,22,MOCTEZUMA ,615,B01,377,3,12,81,14,6,44,23,5,5,1,29,0,223,18,241,13,19,147,PAN_PNA,PRI_PVEM,PRD_PT_PMC
