Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,CC_PRI_PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,PRI_PCP,CC_1,CC_2,CC_3
14,12,TANCANHUITZ ,251,B01,424,84,114,25,2,5,0,3,7,36,12,18,0,306,6,312,127,42,132,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,251,C01,423,90,116,23,1,5,1,1,3,44,6,32,0,322,6,328,137,31,149,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,252,B01,699,131,198,39,6,19,2,10,11,46,11,51,0,524,19,543,188,66,251,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,252,C01,698,133,197,26,3,19,5,3,7,43,9,41,0,486,15,501,183,41,243,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,253,B01,544,84,174,51,8,2,8,12,4,9,36,35,0,423,28,451,97,107,217,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,253,C01,543,65,142,61,8,2,8,18,6,16,48,32,0,406,20,426,87,135,182,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,254,B01,347,51,117,24,3,5,3,2,1,8,20,24,0,258,16,274,60,49,144,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,255,B01,558,69,121,105,13,6,5,18,5,11,31,23,0,407,19,426,85,167,149,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,256,B01,391,66,124,32,2,10,2,7,6,17,17,13,0,296,18,314,89,58,139,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,256,C01,391,60,98,30,8,19,1,9,3,20,14,14,0,276,22,298,83,61,113,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,257,B01,606,90,140,64,6,9,2,5,4,20,36,32,0,408,33,441,114,111,174,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,257,C01,605,90,165,66,3,9,4,22,2,20,27,34,0,442,23,465,112,118,203,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,258,B01,620,87,169,50,1,13,3,9,1,28,15,40,0,416,27,443,116,75,212,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,259,B01,723,83,254,27,6,6,9,11,5,18,17,44,0,480,39,519,106,61,307,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,259,C01,722,63,230,13,2,7,9,8,1,29,14,65,0,441,65,506,93,37,304,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,260,B01,416,58,76,18,3,50,5,3,4,27,6,11,0,261,17,278,89,30,92,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,260,C01,416,63,86,13,4,63,3,7,3,19,7,14,0,282,31,313,85,31,103,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,260,E01,587,104,150,37,5,11,3,7,0,17,24,35,0,393,40,433,121,73,188,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,261,B01,387,48,103,16,3,28,2,3,4,17,6,16,11,257,25,282,69,28,121,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,262,B01,418,103,117,4,1,9,4,1,4,18,5,18,0,284,33,317,125,11,139,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,263,B01,542,85,158,18,1,13,4,5,4,17,7,19,0,331,35,366,106,31,181,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,264,B01,431,61,123,20,2,13,4,7,5,24,7,25,0,291,27,318,90,36,152,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,264,C01,430,69,138,14,1,18,2,4,4,13,8,22,0,293,23,316,86,27,162,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,265,B01,496,112,121,19,3,7,8,3,5,23,7,14,0,322,38,360,140,32,143,PAN_PNA,PRD_PT_PMC,PRI_PCP
14,12,TANCANHUITZ ,265,C01,496,99,140,11,6,8,4,2,15,20,3,18,0,326,35,361,134,22,162,PAN_PNA,PRD_PT_PMC,PRI_PCP
