Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,CC_1,CC_2
2,53,VILLA JUAREZ ,1689,B01,414,77,54,18,15,2,12,45,17,0,240,10,250,134,52,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1689,C01,414,85,47,21,21,10,10,30,26,0,250,7,257,125,78,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1690,B01,572,132,36,21,28,10,7,58,24,0,316,7,323,197,83,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1691,B01,674,105,82,37,41,16,10,42,34,0,367,9,376,157,128,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1692,B01,685,90,111,34,50,33,5,28,68,0,419,15,434,123,185,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1693,B01,444,78,62,16,25,9,7,43,22,0,262,15,277,128,72,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1694,B01,178,21,9,12,25,6,0,9,8,0,90,2,92,30,51,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1695,B01,464,113,79,12,5,9,11,31,19,0,279,7,286,155,45,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1695,C01,464,89,96,12,23,13,6,35,24,0,298,9,307,130,72,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1696,B01,268,64,29,6,13,22,1,18,26,0,179,6,185,83,67,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1697,B01,619,106,152,19,41,10,2,4,22,0,356,17,373,112,92,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1697,C01,618,161,141,15,70,14,5,0,0,0,406,19,425,166,99,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1698,B01,448,107,95,19,17,9,7,31,24,0,309,14,323,145,69,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1698,C01,447,93,126,16,17,14,5,21,17,0,309,14,323,119,64,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1699,B01,420,76,31,22,24,3,4,33,36,0,229,14,243,113,85,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1700,B01,548,89,109,33,45,18,5,31,28,0,358,19,377,125,124,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1701,B01,118,42,21,6,0,0,0,0,0,0,69,3,72,42,6,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1702,B01,185,28,7,12,15,7,7,8,14,0,98,7,105,43,48,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1703,B01,105,35,18,1,6,1,2,3,6,0,72,0,72,40,14,PAN_PNA,PRD_PT_PMC
2,53,VILLA JUAREZ ,1704,B01,554,149,42,23,31,7,16,29,30,0,327,19,346,194,91,PAN_PNA,PRD_PT_PMC
