Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,CC_1,CC_2
14,3,AQUISMON ,34,B01,581,210,91,74,2,13,2,28,44,0,464,22,486,240,133,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,34,C01,581,153,116,61,3,15,5,22,59,0,434,26,460,180,138,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,34,C02,580,172,101,68,4,17,2,21,52,0,437,29,466,195,141,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,35,B01,705,193,176,59,4,5,7,28,40,0,512,15,527,228,108,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,36,B01,392,96,42,71,0,7,2,26,30,0,274,11,285,124,108,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,36,C01,392,97,37,75,2,1,2,16,43,0,273,10,283,115,121,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,36,E01,433,161,31,95,2,2,1,24,49,0,365,5,370,186,148,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,37,B01,462,75,60,132,4,3,3,20,39,0,336,14,350,98,178,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,38,B01,376,50,62,67,2,9,1,16,34,0,241,15,256,67,112,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,38,C01,376,78,87,58,0,2,6,16,20,0,267,11,278,100,80,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,39,B01,731,197,133,105,0,14,4,25,45,0,523,16,539,226,164,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,39,C01,730,182,132,110,3,3,3,21,46,0,500,17,517,206,162,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,40,B01,163,68,47,2,0,2,0,7,1,0,127,2,129,75,5,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,41,B01,496,141,41,105,3,3,7,19,35,0,354,10,364,167,146,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,41,C01,496,100,36,129,5,7,6,24,40,0,347,13,360,130,181,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,41,E01,218,71,49,27,0,2,0,5,18,0,172,7,179,76,47,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,42,B01,525,120,27,122,3,7,5,16,44,0,344,11,355,141,176,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,42,E01,214,55,53,14,1,1,2,19,11,0,156,8,164,76,27,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,43,B01,686,238,65,89,1,14,1,16,47,0,471,22,493,255,151,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,43,C01,686,239,61,84,2,5,2,20,57,2,472,19,491,261,148,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,44,B01,535,189,62,68,0,5,2,28,38,0,392,14,406,219,111,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,44,C01,535,190,50,56,2,4,4,36,41,0,383,16,399,230,103,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,44,C02,535,190,35,61,3,11,0,34,54,0,388,15,403,224,129,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,45,B01,377,102,54,39,1,4,3,34,38,0,275,18,293,139,82,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,45,C01,377,86,79,38,2,3,3,26,22,0,259,18,277,115,65,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,45,E01,499,128,45,73,8,14,8,22,68,0,366,21,387,158,163,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,46,B01,600,191,33,82,3,2,3,0,53,0,367,35,402,194,140,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,46,C01,600,210,37,183,0,0,0,0,37,0,467,21,488,210,220,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,46,E01,301,129,21,32,1,1,1,18,19,0,222,7,229,148,53,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,47,B01,405,104,25,90,0,11,4,15,43,0,292,20,312,123,144,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,47,C01,405,116,25,85,0,11,6,17,36,2,298,8,306,139,132,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,48,B01,567,166,65,181,0,0,0,0,0,0,412,16,428,166,181,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,48,C01,567,148,65,98,6,7,3,16,58,0,401,18,419,167,169,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,48,C02,566,114,90,99,3,4,2,20,58,0,390,17,407,136,164,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,49,B01,412,154,101,13,1,1,2,26,2,0,300,10,310,182,17,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,49,C01,411,160,85,14,1,2,1,22,7,0,292,12,304,183,24,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,50,B01,680,186,25,107,2,10,2,24,83,0,439,30,469,212,202,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,51,B01,640,109,67,133,5,10,2,21,55,33,435,0,435,132,203,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,51,C01,639,126,68,125,1,5,5,16,61,0,407,25,432,147,192,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,52,B01,736,149,64,168,8,16,2,9,92,0,508,24,532,160,284,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,53,B01,542,159,68,72,2,34,4,26,11,0,376,20,396,189,119,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,53,C01,542,155,60,67,1,2,5,33,34,0,357,28,385,193,104,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,53,C02,542,142,58,79,0,9,3,31,35,0,357,23,380,176,123,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,54,B01,405,96,62,62,4,10,7,12,36,0,289,21,310,115,112,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,54,C01,404,112,35,65,2,8,1,10,51,0,284,20,304,123,126,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,55,B01,378,117,41,39,6,7,4,25,20,0,259,13,272,146,72,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,55,C01,377,137,28,45,1,13,4,13,21,0,262,16,278,154,80,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,56,B01,740,301,171,44,0,13,3,25,12,0,569,37,606,329,69,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,57,B01,633,226,79,44,0,7,3,64,26,0,449,19,468,293,77,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,57,C01,632,218,90,62,5,2,5,46,31,0,459,32,491,269,100,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,58,B01,388,126,59,51,2,12,5,19,15,0,289,16,305,150,80,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,58,C01,388,127,66,52,3,4,2,22,18,0,294,14,308,151,77,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,59,B01,508,164,117,42,1,4,5,39,14,0,386,9,395,208,61,PAN_PNA,PRD_PT_PMC
14,3,AQUISMON ,59,C01,507,180,114,32,2,5,9,28,12,0,382,6,388,217,51,PAN_PNA,PRD_PT_PMC
