Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PNA,CC_PAN_PNA,CC_PRI_PVEM,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,CC_1,CC_2
10,24,RIOVERDE ,634,B01,546,116,86,2,5,0,4,9,35,23,0,280,16,296,160,109,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,634,C01,545,123,82,5,11,6,2,2,29,30,0,290,15,305,154,118,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,635,B01,455,88,114,1,2,9,3,8,22,24,0,271,8,279,118,147,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,635,C01,455,88,98,3,7,9,2,12,18,24,0,261,10,271,118,131,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,636,B01,532,105,107,3,6,4,3,14,26,23,0,291,17,308,145,134,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,636,C01,532,120,126,8,10,9,2,9,24,24,0,332,10,342,153,159,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,636,C02,531,100,102,5,16,12,6,15,28,21,0,305,11,316,143,135,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,637,B01,610,124,160,11,9,5,10,6,0,0,0,325,8,333,130,165,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,637,C01,609,137,111,6,5,25,8,29,6,4,0,331,7,338,172,140,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,638,B01,606,114,131,3,18,6,7,25,22,36,0,362,13,375,161,173,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,638,C01,606,124,151,3,9,12,3,12,14,30,0,358,13,371,150,193,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,638,C02,605,137,117,5,11,6,3,20,24,27,0,350,11,361,181,150,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,639,B01,535,103,118,6,5,9,4,14,18,13,1,291,6,297,135,140,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,639,C01,534,127,99,2,13,11,5,13,21,26,0,317,10,327,161,136,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,640,B01,437,115,91,7,8,8,7,9,17,17,0,279,4,283,141,116,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,640,C01,436,90,98,6,8,12,7,15,11,17,0,264,8,272,116,127,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,641,B01,713,129,140,11,11,12,5,16,23,32,0,379,12,391,168,184,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,641,C01,713,114,164,7,11,7,5,17,20,27,0,372,14,386,151,198,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,641,C02,712,130,177,13,18,10,4,10,0,0,0,362,14,376,140,187,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,642,B01,549,142,96,6,9,9,7,5,21,24,0,319,9,328,168,129,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,642,C01,549,111,91,4,14,9,10,9,24,30,0,302,11,313,144,130,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,643,B01,429,117,82,4,15,6,11,9,25,22,0,291,4,295,151,110,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,643,C01,429,93,83,8,15,6,6,7,23,22,0,263,12,275,123,111,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,644,B01,517,131,117,10,11,18,7,8,13,23,0,338,12,350,152,158,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,645,B01,415,89,90,7,4,9,9,3,26,14,0,251,7,258,118,113,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,645,C01,414,125,78,3,5,3,6,9,0,0,0,229,6,235,134,81,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,646,B01,514,113,93,8,7,8,4,9,15,22,0,279,4,283,137,123,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,646,C01,514,83,83,2,9,12,1,11,17,25,0,243,11,254,111,120,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,646,C02,514,90,96,7,10,10,3,17,27,21,0,281,8,289,134,127,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,647,B01,687,115,137,14,17,13,6,23,16,40,0,381,20,401,154,190,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,647,C01,687,134,141,8,16,6,1,10,38,24,0,378,21,399,182,171,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,648,B01,497,109,107,9,6,5,4,11,28,23,0,302,12,314,148,135,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,648,C01,497,130,105,7,10,4,1,16,26,20,0,319,11,330,172,129,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,649,B01,422,101,80,7,10,8,5,6,10,15,0,242,10,252,117,103,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,649,C01,422,106,103,1,7,7,6,5,17,18,0,270,4,274,128,128,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,650,B01,482,120,105,6,5,7,9,4,19,13,0,288,10,298,143,125,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,650,C01,481,124,90,2,12,8,7,10,29,15,0,297,13,310,163,113,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,651,B01,525,121,123,3,18,6,2,5,23,19,0,320,8,328,149,148,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,651,C01,524,110,103,5,9,7,10,9,18,17,1,289,10,299,137,127,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,652,B01,409,77,98,3,3,11,5,3,18,16,0,234,8,242,98,125,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,652,C01,408,79,78,9,14,6,3,4,14,16,0,223,5,228,97,100,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,653,B01,488,113,109,2,11,3,17,7,13,19,0,294,8,302,133,131,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,653,C01,488,136,98,4,3,9,4,8,16,22,0,300,11,311,160,129,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,654,B01,602,95,129,12,12,12,10,19,16,19,0,324,13,337,130,160,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,654,C01,602,110,103,15,19,7,6,27,8,24,0,319,12,331,145,134,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,655,B01,744,160,244,9,5,0,7,0,0,0,0,425,10,435,160,244,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,655,C01,744,116,191,15,12,5,6,10,23,52,0,430,12,442,149,248,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,655,C02,744,75,179,5,22,9,10,17,8,12,0,337,16,353,100,200,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,656,B01,409,92,129,2,4,0,5,0,0,0,0,232,15,247,92,129,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,656,C01,408,107,110,2,10,9,0,8,0,0,0,246,10,256,115,119,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,657,B01,629,125,135,9,10,4,6,10,14,30,0,343,16,359,149,169,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,657,C01,628,102,117,9,11,10,3,13,26,38,0,329,15,344,141,165,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,657,C02,628,108,108,13,20,10,4,11,17,28,0,319,15,334,136,146,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,657,C03,628,93,134,11,8,11,2,21,19,22,0,321,11,332,133,167,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,658,B01,706,140,137,8,31,5,5,9,31,29,0,395,12,407,180,171,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,658,C01,705,137,131,10,19,7,2,8,37,22,0,373,8,381,182,160,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,659,B01,526,100,136,2,17,11,3,6,19,40,0,334,14,348,125,187,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,659,C01,526,97,106,5,10,10,2,13,19,29,0,291,14,305,129,145,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,659,C02,525,84,104,11,10,12,3,15,17,37,0,293,12,305,116,153,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,660,B01,670,139,128,9,15,7,3,8,36,129,0,474,16,490,183,264,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,660,C01,669,127,133,7,15,11,2,13,28,41,0,377,21,398,168,185,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,661,B01,716,111,145,6,8,11,3,8,31,31,0,354,15,369,150,187,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,661,C01,715,133,151,9,9,6,1,16,27,42,0,394,13,407,176,199,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,661,C02,715,112,149,4,5,10,1,13,17,41,0,352,10,362,142,200,PAN_PNA,PRI_PVEM
