Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PMC,CC_1,CC_2,CC_3
1,6,CATORCE ,98,B01,516,134,120,1,8,12,4,7,50,56,13,0,405,11,416,191,188,26,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,98,C01,516,107,142,7,6,5,2,7,59,59,11,0,405,3,408,173,206,26,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,99,B01,145,63,28,3,5,2,5,0,0,0,0,0,106,3,109,63,30,13,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,101,B01,212,50,65,0,3,0,0,3,11,26,2,0,160,3,163,64,91,5,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,102,B01,240,67,76,4,2,2,3,2,24,23,0,0,203,6,209,93,101,9,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,103,B01,367,110,71,1,10,5,7,9,32,42,7,0,294,7,301,151,118,25,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,105,B01,275,98,44,2,5,3,3,2,19,37,9,0,222,6,228,119,84,19,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,106,B01,469,109,90,7,19,4,10,11,35,38,22,0,345,8,353,155,132,58,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,106,C01,469,102,80,14,14,6,8,15,38,46,12,0,335,0,335,155,132,48,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,107,B01,155,43,44,0,9,0,2,1,8,14,5,0,126,1,127,52,58,16,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,108,B01,479,33,145,8,5,16,11,2,19,128,9,0,376,13,389,54,289,33,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,109,B01,103,39,19,2,2,0,1,0,4,6,1,0,74,5,79,43,25,6,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,110,B01,235,48,67,4,9,2,2,3,7,19,4,0,165,5,170,58,88,19,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,111,B01,245,44,67,3,17,1,11,6,16,24,5,0,194,2,196,66,92,36,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,112,B01,470,75,64,14,22,26,14,13,34,21,40,0,323,7,330,122,111,90,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,113,B01,221,40,60,5,10,3,6,4,7,25,4,0,164,3,167,51,88,25,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,114,B01,168,22,46,5,7,2,3,0,17,20,5,0,127,4,131,39,68,20,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,115,B01,327,32,91,1,8,15,4,6,20,56,4,0,237,5,242,58,162,17,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,116,B01,250,46,55,2,1,2,7,8,27,31,0,0,179,14,193,81,88,10,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,117,B01,225,78,54,1,0,3,3,7,7,13,3,0,169,4,173,92,70,7,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,6,CATORCE ,118,B01,443,118,66,7,27,18,15,10,33,21,6,0,321,14,335,161,105,55,PAN_PNA,PRI_PVEM,PRD_PT_PMC
