Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT,CC_1,CC_2,CC_3
3,51,VILLA DE REYES ,1638,B01,495,39,55,4,1,2,195,9,6,10,28,0,0,349,9,358,55,85,5,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1638,C01,495,29,68,2,1,5,189,4,13,12,25,1,0,349,15,364,54,98,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1639,B01,634,71,73,1,0,4,187,10,29,28,35,0,0,438,13,451,128,112,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1639,C01,633,58,80,0,1,4,214,8,50,24,30,0,0,469,14,483,132,114,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1640,B01,431,37,68,0,0,2,144,5,11,13,39,0,0,319,8,327,61,109,0,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1640,C01,430,40,70,0,0,5,158,5,8,7,36,0,0,329,11,340,55,111,0,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1641,B01,472,74,64,0,0,3,136,8,18,23,31,0,0,357,6,363,115,98,0,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1641,C01,472,47,76,2,1,1,117,5,26,28,38,0,0,341,8,349,101,115,3,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1642,B01,536,76,71,2,1,6,165,4,25,31,24,0,0,405,15,420,132,101,3,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1642,C01,536,98,58,1,0,5,129,3,30,38,37,0,2,401,20,421,166,100,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1642,C02,535,78,61,1,0,4,153,5,34,27,28,0,0,391,13,404,139,93,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1643,B01,515,47,92,4,0,5,134,6,14,12,44,0,1,359,5,364,73,141,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1643,C01,514,39,95,0,2,1,148,3,14,20,38,0,0,360,9,369,73,134,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1644,B01,277,30,75,1,0,3,56,0,5,5,18,1,0,194,8,202,40,96,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1645,B01,684,100,88,4,0,4,160,5,11,30,49,1,1,453,11,464,141,141,5,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1645,C01,683,81,90,2,0,9,133,4,8,41,40,2,0,410,14,424,130,139,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1645,C02,683,74,112,6,1,8,144,10,8,34,51,0,1,449,16,465,116,171,7,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1646,B01,696,47,111,3,1,13,183,5,7,23,53,0,1,447,15,462,77,177,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1646,C01,695,52,130,0,3,6,187,11,9,25,40,0,0,463,16,479,86,176,3,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1647,B01,425,35,92,4,0,4,75,3,18,11,51,0,0,293,11,304,64,147,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1647,C01,425,40,84,2,0,3,77,7,15,18,49,0,0,295,10,305,73,136,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1648,B01,411,44,58,3,2,4,65,4,20,23,25,0,1,249,15,264,87,87,5,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1648,C01,410,50,75,4,0,1,59,3,18,21,27,0,0,258,17,275,89,103,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1649,B01,499,43,111,0,3,7,62,1,2,14,59,4,0,306,26,332,59,177,7,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1650,B01,146,17,41,0,0,2,17,1,3,3,10,0,0,94,4,98,23,53,0,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1651,B01,485,41,115,3,0,12,81,16,6,10,41,0,0,325,21,346,57,168,3,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1652,B01,503,90,67,0,2,4,35,3,13,38,19,0,0,271,11,282,141,90,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1652,C01,503,101,57,6,0,1,51,1,11,26,33,0,0,287,13,300,138,91,6,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1652,C02,503,84,67,0,2,3,44,2,6,33,22,2,1,266,11,277,123,92,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1653,B01,643,71,77,1,0,6,170,7,47,30,39,0,0,448,21,469,148,122,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1653,C01,643,69,65,0,1,3,208,1,36,38,50,0,1,472,20,492,143,118,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1653,C02,642,83,68,2,1,4,208,2,27,26,35,0,0,456,15,471,136,107,3,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1654,B01,509,61,110,2,1,9,88,2,8,16,58,1,2,358,14,372,85,177,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1655,B01,573,135,65,4,1,8,80,7,33,37,31,0,0,401,25,426,205,104,5,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1655,C01,572,107,80,5,2,3,90,4,19,47,25,0,0,382,25,407,173,108,7,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1656,B01,456,75,83,0,0,13,87,10,15,20,28,0,0,331,10,341,110,124,0,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1656,C01,455,80,68,0,1,15,72,5,25,29,36,0,0,331,14,345,134,119,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1657,B01,455,31,83,1,1,3,130,1,21,18,52,0,1,342,15,357,70,138,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1658,B01,558,68,107,0,0,3,140,6,10,48,40,2,1,425,16,441,126,150,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1658,C01,557,61,95,2,2,3,178,6,8,25,39,0,0,419,15,434,94,137,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1659,B01,611,48,59,2,5,9,181,0,13,21,33,2,0,373,18,391,82,101,9,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1659,C01,611,52,70,1,18,5,152,2,20,13,37,8,0,378,13,391,85,112,27,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1660,B01,667,94,74,4,7,7,156,8,7,28,35,0,0,420,15,435,129,116,11,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1661,B01,416,38,101,2,0,5,65,2,11,16,36,0,0,276,7,283,65,142,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1661,C01,415,62,79,2,0,3,90,0,5,23,23,2,0,289,3,292,90,105,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1662,B01,297,39,53,0,1,1,66,1,14,31,16,1,0,223,9,232,84,70,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1663,B01,369,47,52,0,1,6,104,1,11,10,15,0,0,247,12,259,68,73,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1664,B01,249,46,55,0,1,5,42,1,21,7,20,0,0,198,5,203,74,80,1,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1665,B01,728,78,95,4,3,6,179,9,14,34,33,3,2,460,23,483,126,134,10,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1666,B01,661,62,58,27,23,15,153,7,7,13,33,26,0,424,17,441,82,106,76,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1666,C01,661,97,45,13,21,9,141,13,14,23,19,11,0,406,21,427,134,73,45,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1667,B01,454,45,89,2,2,5,97,2,20,11,37,0,0,310,18,328,76,131,4,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1667,C01,453,34,89,0,0,5,112,2,16,18,36,0,0,312,9,321,68,130,0,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1668,B01,666,86,107,1,2,7,161,6,14,31,50,0,2,467,15,482,131,164,3,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1668,C01,666,72,123,0,0,6,155,2,15,27,43,0,0,443,15,458,114,172,0,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1668,C02,666,86,139,0,2,5,178,0,11,18,40,0,0,479,19,498,115,184,2,PAN_PNA,PRI_PVEM,PRD_PT
3,51,VILLA DE REYES ,1669,B01,390,29,118,0,0,2,88,3,10,6,40,0,0,296,16,312,45,160,0,PAN_PNA,PRI_PVEM,PRD_PT
