Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PRD_PT_PVEM_PCP_PMC_PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PRD_PT_PVEM_PCP_PMC_PNA,CC_1
3,47,VILLA DE ARRIAGA ,1569,B01,646,43,241,6,5,96,5,5,16,70,0,487,7,494,246,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1569,C01,646,52,251,9,5,86,2,3,20,64,1,493,9,502,241,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1570,B01,712,41,272,16,3,97,5,2,34,68,0,538,14,552,266,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1570,C01,711,52,283,15,0,93,5,5,29,70,0,552,10,562,269,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1571,B01,442,35,120,9,1,92,6,1,23,53,0,340,5,345,220,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1571,C01,441,36,154,7,5,70,7,7,20,40,0,346,4,350,192,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1572,B01,416,96,79,10,3,65,1,0,3,47,0,304,7,311,225,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1573,B01,218,28,45,2,0,53,0,0,9,29,0,166,2,168,121,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1574,B01,516,106,177,8,4,38,1,3,28,39,0,404,7,411,227,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1575,B01,433,100,138,7,4,40,1,5,15,25,0,335,11,346,197,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1575,E01,612,86,248,10,4,58,0,5,38,33,0,482,6,488,234,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1576,B01,479,41,204,5,3,53,2,0,18,47,0,373,13,386,169,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1576,C01,478,48,191,9,4,64,0,0,21,44,0,381,12,393,190,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1577,B01,236,24,84,7,1,25,2,2,7,20,0,172,1,173,88,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1578,B01,233,41,66,5,1,22,1,1,6,25,0,168,0,168,102,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1579,B01,490,68,172,15,2,23,1,9,66,33,0,389,10,399,217,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1579,C01,489,45,149,13,2,24,2,7,85,43,0,370,7,377,221,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1580,B01,369,77,122,13,4,31,3,14,12,32,0,308,3,311,186,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1581,B01,586,76,185,19,3,71,4,9,17,59,0,443,11,454,258,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1581,E01,245,26,95,3,2,54,2,2,10,21,0,215,1,216,120,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1582,B01,171,15,48,2,4,29,4,3,17,14,0,136,5,141,88,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1583,B01,291,32,92,6,4,39,0,7,20,32,0,232,1,233,140,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1584,B01,481,51,145,12,2,75,2,22,31,56,0,396,6,402,251,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1585,B01,209,11,48,7,2,42,3,15,8,27,0,163,1,164,115,PAN_PRD_PT_PVEM_PCP_PMC_PNA
3,47,VILLA DE ARRIAGA ,1586,B01,243,34,86,2,1,22,0,1,17,22,0,185,6,191,99,PAN_PRD_PT_PVEM_PCP_PMC_PNA
