Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,CC_PRI_PVEM_PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP,CC_1,CC_2,CC_3
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1305,C03,678,53,34,140,10,5,2,10,12,6,85,15,0,372,14,386,71,245,56,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1305,C04,678,45,31,144,8,7,4,11,7,7,90,10,0,364,15,379,59,253,52,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1305,C05,677,60,39,160,14,7,5,9,8,13,65,19,0,399,14,413,81,248,70,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1306,B01,658,48,47,105,8,7,6,6,9,8,59,21,0,324,15,339,65,178,81,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1306,C01,657,50,56,105,4,2,2,5,5,4,50,21,0,304,18,322,59,164,81,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1307,B01,580,23,25,137,9,6,0,7,8,5,80,16,0,316,10,326,36,233,47,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1308,B01,597,36,28,123,10,1,9,9,8,5,74,10,0,313,11,324,49,216,48,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1309,B01,393,16,69,80,7,5,22,3,2,6,33,24,0,267,9,276,24,123,120,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1310,B01,381,49,73,30,0,4,18,4,1,10,10,29,0,228,5,233,60,44,124,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1310,C01,381,52,81,22,0,3,16,4,5,2,6,25,0,216,12,228,59,32,125,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1311,B01,600,17,159,54,4,8,54,5,3,0,29,68,0,401,15,416,20,92,289,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
