Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PRI_PVEM,CC_PT_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRI_PVEM,PT_PCP_PMC,CC_1,CC_2
15,37,TAMAZUNCHALE ,1372,B01,432,34,33,8,7,2,1,16,135,7,3,0,246,25,271,42,27,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1372,C01,432,28,36,6,13,2,4,10,135,6,2,1,243,17,260,44,29,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1373,B01,509,25,78,6,12,5,1,9,104,27,5,0,272,45,317,110,27,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1373,C01,509,37,86,7,7,7,2,13,101,30,6,1,297,54,351,123,28,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1374,B01,287,35,70,13,5,0,15,0,55,0,0,0,193,19,212,70,20,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1375,B01,600,42,62,25,8,8,1,10,186,15,3,0,360,29,389,85,22,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1375,C01,600,34,60,18,5,6,5,0,202,28,12,0,370,21,391,94,22,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1376,B01,707,52,71,17,10,3,2,9,145,13,6,2,330,43,373,87,27,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1376,C01,706,71,68,14,6,3,1,4,169,11,6,0,353,30,383,82,17,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1376,E01,136,9,17,11,3,1,1,1,53,0,0,0,96,8,104,18,5,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1377,B01,448,37,108,15,8,0,0,12,34,0,0,0,214,33,247,108,20,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1377,C01,447,45,76,18,12,6,8,6,41,0,0,0,212,24,236,82,26,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1378,B01,476,24,37,8,13,6,5,8,146,10,7,0,264,26,290,53,33,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1378,C01,476,42,50,8,4,1,5,6,164,10,11,2,303,22,325,61,26,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1378,E01,148,8,8,17,0,4,0,1,40,0,0,1,79,7,86,12,1,PRI_PVEM,PT_PCP_PMC
