Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PMC,PNA,CC_PAN_PNA,CC_PRD_PT,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT,CC_1,CC_2
13,16,EBANO ,415,C01,485,57,87,101,7,1,8,19,26,0,306,11,317,84,134,PAN_PNA,PRD_PT
13,16,EBANO ,416,B01,738,100,177,91,7,1,8,44,29,0,457,11,468,152,127,PAN_PNA,PRD_PT
13,16,EBANO ,417,B01,683,87,173,59,6,1,9,36,15,0,386,24,410,132,80,PAN_PNA,PRD_PT
13,16,EBANO ,418,B01,678,107,154,75,6,2,3,42,11,0,400,11,411,152,92,PAN_PNA,PRD_PT
13,16,EBANO ,418,C01,678,162,125,113,0,4,0,0,0,0,404,25,429,162,113,PAN_PNA,PRD_PT
13,16,EBANO ,419,B01,465,82,100,62,5,0,8,30,14,0,301,9,310,120,81,PAN_PNA,PRD_PT
13,16,EBANO ,419,C01,464,89,84,55,5,0,1,34,18,0,286,7,293,124,78,PAN_PNA,PRD_PT
13,16,EBANO ,420,B01,167,16,46,31,4,0,7,4,5,0,113,0,113,27,40,PAN_PNA,PRD_PT
13,16,EBANO ,421,B01,741,66,148,150,6,1,10,34,37,0,452,17,469,110,193,PAN_PNA,PRD_PT
13,16,EBANO ,422,B01,642,89,119,77,14,0,8,57,23,0,387,19,406,154,114,PAN_PNA,PRD_PT
13,16,EBANO ,423,B01,435,74,95,47,2,1,7,32,20,0,278,5,283,113,69,PAN_PNA,PRD_PT
13,16,EBANO ,423,C01,435,90,67,49,2,1,6,36,20,0,271,10,281,132,71,PAN_PNA,PRD_PT
13,16,EBANO ,424,B01,511,57,110,55,5,4,7,15,10,0,263,20,283,79,70,PAN_PNA,PRD_PT
13,16,EBANO ,424,C01,510,88,128,49,5,0,2,24,10,0,306,11,317,114,64,PAN_PNA,PRD_PT
13,16,EBANO ,424,C02,510,67,141,45,6,3,5,17,3,20,307,0,307,89,54,PAN_PNA,PRD_PT
13,16,EBANO ,425,B01,516,50,115,68,0,1,0,29,27,0,290,16,306,79,95,PAN_PNA,PRD_PT
13,16,EBANO ,425,C01,516,75,104,108,0,0,0,0,0,0,287,20,307,75,108,PAN_PNA,PRD_PT
13,16,EBANO ,425,C02,515,63,103,64,6,0,5,15,14,0,270,10,280,83,84,PAN_PNA,PRD_PT
13,16,EBANO ,426,B01,571,65,121,67,9,6,7,39,25,0,339,26,365,111,101,PAN_PNA,PRD_PT
13,16,EBANO ,426,C01,570,73,119,72,13,2,8,36,15,0,338,25,363,117,100,PAN_PNA,PRD_PT
13,16,EBANO ,427,B01,728,89,174,82,6,6,6,0,0,0,363,39,402,95,88,PAN_PNA,PRD_PT
13,16,EBANO ,427,C01,728,71,181,93,13,5,7,16,14,0,400,38,438,94,120,PAN_PNA,PRD_PT
13,16,EBANO ,428,B01,360,45,76,89,0,2,0,0,0,0,212,13,225,45,89,PAN_PNA,PRD_PT
13,16,EBANO ,429,B01,424,100,59,41,2,2,2,23,5,0,234,18,252,125,48,PAN_PNA,PRD_PT
13,16,EBANO ,430,B01,650,49,145,132,10,0,6,6,18,0,366,21,387,61,160,PAN_PNA,PRD_PT
13,16,EBANO ,430,C01,650,44,121,38,12,0,7,6,14,0,242,22,264,57,64,PAN_PNA,PRD_PT
13,16,EBANO ,431,B01,537,34,99,92,9,1,4,3,27,0,269,20,289,41,128,PAN_PNA,PRD_PT
13,16,EBANO ,431,C01,536,30,103,115,1,0,5,0,0,1,255,13,268,35,116,PAN_PNA,PRD_PT
13,16,EBANO ,432,B01,157,38,41,30,0,0,0,0,0,0,109,2,111,38,30,PAN_PNA,PRD_PT
13,16,EBANO ,433,B01,589,91,69,92,21,0,7,19,24,0,323,27,350,117,137,PAN_PNA,PRD_PT
13,16,EBANO ,433,C01,588,64,72,105,28,0,8,17,28,0,322,20,342,89,161,PAN_PNA,PRD_PT
13,16,EBANO ,434,B01,597,111,159,53,0,1,3,0,0,0,327,21,348,114,53,PAN_PNA,PRD_PT
13,16,EBANO ,435,B01,349,57,137,38,3,0,1,0,0,1,237,7,244,58,41,PAN_PNA,PRD_PT
13,16,EBANO ,436,B01,235,49,82,10,3,0,4,6,0,0,154,19,173,59,13,PAN_PNA,PRD_PT
