Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRD_PT_PMC,CC_1
4,50,VILLA DE RAMOS ,1612,B01,390,54,47,25,64,1,11,8,3,50,0,263,18,281,147,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1612,C01,390,44,62,15,80,0,5,3,3,56,0,268,7,275,154,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1612,E01,504,106,127,22,52,6,8,2,19,35,0,377,17,394,111,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1613,B01,655,36,95,31,120,13,11,9,4,100,0,419,20,439,260,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1613,C01,655,47,87,22,124,13,9,4,7,101,0,414,18,432,251,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1613,E01,282,15,70,13,38,6,2,4,4,57,0,209,7,216,112,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1614,B01,220,9,68,11,16,6,44,0,11,5,0,170,2,172,32,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1615,B01,501,7,106,8,30,32,143,2,25,13,0,366,12,378,53,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1615,C01,501,16,65,10,28,41,141,2,28,26,0,357,10,367,66,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1615,C02,500,11,101,9,17,43,111,3,52,18,0,365,13,378,47,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1616,B01,513,15,94,11,57,83,67,5,9,47,0,388,10,398,120,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1616,C01,513,17,83,16,52,34,102,5,8,59,0,376,16,392,132,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1616,C02,512,13,107,14,41,66,93,3,13,32,0,382,17,399,90,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1617,B01,492,46,72,28,87,5,19,4,2,67,0,330,19,349,186,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1617,C01,492,44,79,27,84,6,17,0,1,80,0,338,13,351,191,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1618,B01,507,35,78,37,102,4,25,8,1,53,0,343,15,358,200,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1618,C01,506,55,89,36,81,20,27,13,1,48,0,370,15,385,178,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1619,B01,740,113,201,24,62,24,31,3,3,48,0,509,24,533,137,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1619,C01,739,75,202,22,65,14,15,5,2,50,0,450,33,483,142,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1620,B01,637,43,193,17,89,26,13,3,13,65,0,462,15,477,174,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1620,C01,637,34,164,31,96,13,17,6,7,57,0,425,33,458,190,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1621,B01,241,48,36,13,38,4,42,4,0,21,0,206,6,212,76,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1622,B01,674,130,102,74,49,50,46,2,1,41,0,495,24,519,166,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1622,C01,674,111,75,101,79,43,74,3,2,30,0,518,6,524,213,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1622,C02,673,126,102,81,53,52,65,3,2,36,1,521,14,535,173,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1623,B01,586,59,162,55,37,16,60,2,3,36,0,430,11,441,130,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1623,C01,586,92,109,63,31,36,50,4,7,26,0,418,12,430,124,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1623,C02,585,74,138,66,33,27,43,20,7,31,0,439,14,453,150,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1624,B01,287,118,22,5,18,5,26,3,1,6,0,204,5,209,32,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1625,B01,309,58,65,11,51,4,13,3,4,24,0,233,11,244,89,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1626,B01,147,43,28,5,7,4,1,1,2,3,0,94,3,97,16,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1627,B01,660,112,189,24,67,32,2,4,5,39,0,474,20,494,134,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1628,B01,522,151,91,11,39,6,7,1,0,38,0,344,13,357,89,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1628,C01,522,161,68,6,56,7,12,0,0,27,3,340,10,350,89,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1629,B01,592,127,94,8,74,1,19,17,0,0,0,340,27,367,99,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1629,C01,592,146,78,12,66,11,13,1,2,53,0,382,23,405,132,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1629,C02,591,163,86,10,42,4,10,2,1,38,0,356,14,370,92,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1630,B01,712,149,200,16,37,6,14,3,10,27,2,464,23,487,83,PRD_PT_PMC
4,50,VILLA DE RAMOS ,1631,B01,608,111,71,7,62,14,56,4,4,59,0,388,26,414,132,PRD_PT_PMC
