CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,18,1,4,53,1,3,1,0,1,4,0,0,0,0,0,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,7,86,146
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,19,2,45,237,69,2,17,8,5,118,0,0,0,0,0,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,532,31,563,1072
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,20,2,46,114,14,16,11,3,5,9,0,0,3,0,0,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,253,24,277,1133
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,3,112,382,19,35,44,7,22,39,0,11,6,1,0,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,809,58,867,1908
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,3,79,111,11,13,8,2,4,13,0,1,2,0,0,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,286,13,299,1508
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,3,180,525,36,19,33,4,12,51,0,4,4,1,0,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1137,43,1183,2041
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,3,50,395,42,13,54,7,12,77,0,2,3,2,0,,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1365,52,1418,2222
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,3,94,261,79,6,26,8,17,75,0,2,4,3,0,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,893,43,938,1472
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,26,1,54,96,25,6,9,7,8,35,0,0,0,0,0,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,346,18,364,743
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,4,136,335,74,31,47,14,15,720,0,0,2,1,0,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1679,87,1766,2833
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,28,2,17,184,17,25,11,8,6,273,0,0,0,0,0,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,570,9,579,970
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,3,58,398,166,53,76,11,13,72,0,4,2,0,1,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1099,24,1123,1675
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,3,77,255,66,78,57,23,14,444,0,2,4,0,1,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1163,88,1252,2227
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,31,2,76,117,36,54,31,7,15,200,0,1,3,0,0,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,608,43,669,1194
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,32,2,78,252,50,9,20,14,18,107,0,1,1,0,0,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,789,35,824,1422
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,33,2,27,206,146,6,9,6,8,23,0,0,1,0,0,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,530,31,561,909
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,6,17,401,94,11,21,132,68,96,1162,11,1,3,1,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2066,48,2114,3981
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,35,3,14,227,66,12,11,79,25,39,615,1,0,2,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1100,29,1129,2224
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,36,2,15,120,39,5,4,54,6,39,339,0,2,0,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,21,651,1226
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,37,3,21,178,52,6,14,78,28,49,605,1,0,2,0,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1048,22,1071,1937
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,38,2,6,173,28,3,4,87,9,58,380,1,0,0,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,759,23,782,1382
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,39,3,33,253,54,4,7,53,22,64,497,4,0,0,0,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1005,16,1021,1733
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,40,3,20,249,75,3,3,89,30,80,562,0,2,1,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1131,19,1150,1964
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,41,2,15,129,57,8,8,60,12,42,375,0,0,0,0,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,720,20,740,1447
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,42,2,18,184,22,10,14,16,6,38,287,0,0,0,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,601,19,620,1118
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,43,2,9,159,31,3,9,38,12,50,407,1,1,0,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,729,13,742,1246
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,44,3,23,216,46,2,11,58,18,69,581,2,0,0,0,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1057,21,1078,1745
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,45,2,17,162,54,3,12,52,20,43,388,2,3,1,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,761,19,781,1277
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,46,4,21,165,69,13,11,53,25,72,514,1,0,0,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,954,25,979,1663
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,47,2,9,164,50,4,12,32,17,53,300,1,0,0,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,651,23,674,1119
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,48,1,1,52,5,4,1,23,1,4,31,1,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124,7,131,226
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,49,1,0,64,53,1,0,2,0,2,25,0,0,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,3,152,255
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,51,1,2,44,22,4,4,3,9,5,60,0,0,0,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,156,4,160,269
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,52,2,7,112,51,3,4,12,11,23,86,2,0,0,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,314,4,318,956
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,53,1,4,32,10,2,0,10,1,34,137,1,0,0,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,236,3,239,473
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,54,2,6,143,108,9,3,75,8,15,186,0,0,0,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,562,13,575,1429
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,55,2,6,299,49,9,2,13,26,22,354,1,2,1,0,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,802,15,817,1214
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,56,1,2,58,3,2,0,9,3,19,104,1,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201,5,206,320
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,57,1,0,131,19,15,8,6,10,8,204,1,0,0,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,410,21,431,737
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,58,1,5,64,61,4,5,12,11,7,131,0,0,1,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,304,3,307,513
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,59,2,8,121,20,8,7,7,10,19,219,0,0,0,0,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,436,11,447,824
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,60,3,13,171,160,5,21,26,24,55,635,3,3,0,0,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1142,20,1162,2004
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,61,1,9,137,5,11,1,19,17,27,136,1,3,0,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,373,9,382,694
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,62,3,7,264,64,5,11,42,27,90,572,4,0,2,0,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1137,35,1172,2072
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,63,1,5,53,11,3,2,4,7,31,108,0,0,0,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,227,6,233,342
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,64,1,2,121,22,2,3,42,27,28,146,1,0,0,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,398,11,409,584
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,65,3,4,310,127,0,5,10,22,122,453,1,1,1,0,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1072,37,1109,2088
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,66,2,10,197,17,6,6,30,13,39,417,1,2,0,0,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,777,42,819,1286
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,67,2,7,140,25,7,6,79,14,92,420,0,2,1,0,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,815,27,842,1355
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,68,2,7,134,37,8,7,57,12,74,376,0,0,0,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,729,23,752,1318
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,69,3,601,137,0,15,0,0,211,37,422,15,4,12,0,,,,20,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1711,38,1749,2212
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,70,1,23,3,0,5,0,0,5,2,21,1,0,1,0,,,,7,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,4,105,146
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,71,1,23,10,0,4,0,0,16,2,8,0,0,1,3,,,,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,4,104,136
