ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_VERDE_NVA_ALIANZA,PRI_VERDE,PRI_NVA_ALIANZA,VERDE_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,1,ACATLÁN,12,30,3118,3104,117,164,50,151,125,112,651,94,30,17,3,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9675,280,9959,16086,0.6191
13,HIDALGO,2,ACAXOCHITLÁN,21,49,1477,5162,1137,396,545,190,208,2614,,36,37,9,2,,3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,15628,782,16438,29120,0.5928
13,HIDALGO,3,ACTOPAN,35,72,343,5427,1606,195,237,1362,551,1508,11812,43,22,15,4,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23576,617,24195,43021,0.5624
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE ,12,16,1812,412,,51,,,544,156,1206,37,5,26,5,,,,136,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5174,177,5351,6861,0.7799
13,HIDALGO,5,AJACUBA,11,23,478,1495,1917,2734,1337,28,195,374,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8732,236,8970,13021,0.6888
13,HIDALGO,6,ALFAJAYUCAN,22,34,390,1621,2157,4009,35,,238,376,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8928,298,9226,14819,0.6225
13,HIDALGO,7,ALMOLOYA ,13,18,592,1800,280,,1330,681,495,108,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5351,117,5469,8469,0.6457
13,HIDALGO,8,APAN ,25,56,7163,4051,2037,113,812,1519,348,907,222,13,2,2,7,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,17298,333,17668,31645,0.5701
13,HIDALGO,9,ATITALAQUIA,10,33,4313,3075,722,77,148,305,173,1243,,30,8,8,4,,,,,,,635,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11468,230,11701,19591,0.5972
13,HIDALGO,10,ATLAPEXCO,16,27,51,5252,3527,,71,109,470,422,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10017,530,10547,13915,0.774
