CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,B ,75,134,6,5,2,9,5,6,36,0,1,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,312,4,316,506,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0001B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,C01,87,95,7,5,1,11,2,6,39,0,1,0,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,315,7,322,505,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0001C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,C02,66,128,6,4,1,18,2,7,45,7,0,0,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,312,4,316,505,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0001C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,B ,88,92,4,2,2,3,5,1,33,2,0,0,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,283,2,285,435,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0002B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,C01,84,88,1,2,0,4,4,4,30,3,0,0,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,256,5,262,435,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0002C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,3,B ,41,82,3,3,1,3,10,0,48,3,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,199,7,206,294,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0003B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,4,B ,75,47,2,3,4,3,1,2,10,3,1,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,190,3,193,260,GRUPO DE RECUENTO,,,
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,B ,98,83,1,11,1,2,14,7,19,4,0,0,0,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,401,22,423,701,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0005B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,E01,42,44,1,5,0,1,5,3,46,3,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,168,16,184,244,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0005E01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,B ,51,50,1,2,2,9,8,1,21,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,175,9,184,337,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0006B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,E01,140,76,0,2,1,2,2,0,7,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,255,12,267,456,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0006E01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,E01C01,107,96,3,0,2,4,2,3,3,1,0,2,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,257,13,270,455,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0006E01C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,7,B ,214,124,1,14,0,1,3,2,12,4,2,0,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,438,2,440,659,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0007B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,7,C01,239,125,1,2,6,4,9,5,7,3,0,0,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,459,12,471,659,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0007C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,B ,186,87,2,3,0,5,0,0,18,3,2,1,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,355,10,365,619,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0008B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,C01,196,75,3,4,0,2,3,4,8,2,2,1,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,356,13,371,619,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0008C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,C02,185,95,5,6,3,5,0,3,20,5,1,0,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,371,10,381,618,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0008C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,B ,75,105,1,3,0,5,2,1,9,3,0,0,0,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,435,10,445,658,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0009B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,C01,53,76,4,7,2,10,5,4,13,6,2,1,0,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,397,23,420,658,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0009C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,C02,62,101,2,3,0,12,3,2,16,4,1,1,1,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,378,8,387,658,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0009C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,C03,55,80,3,3,2,6,4,0,19,7,2,2,0,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,405,1,406,658,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0009C03.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,B ,153,113,5,2,2,6,3,9,23,3,0,2,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,370,11,381,582,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0010B00.jpg
