distrito,municipio,Seccion,Tipo,PAN,PRI,PRD,PFCRN,PT,PVEM,PPS,PDM,NPP,Nulos,No Registrados,Total
4,AHUALULCO,1,BASICA,153,95,5,0,0,0,0,1,0,6,0,260
4,AHUALULCO,1,CONTIGUA 1,160,111,0,0,0,0,0,2,0,1,0,274
4,AHUALULCO,2,BASICA,192,115,0,0,1,0,0,8,0,8,0,324
4,AHUALULCO,2,CONTIGUA 1,200,96,0,0,0,0,0,2,0,7,0,305
4,AHUALULCO,3,BASICA,20,115,0,0,0,0,0,0,0,0,0,135
4,AHUALULCO,4,BASICA,89,111,1,0,0,0,0,0,0,5,0,206
4,AHUALULCO,5,BASICA,63,82,1,1,2,4,0,2,0,3,0,158
4,AHUALULCO,6,BASICA,121,126,2,0,0,4,0,0,0,6,0,259
4,AHUALULCO,6,CONTIGUA 1,133,101,1,1,0,0,1,2,1,11,0,251
4,AHUALULCO,7,BASICA,129,91,1,0,4,0,0,2,0,26,0,253
4,AHUALULCO,7,CONTIGUA 1,130,117,0,0,0,0,0,0,0,0,0,247
4,AHUALULCO,8,BASICA,208,76,5,0,1,0,0,13,2,16,0,321
4,AHUALULCO,8,CONTIGUA 1,193,112,1,0,0,1,0,3,0,2,0,312
4,AHUALULCO,9,BASICA,81,41,0,0,1,0,0,4,0,2,0,129
4,AHUALULCO,10,BASICA,49,34,0,0,0,1,0,0,0,2,0,86
4,AHUALULCO,11,BASICA,133,104,0,0,1,1,0,2,0,30,0,271
4,AHUALULCO,11,CONTIGUA 1,159,92,1,0,0,0,1,1,0,35,0,289
4,AHUALULCO,12,BASICA,184,88,2,0,0,0,0,4,0,4,0,282
4,AHUALULCO,13,BASICA,198,187,1,0,1,2,0,2,0,11,0,402
4,AHUALULCO,14,BASICA,104,202,1,0,0,1,0,1,0,21,0,330
4,AHUALULCO,14,CONTIGUA 1,101,191,7,0,0,0,0,0,0,0,0,299
,,,,,,,,,,,,,,,
11,ALAQUINES,15,BASICA,0,102,53,0,0,0,0,0,0,1,0,156
11,ALAQUINES,16,BASICA,0,66,74,0,0,0,0,0,0,4,0,144
11,ALAQUINES,17,BASICA,0,74,72,0,0,0,0,0,0,2,0,148
11,ALAQUINES,18,BASICA,0,31,53,0,0,0,0,0,0,0,0,84
11,ALAQUINES,19,BASICA,0,60,93,0,0,0,0,0,0,0,0,153
11,ALAQUINES,20,BASICA,0,58,41,0,0,0,0,0,0,4,0,103
11,ALAQUINES,21,BASICA,0,63,32,0,0,0,0,0,0,1,0,96
11,ALAQUINES,22,BASICA,0,52,47,0,0,0,0,0,0,2,0,101
11,ALAQUINES,23,BASICA,0,139,176,0,0,0,0,0,0,5,0,320
11,ALAQUINES,24,BASICA,0,42,42,0,0,0,0,0,0,1,0,85
11,ALAQUINES,25,BASICA,0,11,39,0,0,0,0,0,0,0,0,50
11,ALAQUINES,26,BASICA,0,280,112,0,0,0,0,0,0,1,0,393
11,ALAQUINES,27,BASICA,0,42,37,0,0,0,0,0,0,0,0,79
11,ALAQUINES,28,BASICA,0,134,209,0,0,0,0,0,0,0,0,343
11,ALAQUINES,29,BASICA,0,84,19,0,0,0,0,0,0,0,0,103
11,ALAQUINES,30,BASICA,0,160,91,0,0,0,0,0,0,5,0,256
11,ALAQUINES,31,BASICA,0,101,81,0,0,0,0,0,0,1,0,183
11,ALAQUINES,32,BASICA,0,124,54,0,0,0,0,0,0,10,0,188
11,ALAQUINES,33,BASICA,0,88,47,0,0,0,0,0,0,4,0,139
,,,,,,,,,,,,,,,
14,AQUISMON,34,BASICA,173,167,1,2,3,1,0,0,0,33,0,380
14,AQUISMON,34,CONTIGUA 1,214,149,3,2,0,0,0,0,0,21,0,389
14,AQUISMON,35,BASICA,134,189,5,0,0,0,0,0,0,18,0,346
14,AQUISMON,36,BASICA,126,294,10,0,0,0,0,0,0,41,0,471
14,AQUISMON,37,BASICA,51,108,2,0,1,1,0,0,0,10,0,173
14,AQUISMON,38,BASICA,92,207,7,0,0,0,0,0,0,13,0,319
14,AQUISMON,39,BASICA,88,208,0,0,0,0,0,0,0,23,0,319
14,AQUISMON,39,CONTIGUA 1,76,201,3,0,0,0,0,3,0,0,17,300
14,AQUISMON,40,BASICA,49,35,3,0,1,0,1,1,0,6,0,96
14,AQUISMON,41,BASICA,99,81,17,0,0,0,0,0,0,22,0,219
14,AQUISMON,41,CONTIGUA 1,88,79,26,2,4,0,3,1,0,17,5,225
14,AQUISMON,42,BASICA,73,176,0,0,0,0,0,0,0,19,0,268
14,AQUISMON,43,BASICA,131,146,1,0,0,1,0,0,0,22,0,301
14,AQUISMON,43,CONTIGUA 1,124,152,2,0,2,2,1,0,0,22,0,305
14,AQUISMON,44,BASICA,122,180,0,2,0,0,1,0,0,19,0,324
14,AQUISMON,44,CONTIGUA 1,158,174,1,0,0,0,0,0,0,0,0,333
14,AQUISMON,45,BASICA,209,224,45,0,0,0,0,0,0,0,0,478
14,AQUISMON,46,BASICA,120,125,10,0,1,2,0,1,0,26,0,285
14,AQUISMON,46,CONTIGUA 1,0,0,0,0,0,0,0,0,0,0,0,0
14,AQUISMON,47,BASICA,31,130,53,0,0,0,0,0,0,0,0,214
14,AQUISMON,48,BASICA,83,172,11,0,0,0,0,0,0,0,0,266
14,AQUISMON,48,CONTIGUA 1,124,149,7,0,0,0,0,0,0,0,0,280
14,AQUISMON,49,BASICA,182,118,20,0,1,5,0,1,1,12,0,340
14,AQUISMON,50,BASICA,156,129,2,0,0,0,0,0,0,0,0,287
14,AQUISMON,51,BASICA,113,163,78,0,0,0,0,0,0,0,0,354
14,AQUISMON,52,BASICA,38,127,32,0,0,0,0,0,0,0,0,197
,,,,,,,,,,,,,,,
2,ARMADILLO DE LOS INFANTE,60,BASICA,88,109,0,0,0,0,0,0,0,7,0,204
2,ARMADILLO DE LOS INFANTE,61,BASICA,16,58,0,0,0,0,0,0,0,5,0,79
2,ARMADILLO DE LOS INFANTE,62,BASICA,61,17,0,0,0,0,0,0,0,3,0,81
2,ARMADILLO DE LOS INFANTE,63,BASICA,7,31,0,0,0,0,0,0,0,11,0,49
2,ARMADILLO DE LOS INFANTE,64,BASICA,80,154,0,0,0,0,0,0,0,8,0,242
2,ARMADILLO DE LOS INFANTE,65,BASICA,61,58,0,0,0,0,0,0,0,0,0,119
2,ARMADILLO DE LOS INFANTE,66,BASICA,20,47,0,0,0,1,0,0,0,1,0,69
2,ARMADILLO DE LOS INFANTE,67,BASICA,16,37,0,1,0,0,0,0,0,0,0,54
2,ARMADILLO DE LOS INFANTE,68,BASICA,196,112,0,0,0,0,0,0,0,13,0,321
2,ARMADILLO DE LOS INFANTE,69,BASICA,29,83,0,0,0,0,1,0,0,6,0,119
2,ARMADILLO DE LOS INFANTE,70,BASICA,115,100,1,0,0,0,0,0,0,13,0,229
2,ARMADILLO DE LOS INFANTE,71,BASICA,48,50,3,0,0,0,0,0,0,1,0,102
2,ARMADILLO DE LOS INFANTE,72,BASICA,57,38,0,0,0,0,0,0,0,3,0,98
2,ARMADILLO DE LOS INFANTE,73,BASICA,16,50,0,0,0,0,0,0,0,1,0,67
2,ARMADILLO DE LOS INFANTE,74,BASICA,25,9,0,0,0,0,0,0,0,0,0,34
2,ARMADILLO DE LOS INFANTE,75,BASICA,21,31,0,0,0,0,0,0,0,2,0,54
2,ARMADILLO DE LOS INFANTE,76,BASICA,29,29,0,0,0,0,0,0,0,5,0,63
2,ARMADILLO DE LOS INFANTE,77,BASICA,12,128,0,0,0,0,0,0,0,6,3,149
,,,,,,,,,,,,,,,
11,CARDENAS,78,BASICA,0,85,103,0,0,0,0,0,0,6,0,194
11,CARDENAS,79,BASICA,0,112,137,0,0,0,0,0,0,2,0,251
