ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA,
25,SINALOA,1,EL FUERTE,236,257,8121,17624,927,901,1204,1448,2121,3994,22492,944,357,,,,,60133,13,2340,62486,95228,,
25,SINALOA,2,LOS MOCHIS,109,175,7394,12086,707,912,1586,863,1008,3219,24290,1157,745,,,,,53967,44,1282,55293,88443,,
25,SINALOA,3,LOS MOCHIS,150,184,6438,11822,961,687,2726,830,1031,1831,22508,676,347,,,,,49857,20,2676,52553,84242,,
25,SINALOA,4,LOS MOCHIS,160,194,6887,11047,696,889,1560,838,803,2484,24504,1119,789,,,,,51616,52,1295,52963,87048,,
25,SINALOA,5,LOS MOCHIS,86,176,9332,8154,731,756,1769,921,750,2184,25350,980,737,,,,,51664,21,1131,52816,87988,,
25,SINALOA,6,SINALOA DE LEYVA,215,228,2536,17315,1570,677,2738,1201,962,2140,15423,790,298,,,,,45650,13,2164,47827,78996,,
25,SINALOA,7,GUASAVE,179,207,3015,14899,778,1107,4476,541,1588,1740,22525,1294,430,,,,,52393,31,1617,54041,83524,,
25,SINALOA,8,GUASAVE,167,193,2458,16172,830,795,2135,813,961,3111,21768,1003,539,,,,,50585,27,1563,52175,82472,,
25,SINALOA,9,GUAMUCHIL,247,277,11311,14403,4330,1093,1093,2746,1087,8595,15598,1492,420,,,,,62168,10,2217,64395,96746,,
25,SINALOA,10,MOCORITO,219,236,4465,18943,3569,1291,1526,1053,931,7525,11971,705,400,,,,,52379,19,2128,54526,81765,,
25,SINALOA,11,NAVOLATO,125,172,3921,10095,999,1046,3199,892,661,3518,18691,993,1254,,,,,45269,40,1442,46751,79705,,
25,SINALOA,12,CULIACAN DE ROSALES,66,167,5406,11860,726,1173,1910,1294,1556,5100,27621,1094,1945,,,,,59685,66,1492,61243,98439,,
25,SINALOA,13,CULIACAN DE ROSALES,161,212,5966,13977,743,1407,1907,1007,944,3352,23607,940,1831,,,,,55681,87,1868,57636,98340,,
25,SINALOA,14,CULIACAN DE ROSALES,263,296,6958,13632,663,1610,2078,947,1968,3759,27528,1153,823,2704,1566,,,65389,80,1690,67159,101818,,
25,SINALOA,15,CULIACAN DE ROSALES,78,158,3807,8295,580,1083,1717,835,658,2747,22220,920,646,,,2916,,46424,37,1037,47498,85823,,
25,SINALOA,16,CULIACAN DE ROSALES,55,135,2872,8162,619,1049,2196,986,783,2760,22652,925,835,,,,,43839,29,1032,44900,83586,,
25,SINALOA,17,CULIACAN DE ROSALES,155,192,2653,9944,680,1105,2078,854,938,2873,22876,1083,1997,,,,,47081,45,2341,49467,92373,,
25,SINALOA,18,CULIACAN DE ROSALES,176,218,3580,10697,898,882,2356,916,958,5634,21204,1055,789,,,,,48969,26,1861,50856,94015,,
25,SINALOA,19,LA CRUZ,175,214,3981,18835,1035,2787,1274,1221,931,7504,11734,610,364,,,,,50276,128,4424,54828,84969,,
25,SINALOA,20,MAZATLAN,90,178,7323,13278,840,1550,2094,1409,925,3074,27399,822,852,,,,,59566,34,2034,61634,97053,,
25,SINALOA,21,MAZATLAN,76,166,7514,11341,537,1237,1696,950,942,2105,22121,633,802,,,,1727,51605,124,1240,52969,93155,,
25,SINALOA,22,MAZATLAN,189,212,7254,12222,632,1391,1894,1107,770,2277,24404,824,1167,,,,,53942,250,2029,56221,94504,,
25,SINALOA,23,MAZATLAN,180,212,8916,14569,675,1165,1339,919,889,2905,15545,549,500,,,,,47971,35,1886,49892,86381,,
25,SINALOA,24,EL ROSARIO,147,182,10516,12317,3000,714,348,713,1667,1357,12961,465,347,,,,,44405,16,2074,46495,78645,,
