ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PAN_PRD_PT,PRI_PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,APOZOL,11,12,,105,1242,148,,1413,,,167,,,,,,,,,,,,,,,,,,,,1,3075,156,3232,5408,0.5976
32,ZACATECAS,2,APULCO,8,9,857,408,,232,,287,,,919,,,,,,,,,,,,,,,,,,,,0,2703,87,2790,4278,0.6522
32,ZACATECAS,3,ATOLINGA,8,8,266,,348,,,295,,,622,,,,,,,,,,,,,,,,,,,,0,1531,84,1615,2455,0.6578
32,ZACATECAS,4,BENITO JUAREZ,9,9,,,,74,,1383,,,915,,,,,,,,,,,,,,,,,,,,0,2372,47,2419,3452,0.7008
32,ZACATECAS,5,CALERA,21,48,1191,88,,2046,773,4496,,4084,,,,,,,,,850,,,,,,,,997,,,,6,14525,439,14970,27063,0.5532
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,81,131,489,233,88,1676,,,1572,,,,,,,,,,,,,,71,,,,,,1,4341,113,4455,6021,0.7399
32,ZACATECAS,7,CONCEPCION DEL ORO,22,25,118,128,59,2634,,433,,,2831,,,,,61,,,,,,,,,,,,,,,6,6264,111,6381,9330,0.6839
32,ZACATECAS,8,CUAUHTEMOC,11,18,2079,,81,196,183,1111,,,2504,,,,,,,,,,,,,,,,,,,,0,6154,180,6334,8644,0.7328
32,ZACATECAS,9,CHALCHIHUITES,21,25,1665,,,377,,430,,2661,,,,,,,,,,,,,,,,,,,,,4,5133,120,5257,8408,0.6252
32,ZACATECAS,10,EL PLATEADO DE JOAQUIN AMARO,5,5,,,,4,,637,,,541,,,,,,,,,,,,,,,,,,,,0,1182,12,1194,1656,0.721
