ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,APOZOL,11,12,1271,133,142,,34,105,1242,148,,,,,,,,,,,,,,,,,,,,,1,3075,156,3232,5408,0.5976
32,ZACATECAS,2,APULCO,8,9,254,885,33,857,34,408,,232,,,,,,,,,,,,,,,,,,,,,0,2703,87,2790,4278,0.6522
32,ZACATECAS,3,ATOLINGA,8,8,185,598,110,266,24,,348,,,,,,,,,,,,,,,,,,,,,,0,1531,84,1615,2455,0.6578
32,ZACATECAS,4,BENITO JUAREZ,9,9,1341,868,42,,47,,,74,,,,,,,,,,,,,,,,,,,,,0,2372,47,2419,3452,0.7008
32,ZACATECAS,5,CALERA,21,48,3353,3720,1143,1191,165,88,199,2046,773,,,,,,,,850,,,,,,,,997,,,,6,14525,439,14970,27063,0.5532
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,1585,529,91,81,1043,131,489,233,88,,,,,,,,,,,,,,71,,,,,,1,4341,113,4455,6021,0.7399
32,ZACATECAS,7,CONCEPCION DEL ORO,22,25,124,2738,309,118,93,128,59,2634,,,,,,61,,,,,,,,,,,,,,,6,6264,111,6381,9330,0.6839
32,ZACATECAS,8,CUAUHTEMOC,11,18,159,2042,952,2079,462,,81,196,183,,,,,,,,,,,,,,,,,,,,0,6154,180,6334,8644,0.7328
32,ZACATECAS,9,CHALCHIHUITES,21,25,191,2524,239,1665,41,,96,377,,,,,,,,,,,,,,,,,,,,,4,5133,120,5257,8408,0.6252
32,ZACATECAS,10,EL PLATEADO DE JOAQUIN AMARO,5,5,53,519,584,,22,,,4,,,,,,,,,,,,,,,,,,,,,0,1182,12,1194,1656,0.721
32,ZACATECAS,11,EL SALVADOR,6,6,19,147,502,,974,,,49,22,,,,,,,,,,,,,,,,,,,,0,1713,27,1740,2159,0.8059
32,ZACATECAS,12,GENERAL ENRIQUE ESTRADA,7,11,817,715,286,,66,,25,174,1047,,,,,,,,,,,,,,,,,,,,1,3130,77,3208,4638,0.6917
32,ZACATECAS,13,FRESNILLO,204,313,10228,29195,6980,2751,1957,3264,1377,21865,4712,,,,5430,,,,,,,,,,,,,,,,68,87759,2379,90206,157447,0.5729
32,ZACATECAS,14,TRINIDAD GARCIA DE LA CADENA,7,8,372,778,51,67,26,,,341,,,,,,,,,,,,,,,,,,,,,0,1635,46,1681,2781,0.6045
32,ZACATECAS,15,GENARO CODINA,16,18,279,378,734,174,764,53,,792,,,,,,,,,,,,,706,,,,,,,,2,3880,150,4032,5921,0.681
