CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,18,NAYARIT,1,ACAPONETA,47,64,1181,3711,1970,154,398,85,614,509,6983,368,52,14,2,4,2,68,6,3,16,2,1,8,25,35,4,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16926,845,17771,25837,0.6878
1,18,NAYARIT,2,AHUACATLAN,17,26,2133,2915,127,832,31,71,1292,44,257,24,23,6,0,3,0,6,7,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,,,,1,8089,269,8359,11841,0.7059
1,18,NAYARIT,3,AMATLAN DE CAÑAS,22,26,1325,1832,563,530,30,34,284,287,465,834,14,7,0,0,0,7,6,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,1,6315,321,6637,9290,0.7144
1,18,NAYARIT,4,BAHIA DE BANDERAS,34,148,12462,13084,1489,1761,1063,440,6164,952,2929,581,456,97,13,14,7,95,52,17,28,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,2799,1459,48,46648,1954,48650,96718,0.503
1,18,NAYARIT,5,COMPOSTELA,72,115,7972,8220,595,1054,751,378,4372,586,3663,451,92,34,8,9,2,31,41,5,13,2,18,,,,,,,,,,,,,,,,,,,,,51,383,,,,,,,,,,,,1643,,,,,22,30374,1442,31838,54393,0.5853
1,18,NAYARIT,6,HUAJICORI,19,24,242,2406,810,42,26,24,81,87,1887,30,12,4,0,0,1,19,0,0,9,1,0,6,5,20,0,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5867,230,6097,7764,0.7853
1,18,NAYARIT,7,IXTLAN DEL RIO,24,40,2662,2786,387,2222,549,50,2658,104,381,184,29,21,0,2,1,5,26,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,,,,6,12651,657,13314,20223,0.6584
1,18,NAYARIT,8,JALA,18,28,3824,3600,66,46,75,12,579,653,338,76,16,4,0,1,0,12,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,0,9463,294,9757,12805,0.762
1,18,NAYARIT,9,DEL NAYAR,20,50,6930,2804,621,132,518,86,753,245,1238,430,84,15,5,1,1,59,17,18,7,2,1,10,24,16,11,,,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15162,1077,16240,24778,0.6554
1,18,NAYARIT,10,ROSAMORADA,43,61,2602,5011,704,950,293,128,479,2310,2661,320,63,19,2,8,1,20,38,3,13,0,4,13,15,33,9,602,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17001,794,17798,25130,0.7082
