ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_PRD_PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI,PVEM,MC,NVA_ALIANZA,MORENA,ES,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
18,NAYARIT,1,ACAPONETA,86,117,6342,9663,,,869,,10492,456,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29290,1357,30649,43197,0.7095
18,NAYARIT,2,TECUALA,73,97,6717,13383,,,1351,,3304,502,,3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28570,1434,30009,44128,0.68
18,NAYARIT,3,JESUS MARIA,47,91,13630,7558,,,1677,,1737,553,,,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26510,1525,28040,41526,0.6752
18,NAYARIT,4,TUXPAN,73,97,9965,9115,,,1723,,1502,330,,,,7430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30065,1155,31240,46198,0.6762
18,NAYARIT,5,SANTIAGO IXCUINTLA,73,101,13268,9661,,,934,,2376,270,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,27258,1167,28444,44968,0.6325
18,NAYARIT,6,TEPIC,52,92,9842,,7117,862,1438,772,5241,453,,,,,,821,884,675,,,,,,,,,,,,,,,,,,,,,,,,,,,17,28105,1135,29257,45495,0.6431
18,NAYARIT,7,TEPIC,44,86,7996,,4632,864,1482,932,4176,483,,,,,,,,,2232,453,1415,,,,,,,,,,,,,,,,,,,,,,,,17,24665,867,25549,47096,0.5425
18,NAYARIT,8,TEPIC,53,87,10060,,5648,753,1343,687,5387,364,,,,,,,,,,,,2545,751,,,,,,,,,,,,,,,,,,,,,,19,27538,815,28372,47049,0.603
18,NAYARIT,9,TEPIC,48,84,8203,,4643,518,1129,1402,5232,472,,,,,,,,,,,,,,4579,575,1039,,,,,,,,,,,,,,,,,,,30,27792,969,28791,47545,0.6056
18,NAYARIT,10,SAN BLAS,62,86,6085,,5635,1360,1605,1929,2190,344,,,,,,,,,,,,,,,,,285,3482,,,,,,,,,,,,,,,,,5,22915,1436,24356,38066,0.6398
18,NAYARIT,11,TEPIC,49,89,11513,,5538,811,3236,771,4927,758,,,,,,,,,,,,,,,,,,,784,1384,536,822,314,,,,,,,,,,,,25,31394,932,32351,48616,0.6654
18,NAYARIT,12,TEPIC,48,84,9832,,5395,581,1784,919,4759,511,,,,,,,,,,,,,,,,,,,,,,,,1403,1173,1129,,,,,,,,,14,27486,854,28354,46128,0.6147
18,NAYARIT,13,SANTA MARIA DEL ORO,64,98,9799,,12118,706,2875,1465,3095,156,,,,,,,,,,,,,,,,,,,,,,,,,,,640,,,,,,,,3,30854,1561,32418,44264,0.7324
18,NAYARIT,14,XALISCO,26,79,9916,,5528,817,1388,891,5815,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515,1015,,,,,,18,27393,957,28368,46624,0.6084
18,NAYARIT,15,COMPOSTELA,58,96,8640,,6340,638,3779,449,3194,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643,,,,,19,25095,1148,26262,45138,0.5818
18,NAYARIT,16,IXTLAN DEL RIO,63,92,11111,,7533,610,4234,435,1103,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,,,,8,27055,1247,28310,41354,0.6846
18,NAYARIT,17,BUCERIAS,25,77,10240,,7002,681,2736,337,1180,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,2799,,2,25873,1096,26971,48227,0.5593
18,NAYARIT,18,MEZCALES,9,71,6703,,6082,382,3428,615,1749,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459,46,20775,858,21679,48491,0.4471
