ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
18,NAYARIT,1,ACAPONETA,86,117,2352,7834,2920,622,493,159,869,1211,10492,456,81,29,4,10,4,92,31,4,29,3,2,17,33,68,7,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29290,1357,30649,43197,0.7095
18,NAYARIT,2,TECUALA,73,97,3007,10340,2424,714,754,326,1351,2111,3304,502,96,17,3,5,1,70,16,5,21,9,3,36,76,55,11,,3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28570,1434,30009,44128,0.68
18,NAYARIT,3,JESUS MARIA,47,91,12160,6547,772,249,572,115,1677,365,1737,553,143,29,9,1,1,83,31,21,7,2,7,11,30,21,12,,,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26510,1525,28040,41526,0.6752
18,NAYARIT,4,TUXPAN,73,97,4528,7996,4021,838,414,236,1723,593,1502,330,134,42,8,3,5,100,15,4,22,8,1,8,54,38,12,,,,7430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30065,1155,31240,46198,0.6762
18,NAYARIT,5,SANTIAGO IXCUINTLA,73,101,5405,8259,5727,1250,825,231,934,476,2376,270,274,83,11,5,14,171,23,8,56,5,5,16,53,21,11,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,27258,1167,28444,44968,0.6325
18,NAYARIT,6,TEPIC,52,92,6777,7117,1579,1001,862,146,1438,772,5241,453,161,47,2,1,2,79,20,3,19,0,5,,,,,,,,,,821,884,675,,,,,,,,,,,,,,,,,,,,,,,,,,,17,28105,1135,29257,45495,0.6431
18,NAYARIT,7,TEPIC,44,86,5600,4632,1332,641,864,119,1482,932,4176,483,140,38,4,2,3,75,17,0,21,2,2,,,,,,,,,,,,,2232,453,1415,,,,,,,,,,,,,,,,,,,,,,,,17,24665,867,25549,47096,0.5425
18,NAYARIT,8,TEPIC,53,87,6607,5648,1864,1063,753,161,1343,687,5387,364,156,56,8,9,3,87,22,3,18,0,3,,,,,,,,,,,,,,,,2545,751,,,,,,,,,,,,,,,,,,,,,,19,27538,815,28372,47049,0.603
18,NAYARIT,9,TEPIC,48,84,5414,4643,1544,717,518,109,1129,1402,5232,472,172,55,6,3,9,135,18,4,14,2,1,,,,,,,,,,,,,,,,,,4579,575,1039,,,,,,,,,,,,,,,,,,,30,27792,969,28791,47545,0.6056
18,NAYARIT,10,SAN BLAS,62,86,4508,5635,760,473,1360,179,1605,1929,2190,344,59,16,4,2,1,38,17,2,12,2,12,,,,,,,,,,,,,,,,,,,,,285,3482,,,,,,,,,,,,,,,,,5,22915,1436,24356,38066,0.6398
