ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PRI_PVEM_NVA_ALIANZA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
6,COLIMA,6,ARMERIA,21,41,0,2385,3158,1641,3775,159,139,0,161,906,29,1,12353,500,12854,20876,0.6157
6,COLIMA,1,COLIMA,91,218,0,22851,22739,1353,13317,1510,5294,0,1207,917,450,23,69638,2207,71868,117846,0.6098
6,COLIMA,2,COMALA,13,32,0,4545,5125,370,0,417,268,198,102,57,167,2,11249,273,11524,15950,0.7225
6,COLIMA,3,COQUIMATLAN,15,33,3829,4992,0,103,0,424,815,0,64,84,45,0,10356,185,10541,15445,0.6825
6,COLIMA,4,CUAUHTEMOC,18,43,4534,7626,0,1157,0,222,279,0,153,95,0,1,14066,330,14397,21876,0.6581
6,COLIMA,7,IXTLAHUACAN,8,12,0,218,1814,37,1481,51,16,35,6,43,0,0,3701,107,3808,4875,0.7811
6,COLIMA,8,MANZANILLO,70,216,22682,39812,0,630,0,1343,1886,0,1120,721,1032,13,69226,1426,70665,126616,0.5581
6,COLIMA,9,MINATITLAN,7,15,0,824,1999,0,2282,29,134,0,12,0,43,0,5323,119,5442,6771,0.8037
6,COLIMA,10,TECOMAN,60,137,17223,20358,0,629,0,952,2611,0,919,405,266,13,43363,946,44322,78843,0.5622
6,COLIMA,5,VILLA DE ALVAREZ,67,156,18775,24657,0,951,0,1455,3461,0,1232,541,468,20,51540,1166,52726,89433,0.5896
