ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRI_PVEM,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERÉTARO,1,AMEALCO DE BONFIL,34,87,15081,10286,413,,439,396,158,1451,352,167,231,79,36,26,6,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,,,,29682,12,1584,31278,45894,
22,QUERÉTARO,2,ARROYO SECO,11,23,103,2610,2320,,54,43,32,1438,146,15,143,15,28,12,1,,,,,,,,77,,,,254,,,,,,,,,,,,,,,,,,,,7291,1,394,7686,10955,
22,QUERÉTARO,3,CADEREYTA DE MONTES,30,85,8600,5119,310,180,458,315,265,3719,556,142,220,149,71,77,20,240,,,,,236,,,,,,,,,,,,,,4275,4011,,,,,,,,,,,28963,15,1628,30606,49997,
22,QUERÉTARO,4,COLÓN,21,71,8043,4802,294,947,214,394,101,1434,298,2224,69,,,,,151,,,,,,,,,,5495,,,,,1329,,,,,,,,,,1056,,,,,,26851,4,1325,28180,43739,
22,QUERÉTARO,5,CORREGIDORA,62,217,38662,9957,753,741,1296,3733,846,15695,2988,388,,603,298,130,39,625,542,155,81,17,,,,,,,,,2004,,,3346,1974,,,,,,,,,1074,,,,,85947,114,2610,88671,134877,
22,QUERÉTARO,6,EZEQUIEL MONTES,17,53,6137,1608,528,116,266,2875,242,6163,408,,472,243,78,71,14,,188,137,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,19572,6,690,20268,30261,
22,QUERÉTARO,7,HUIMILPAN,14,48,6332,3645,554,680,298,547,488,935,300,517,176,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,14592,3,796,15391,27969,
22,QUERÉTARO,8,JALPAN DE SERRA,15,42,3864,4728,97,30,55,60,,1212,1059,117,,,,,,,83,49,13,2,,,77,,,,,,,,,,,,,,1164,,,,,,,,,,12610,1,322,12933,20479,
22,QUERÉTARO,9,LANDA DE MATAMOROS,14,32,4592,4109,61,46,319,37,17,353,46,191,,12,5,7,2,,57,52,13,0,,,60,,,,,,,,,,,,,,,,,,,,,,,,9979,2,566,10547,15876,
22,QUERÉTARO,10,EL MARQUÉS,33,176,22382,19877,7888,569,1337,872,551,10142,932,334,1007,333,100,86,9,645,,,,,,,,3177,,,,,,,,,,,,,,,,,,,,,,,70241,18,2388,72647,112388,
22,QUERÉTARO,11,PEDRO ESCOBEDO,24,84,11424,6593,796,,494,1050,346,3180,2116,399,1704,,,,,,,,,,602,,,,,,,,,,,,,,,,,,,5164,,,,,,,33868,9,1378,35255,51376,
22,QUERÉTARO,12,PEÑAMILLER,14,31,384,3733,27,68,3764,,17,124,48,417,,5,6,3,1,,13,7,3,2,,,,,,,,1388,,,,,,,,,,,,,,,,,,,10010,0,540,10550,14199,
22,QUERÉTARO,13,PINAL DE AMOLES,18,40,3732,3737,259,1774,516,81,,750,,443,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,178,,,,,,,,11588,7,818,12413,19432,
22,QUERÉTARO,14,QUERÉTARO,400,1184,141437,73318,4944,4339,4199,8982,12288,123863,9862,3512,9008,4096,1252,999,146,1802,2148,756,367,67,,,,,21255,,,,,,,,,,,,,,,,,,,,,,428640,227,10687,439554,725247,
22,QUERÉTARO,15,SAN JOAQUÍN,7,16,997,1065,67,7,47,,19,238,34,22,,11,1,4,1,,20,32,3,2,,,,,,,,,,,,,,,,,,1591,,,,,,,,,4161,1,178,4340,6625,
22,QUERÉTARO,16,SAN JUAN DEL RÍO,102,337,46253,21788,1026,1337,1332,2565,1758,26396,2750,934,10443,1406,395,297,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,,120309,44,4206,124559,201655,
22,QUERÉTARO,17,TEQUISQUIAPAN,30,85,4864,7040,300,249,475,3417,228,7836,337,513,177,,,,,,,,,,,79,,,,,,,,,,,,8659,,,,,,,,,499,,,582,35255,16,1214,36485,52131,
22,QUERÉTARO,18,TOLIMÁN,14,37,3471,984,76,94,1720,157,661,781,3454,1330,36,,,,,59,84,38,12,4,,,,,,,,,,241,,,,,,,,,,,,,,440,,,13642,0,694,14336,19853,
