ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
17,MORELOS,1,CUERNAVACA NORTE,55,155,8191,6838,3626,2229,0,0,0,0,6274,1210,2019,5162,5215,2243,1724,162,44731,3786,48679,91757,0.5305
17,MORELOS,2,CUERNAVACA ORIENTE ,50,141,7075,7350,2345,835,0,0,0,0,5397,592,1797,4771,5494,1907,2144,158,39707,3277,43142,87764,0.4916
17,MORELOS,3,CUERNAVACA PONIENTE,50,94,4718,3863,1434,1194,52,19,12,124,3352,215,1153,3178,2570,1541,997,108,24422,2096,26626,51763,0.5144
17,MORELOS,4,CUERNAVACA SUR,61,144,8620,5236,2276,892,118,21,12,49,3697,1176,2899,7045,3821,2295,1675,126,39832,3103,43061,84242,0.5112
17,MORELOS,5,TEMIXCO,63,224,6356,8432,16006,3764,0,0,0,0,14153,4564,2648,1618,5591,2253,3164,72,68549,3829,72450,138257,0.5240
17,MORELOS,6,JIUTEPEC NORTE,33,114,2530,4526,2634,1079,0,0,0,0,4115,388,3157,915,3920,1994,2568,33,27826,1866,29725,70226,0.4233
17,MORELOS,7,JIUTEPEC SUR,37,134,3353,5227,2821,961,0,0,0,0,10049,452,2682,1170,4774,2387,3852,89,37728,2612,40429,85640,0.4721
17,MORELOS,8,TETECALA ,61,151,2645,19191,2751,1392,0,0,0,0,15158,3656,4322,453,1299,1191,1404,29,53462,2402,55893,86931,0.6430
17,MORELOS,9,PUENTE DE IXTLA,43,100,1189,6588,1299,8087,0,0,0,0,2689,3310,2519,2177,3203,947,935,38,32943,1757,34738,59680,0.5821
17,MORELOS,10,ZACATEPEC,53,114,2843,9363,1857,761,74,28,25,365,6119,1659,1826,3723,2263,3022,2266,15,36194,1834,38043,64923,0.5860
17,MORELOS,11,JOJUTLA,62,133,1440,5345,1222,1958,0,0,0,0,6179,4748,1296,6051,5219,1778,1341,40,36577,1900,38517,69488,0.5543
17,MORELOS,12,YAUTEPEC PONIENTE ,50,128,3491,5283,1693,1476,0,0,0,0,8094,1536,3895,4945,4283,1082,1551,33,37329,2316,39678,75732,0.5239
17,MORELOS,13,YAUTEPEC ORIENTE,52,117,4655,4407,1012,1915,23,15,8,3,8091,2523,4590,1622,6691,593,1699,20,37847,1914,39781,65717,0.6053
17,MORELOS,14,CUAUTLA NORTE ,46,125,3194,5892,1735,1802,0,0,0,0,7321,2311,4661,989,2930,1844,1519,54,34198,2215,36467,77854,0.4684
17,MORELOS,15,CUAUTLA SUR ,45,102,2148,4105,1586,1302,0,0,0,0,4338,1621,4120,401,1461,1257,1492,22,23831,1647,25500,57358,0.4446
17,MORELOS,16,AYALA,42,99,6748,5625,6222,3610,0,0,0,0,3018,338,230,769,1114,968,265,59,28907,1819,30785,58593,0.5254
17,MORELOS,17,YECAPIXTLA,43,113,5307,4784,826,3409,0,0,0,0,12044,8216,1578,1376,2921,1244,1117,13,42822,2097,44932,65552,0.6854
17,MORELOS,18,JONACATEPEC,61,136,2332,3158,3585,1910,41,19,27,7,10351,2218,10022,3870,2360,2448,8444,76,50792,3029,53897,77159,0.6985
