ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,ZACATECAS,62,130,3519,10159,2140,1357,1293,1705,717,13750,2152,201,52,79,38,19,,,,2729,,50,39910,1567,41527,71939,0.5780
32,ZACATECAS,2,ZACATECAS,79,133,6073,12548,2680,1897,1059,1062,1387,10261,1878,740,,,,,124,1391,,,,48,41100,1550,42698,69765,0.5921
32,ZACATECAS,3,GUADALUPE,59,114,2583,11178,1811,3264,1353,1332,736,8945,1718,149,68,106,3,10,,,1841,,,35,35097,1522,36654,62877,0.5840
32,ZACATECAS,4,GUADALUPE,55,115,1941,13862,2832,2669,1446,930,960,8243,1645,258,,,,,262,,,,,58,35048,1363,36469,62107,0.5717
32,ZACATECAS,5,FRESNILLO,70,116,2098,12058,1502,1349,900,852,713,9864,2056,196,,,,,186,,,,1255,39,33029,1052,34120,59251,0.5638
32,ZACATECAS,6,FRESNILLO,80,124,3777,10649,1882,2081,1214,1169,964,10401,3252,311,,,,,190,,,,,76,35890,1381,37347,64515,0.5639
32,ZACATECAS,7,FRESNILLO,128,159,2476,15815,7004,1216,842,711,515,6599,2137,459,62,161,11,13,,,,,,27,38021,1327,39375,65056,0.6062
32,ZACATECAS,8,OJOCALIENTE,74,118,1281,7123,5261,8253,4390,991,2697,3555,714,280,,,,,404,,,,,15,34949,1814,36778,57519,0.5925
32,ZACATECAS,9,LORETO,63,109,1969,8844,2294,7600,1038,1998,815,8430,1226,212,,,,,109,,,,,13,34535,1322,35870,55891,0.6272
32,ZACATECAS,10,JEREZ,139,161,10268,10755,1532,1985,868,379,1242,7471,1014,295,72,56,22,6,,,,,,67,35965,1625,37657,64535,0.5846
32,ZACATECAS,11,VILLANUEVA,104,137,2612,12096,9531,2324,1977,840,1366,3524,1580,595,372,243,101,22,,,,,,14,37183,1328,38525,59822,0.6502
32,ZACATECAS,12,VILLA DE COS,143,176,1084,17760,7095,4215,1863,453,3417,6539,1168,457,,,,,160,,,,,42,44211,1550,45803,64180,0.6604
32,ZACATECAS,13,JALPA,125,157,8399,10997,1801,5634,1678,1718,550,4376,1424,469,,,,,314,,,,,17,37360,1551,38928,65830,0.5830
32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,153,181,10114,15669,3361,1418,1571,422,1253,5230,336,634,,,,,199,,,,,34,40207,1681,41922,67770,0.6001
32,ZACATECAS,15,PINOS,118,143,546,19150,4611,1109,533,318,330,14528,394,101,,,,,115,,,,,9,41735,1277,43021,61867,0.6900
32,ZACATECAS,16,RIO GRANDE,88,125,5587,10144,7569,2681,1147,652,737,3912,1139,610,,,,,142,,,,,19,34320,1488,35827,60053,0.5843
32,ZACATECAS,17,SOMBRERETE,120,149,5171,7725,5150,3609,942,167,907,6632,760,1013,130,53,37,14,,,,,,9,32310,1053,33372,58117,0.5765
32,ZACATECAS,18,JUAN ALDAMA,98,132,2317,12622,1434,4362,609,328,548,11230,856,245,,120,,,,,,,,17,34671,1364,36052,60008,0.5917
