uniqueid,year,incumbent_party_Horacio
4001,1997,PRI
4001,2000,PRI
4001,2003,PAN
4001,2006,PRI
4001,2009,PRI_PANAL
4001,2012,PRI_PVEM
4001,2015,MORENA
4001,2018,NA
4002,1997,PRI
4002,2000,PRI
4002,2003,PRI
4002,2006,PRI
4002,2009,PAN
4002,2012,PRI_PVEM
4002,2015,PRI_PVEM
4002,2018,NA
4003,1997,PRI
4003,2000,PAN
4003,2003,PAN
4003,2006,PAN
4003,2009,PRI_PANAL
4003,2012,PRI_PVEM
4003,2015,PAN
4003,2018,NA
4004,1997,PRD
4004,2000,PRI
4004,2003,PAN
4004,2006,PRI
4004,2009,PRI_PANAL
4004,2012,PRI_PVEM
4004,2015,PRI_PVEM
4004,2018,NA
4005,1997,PRI
4005,2000,PRI
4005,2003,PAN
4005,2006,PRI
4005,2009,PAN
4005,2012,PRI_PVEM
4005,2015,PAN
4005,2018,NA
4006,1997,PRI
4006,2000,PRI
4006,2003,PAN
4006,2006,PRI
4006,2009,PAN
4006,2012,PRI_PVEM
4006,2015,PRI_PVEM
4006,2018,NA
4007,1997,PRI
4007,2000,PRI
4007,2003,PRI
4007,2006,PRD_PT_MC
4007,2009,PRI_PANAL
4007,2012,PRI_PVEM
4007,2015,PAN
4007,2018,NA
4008,1997,PRI
4008,2000,PRI
4008,2003,PRI
4008,2006,PRI
4008,2009,PAN
4008,2012,PRI_PVEM
4008,2015,PRI_PVEM
4008,2018,NA
4009,1997,PRI
4009,2000,PRI
4009,2003,PAN
4009,2006,PRD_PT_MC
4009,2009,PRI_PANAL
4009,2012,PRI_PVEM
4009,2015,PRI_PVEM
4009,2018,NA
4010,1997,PRI
4010,2000,PRI
4010,2003,PRI
4010,2006,PRD_PT_MC
4010,2009,PRI_PANAL
4010,2012,PRI_PVEM
4010,2015,PAN
4010,2018,NA
4011,2000,PRI
4011,2003,PRI
4011,2006,PAN
4011,2009,PAN
4011,2012,PRI_PVEM
4011,2015,PAN
4011,2018,NA
