ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERÉTARO,1,QUERÉTARO,62,175,19320,11080,1198,1001,683,2079,1758,19878,1405,619,4703,,,,,,,,63723,81,2772,66577,108525,
22,QUERÉTARO,2,QUERÉTARO,66,187,19223,7646,1301,943,1025,2597,1446,20549,1627,2341,5156,,,,,,,,63854,93,2703,66650,112569,
22,QUERÉTARO,3,QUERÉTARO,67,164,18589,6101,1141,1308,1018,1635,1584,20159,1547,1353,3843,,,,,,,,58278,89,2113,60480,102541,
22,QUERÉTARO,4,QUERÉTARO,62,176,28408,6287,1718,1523,1378,1415,1205,16685,1163,1119,3015,,,,,,,,63916,99,2624,66639,109805,
22,QUERÉTARO,5,QUERÉTARO,65,188,26091,10225,1230,1886,1367,2423,1328,17748,1600,681,3479,,,,,,3045,,71103,56,3008,74167,113327,
22,QUERÉTARO,6,QUERÉTARO,51,187,26387,9274,1064,1475,1407,3100,1997,17413,2305,939,3715,,2982,,,,,,72058,77,3105,75240,117394,
22,QUERÉTARO,7,CORREGIDORA,63,179,25883,10293,1282,1142,2298,3179,1130,11045,1539,804,1975,,,,,1858,,,62428,49,3422,65899,104811,
22,QUERÉTARO,8,SAN JUAN DEL RÍO,66,180,25170,16523,913,837,1054,2492,1032,10197,1141,471,2036,,,,,,,,61866,50,3362,65278,96694,
22,QUERÉTARO,9,SAN JUAN DEL RÍO,53,170,21436,8209,745,1056,1809,2176,1288,17251,1496,1024,1911,3134,,,,,,,61535,80,2230,63845,104113,
22,QUERÉTARO,10,PEDRO ESCOBEDO,41,158,19890,11690,1640,1161,2638,2660,1558,12872,2619,1323,3055,,,,,,,,61106,38,2848,63992,98118,
22,QUERÉTARO,11,TEQUISQUIAPAN,51,156,23923,12438,1658,0,1164,2454,1060,10987,1367,2567,923,,,,3219,,,,61760,73,3438,65271,95870,
22,QUERÉTARO,12,EL MARQUÉS,33,176,18541,18089,7063,1553,1113,1947,1111,12354,1268,1043,1447,,,4417,,,,,69946,34,2783,72763,112388,
22,QUERÉTARO,13,QUERÉTARO,40,193,24476,9949,1282,1250,616,1895,1484,16022,1801,558,1194,,,,,,,3011,63538,66,2613,66217,119121,
22,QUERÉTARO,14,CADEREYTA DE MONTES,61,175,21346,11645,1808,1238,2376,3346,1319,12099,2366,1256,2069,,,,,,,,60868,41,4021,64930,100111,
22,QUERÉTARO,15,JALPAN DE SERRA,79,184,15205,20837,2222,1301,4791,551,631,6404,1417,1028,692,,,,,,,,55079,16,4092,59187,87566,
