MUNICIPIO,Dtto,SECCION,LNOM,PAN,PRI,PRD,PT,PVEM,PUDC,PCC,PL,PCD,PAS,PSN,NULOS,CCM1,CCM2,TOTAL
Abasolo,15,1,589,194,261,0,12,0,0,0,0,0,0,0,5,0,0,472
Abasolo,15,2,381,125,100,0,1,0,0,0,0,0,0,0,3,0,0,229
Acuña,19,3,2241,84,348,194,8,0,258,6,7,2,0,0,12,0,0,919
Acuña,19,4,3218,128,526,238,5,0,292,13,4,0,0,0,33,138,0,1377
Acuña,19,5,1024,37,146,124,3,0,96,9,2,0,0,0,315,7,0,739
Acuña,19,6,1149,61,128,118,3,0,72,10,2,0,0,0,26,7,0,427
Acuña,19,7,1444,73,180,161,11,0,130,6,2,0,0,0,1,12,0,576
Acuña,19,8,1495,68,233,148,1,0,113,7,6,2,0,0,9,13,0,600
Acuña,19,9,2544,132,475,193,2,0,114,12,5,2,0,0,29,14,0,978
Acuña,19,10,3935,169,608,349,12,0,284,16,32,0,0,0,35,32,0,1537
Acuña,19,11,2363,125,340,224,3,0,221,12,10,1,0,0,14,4,0,954
Acuña,19,12,2650,116,383,218,5,0,243,14,6,2,0,0,23,38,0,1048
Acuña,19,13,580,42,88,67,0,0,59,4,3,0,0,0,6,7,0,276
Acuña,19,14,1076,29,151,90,3,0,96,3,7,0,0,0,13,15,0,407
Acuña,19,15,1209,32,190,131,2,0,84,11,2,0,0,0,5,13,0,470
Acuña,19,16,1307,61,274,170,2,0,45,3,0,0,0,0,3,0,0,558
Acuña,19,17,1300,64,213,120,4,0,94,13,2,0,0,0,7,6,0,523
Acuña,19,18,1632,92,237,164,1,0,120,15,2,1,0,0,9,11,0,652
Acuña,19,19,4166,195,527,352,5,0,306,13,7,0,0,0,26,28,0,1459
Acuña,19,20,1482,86,218,151,5,0,112,5,4,0,0,0,12,12,0,605
Acuña,19,21,1224,73,144,98,0,0,85,7,3,0,0,0,10,0,0,420
Acuña,19,22,1277,73,165,54,4,0,154,6,1,1,0,0,15,0,0,473
