ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRD,PVEM,PT,MC,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,1,AHUMADA,15,22,150,37,,,2838,,,,2220,,,,,,,,,,,,,,1,5245,128,5374,8909,0.6032
8,CHIHUAHUA,2,ALDAMA,20,35,6863,591,,,,174,110,2791,,,,,,,,,,,,,,,0,10529,223,10752,18678,0.5757
8,CHIHUAHUA,3,ALLENDE,13,16,2289,102,,,,,101,,2432,,,,,,,,,,,,,,2,4924,91,5017,7280,0.6891
8,CHIHUAHUA,4,AQUILES SERDAN,3,17,660,82,3023,,206,74,,,,2039,,,,,,,,,,,,,0,6084,195,6279,10327,0.608
8,CHIHUAHUA,5,ASCENSION,21,33,3130,68,,,404,52,,4230,,,,,,,,,,,,,,,1,7884,205,8090,17014,0.4755
8,CHIHUAHUA,6,BACHINIVA,18,18,1639,107,,,,,,1642,,,,,,,,,,,,,,,1,3388,102,3491,5582,0.6254
8,CHIHUAHUA,7,BALLEZA,14,24,3282,14,,,,,22,4655,,,,,,,,,,,,,,,3,7973,389,8365,12851,0.6509
8,CHIHUAHUA,8,BATOPILAS,11,17,737,,,,35,,,,,2643,,,,,,,,,,,,,7,3415,559,3981,8459,0.4706
8,CHIHUAHUA,9,BOCOYNA,22,42,2962,107,,104,3697,,1758,,3209,,,,,,,,,,,,,,4,11837,748,12589,20561,0.6123
8,CHIHUAHUA,10,BUENAVENTURA,26,38,4111,147,,,377,76,,4675,,,,,,,,,,,,,,,1,9386,230,9617,17751,0.5418
8,CHIHUAHUA,11,CAMARGO,40,71,13454,392,,,438,233,151,7101,,,,,,,,,,,,,,,9,21769,350,22128,37310,0.5931
8,CHIHUAHUA,12,CARICHI,16,18,1057,819,,,783,164,,,,1441,,,,,,,,,,,,,3,4264,367,4634,7058,0.6566
