ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,14,16,1280,605,,19,27,1033,34,350,,,,,,,,,,,,,,1,3348,129,3478,6097,0.5704
8,CHIHUAHUA,35,JANOS,12,18,591,1163,,9,26,1668,19,5,,,,,,,,,,,,,,0,3481,72,3553,7325,0.4851
8,CHIHUAHUA,36,JIMENEZ,36,58,5487,4920,458,104,1083,945,268,1393,60,,,,,,186,522,410,,,,,4,15836,436,16276,29522,0.5513
8,CHIHUAHUA,37,JUAREZ,1174,1935,61243,82335,4609,7421,4542,,9860,17768,7980,,,,,,,,,205904,,,,1510,401662,15875,419047,1023228,0.4095
8,CHIHUAHUA,38,JULIMES,6,9,1372,1254,51,18,7,6,85,32,,,,,,,,,,,,,,1,2825,57,2883,4656,0.6192
8,CHIHUAHUA,39,LOPEZ,6,8,860,679,52,17,403,,16,277,49,,,,,,,,,,,,,0,2353,71,2424,3484,0.6958
8,CHIHUAHUA,40,MADERA,47,59,7335,3483,765,103,78,139,166,,148,,,,,,,,,,,,,3,12217,360,12580,22370,0.5624
8,CHIHUAHUA,41,MAGUARICHI,5,5,124,591,,7,5,11,15,,,,,,,,,,,,,,,0,753,25,778,1414,0.5502
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,34,341,46,72,489,,341,,,,,,,,,,,,,,,0,1323,49,1372,1927,0.7120
8,CHIHUAHUA,43,MATACHI,7,8,764,370,,7,11,410,28,,,,,,,,,,,,,,,1,1590,60,1651,2636,0.6259
8,CHIHUAHUA,44,MATAMOROS,8,10,1318,615,,11,114,383,20,18,,,,,,,,,,,,,,0,2479,69,2548,3959,0.6436
8,CHIHUAHUA,45,MEOQUI,35,64,6384,3397,970,184,159,2470,1119,501,291,,,,,,,,,,,,,136,15475,396,16007,33726,0.4746
8,CHIHUAHUA,46,MORELOS,8,11,1036,1579,904,45,33,3,28,,,,,,,,,,,,,,,0,3628,195,3823,5331,0.7171
8,CHIHUAHUA,47,MORIS,8,11,1093,561.5,,280.75,,232,280.75,,,,,,,,,,,,,,,0,2448,74,2522,4012,0.6286
8,CHIHUAHUA,48,NAMIQUIPA,44,51,2998,1576,1508,207,,90,1576,230,,,,,,,,,,,,,,3,8185,435,8623,18913,0.4559
8,CHIHUAHUA,49,NONOAVA,5,7,1080,934,,13,6,,10,,,,,,,,,,,,,,,0,2043,25,2068,2547,0.8115
8,CHIHUAHUA,50,NUEVO CASAS GRANDES,64,90,7376,5273,6321,272,869,307,399,606,294,,,,,,,,,,,,,11,21717,656,22384,47026,0.4760
8,CHIHUAHUA,51,OCAMPO,14,16,421,592,357,903,,401,592,25,,,,,,,,,,,343,,,0,3634,177,3811,5813,0.6556
8,CHIHUAHUA,52,OJINAGA,26,42,5721,2482,73,1241,150,55,1241,102,52,,,,,,,,,,,,,8,11117,566,11691,21390,0.5466
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,12,830,565.5,695,282.75,,92,282.75,54,59,,,,,,,,,,,,,3,2861,107,2971,6141,0.4838
8,CHIHUAHUA,54,RIVA PALACIO,8,15,1361,613,42,,,,613,7,,,,,,,,,,,,,,1,2636,50,2687,7330,0.3666
8,CHIHUAHUA,55,ROSALES,16,26,2911,3309,284,65,71,107,164,112,180,,,,,,,,,,,,,1,7203,193,7397,13135,0.5632
8,CHIHUAHUA,56,ROSARIO,4,4,810,383.5,,191.75,,,191.75,,,,,,,,,,,,,,,0,1577,11,1588,2007,0.7912
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,851,336.5,,168.25,21,57,168.25,,,,,,,,,,,,,,,0,1602,39,1641,2358,0.6959
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,763,482,473,3,6,64,9,20,,,,,,,,,,,,,,0,1820,15,1835,2590,0.7085
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,207,1303,1242,17,33,32,49,,36,,,,,,,,,,,,,0,2919,84,3003,4295,0.6992
8,CHIHUAHUA,60,SANTA BARBARA,20,22,813,1147,1012,31,68,1786,54,101,78,,,,,,,,,,,113,321,4,5524,144,5672,8584,0.6608
8,CHIHUAHUA,61,SATEVO,13,13,1492,1232,,15,8,3,17,,23,,,,,,,,,,,,,0,2790,72,2862,4088,0.7001
8,CHIHUAHUA,62,SAUCILLO,32,45,5152,3961,1932,92,106,131,522,264,219,,,,,,,,,,,,,7,12379,316,12702,24234,0.5241
8,CHIHUAHUA,63,TEMOSACHIC,13,16,1621,1163,15,37,13,34,21,44,,,,,,,,,,,,,,0,2948,110,3058,5315,0.5754
8,CHIHUAHUA,64,EL TULE,6,6,832,413.5,,206.75,,,206.75,,,,,,,,,,,,,,,0,1659,10,1669,2210,0.7552
8,CHIHUAHUA,65,URIQUE,16,28,3010,3399,193,104,75,39,120,7,,,,,,,,,,,,,,0,6947,430,7377,13291,0.5550
8,CHIHUAHUA,66,URUACHI,11,15,1241,1277,414,49,16,4,34,,,,,,,,,,,,,,,0,3035,160,3195,5462,0.5850
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,13,15,380,1456,707,29,29,48,19,,9,,,,,,,,,,,,,0,2677,107,2784,4346,0.6406
