CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,6,,1,COLIMA,1,8,1327,706,23,59,35,1029,181,433,19,14,15,4,2,0,7,,,3854,8,48,3910,5339
5,6,COLIMA,6,,1,COLIMA,2,2,197,120,4,6,6,153,24,55,1,2,3,2,1,0,0,,,574,1,3,578,843
5,6,COLIMA,2,,1,COLIMA,3,3,213,178,12,23,35,283,92,196,7,2,13,6,4,0,3,,,1067,1,30,1098,1625
5,6,COLIMA,2,,1,COLIMA,4,1,113,97,2,12,3,124,42,66,2,1,2,1,1,3,0,,,469,0,9,478,663
5,6,COLIMA,2,,1,COLIMA,5,1,92,71,3,12,3,102,15,57,2,0,0,0,2,0,1,,,360,0,8,368,525
5,6,COLIMA,6,,1,COLIMA,6,3,458,259,13,16,8,372,46,127,3,11,3,2,2,0,0,,,1320,1,13,1334,1848
5,6,COLIMA,2,,1,COLIMA,7,2,96,108,0,13,12,139,50,110,2,0,6,4,0,0,0,,,540,0,15,555,787
5,6,COLIMA,2,,1,COLIMA,8,2,169,157,5,12,14,225,49,110,4,0,6,3,3,0,0,,,757,1,14,772,1061
5,6,COLIMA,2,,1,COLIMA,9,2,155,127,4,10,7,189,50,75,0,2,1,3,0,0,0,,,623,0,15,638,852
5,6,COLIMA,2,,1,COLIMA,10,2,161,150,8,21,19,185,34,136,7,3,2,3,0,0,0,,,729,0,33,762,1167
5,6,COLIMA,2,,1,COLIMA,11,1,105,63,1,6,5,144,33,64,1,0,0,0,0,0,0,,,422,0,6,428,584
5,6,COLIMA,6,,1,COLIMA,12,2,193,144,2,10,1,219,24,68,2,1,1,2,1,1,0,,,669,0,6,675,894
5,6,COLIMA,6,,1,COLIMA,13,2,351,170,3,14,14,335,68,102,3,1,6,4,0,0,0,,,1071,1,13,1085,1482
5,6,COLIMA,2,,1,COLIMA,14,2,92,116,8,23,11,159,51,128,5,1,8,3,0,0,1,,,606,0,20,626,912
5,6,COLIMA,2,,1,COLIMA,15,1,70,76,3,5,3,82,24,65,2,1,2,0,1,0,1,,,335,1,11,347,498
5,6,COLIMA,2,,1,COLIMA,16,1,91,81,1,1,2,125,26,77,0,0,3,1,0,2,3,,,413,0,11,424,613
5,6,COLIMA,2,,1,COLIMA,17,1,120,59,6,15,6,131,19,78,0,1,3,3,0,0,0,,,441,1,11,453,670
5,6,COLIMA,2,,1,COLIMA,18,2,144,104,4,14,6,171,42,106,5,0,4,6,0,0,2,,,608,1,9,618,844
5,6,COLIMA,2,,1,COLIMA,19,2,177,133,4,6,7,205,62,89,4,1,4,1,0,1,1,,,695,2,13,710,962
5,6,COLIMA,1,,1,COLIMA,20,3,209,149,5,8,9,224,39,80,0,2,2,2,1,1,1,,,732,0,10,742,910
