CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,6,,1,COLIMA,1,B,1,0,B,159,88,3,8,4,133,14,68,2,1,3,1,0,0,0,,,484,1,7,492,668,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,1,0,C01,168,87,2,8,2,129,25,64,1,2,1,0,0,0,1,,,490,3,6,499,668,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,2,0,C02,158,84,4,9,5,132,24,48,5,1,1,0,2,0,0,,,473,2,5,480,668,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,3,0,C03,162,97,6,7,4,113,25,42,2,2,2,0,0,0,0,,,462,2,6,470,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,4,0,C04,154,96,3,8,6,132,17,53,4,2,0,1,0,0,6,,,482,0,6,488,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,5,0,C05,191,91,1,5,3,127,17,54,1,3,2,1,0,0,0,,,496,0,6,502,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,6,0,C06,146,87,1,8,6,136,32,45,1,3,2,0,0,0,0,,,467,0,7,474,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,7,0,C07,189,76,3,6,5,127,27,59,3,0,4,1,0,0,0,,,500,0,5,505,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,2,B,1,0,B,93,56,1,2,5,86,12,27,1,1,1,1,1,0,0,,,287,0,1,288,422,Acta Levantada en el Consejo,,,
5,6,COLIMA,6,,1,COLIMA,2,C,1,0,C01,104,64,3,4,1,67,12,28,0,1,2,1,0,0,0,,,287,1,2,290,421,Acta de Casilla,,,
