ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI_PVEM_PT_NVA_ALIANZA,PRD,MC,NVA_ALIANZA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
6,COLIMA,1,COLIMA,212,494,63783,65412,3116,23604,1056,287,54,2777,160089,265425,0.6031
6,COLIMA,2,MANZANILLO,158,409,47774,56139,2055,10161,1262,991,36,2829,121247,233106,0.5201
