ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
6,COLIMA,1,COLIMA,212,494,63783,52746,3116,2718,3568,23604,6380,1056,287,54,2777,160089,265425,0.6031
6,COLIMA,2,MANZANILLO,158,409,47774,41009,2055,8196,2495,10161,4439,1262,991,36,2829,121247,233106,0.5201
