ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,1,MONTERREY,86,337,34087,36359,2028,8226,5289,16412,4221,449,936,2820,3500,7279,,,,,,,,,,,,,121606,3874,125480,223034,0.5630
19,NUEVO LEON,2,MONTERREY,61,183,10753,22270,802,9001,2350,3954,1531,204,333,1079,1364,4420,,,,,,,,,,,,,58061,2393,60454,112463,0.5380
19,NUEVO LEON,3,MONTERREY,72,171,18889,17092,1248,4464,2533,8621,2973,232,,1634,1743,3355,,,,,,,,,,,,,62784,2258,65042,102488,0.6380
19,NUEVO LEON,4,MONTERREY,91,181,25614,14146,815,1592,1857,14931,1590,271,687,1652,1568,1444,,,,,,,,,,,,,66167,1753,67920,101890,0.6670
19,NUEVO LEON,5,MONTERREY,143,157,14748,13725,669,1592,2275,5913,1171,170,340,1250,1282,2073,,,,,,,,,,,,,45208,1365,46573,77065,0.6040
19,NUEVO LEON,6,MONTERREY,114,155,14555,11592,1824,1695,1559,4517,1453,291,494,1148,3402,1328,,,,,,,,,,,,,43858,1270,45128,75810,0.5950
19,NUEVO LEON,7,MONTERREY,98,159,19390,10349,834,1671,1918,9198,1757,237,454,1677,1244,2437,,,,,,,,,,,,,51166,1421,52587,82165,0.6400
19,NUEVO LEON,8,MONTERREY,71,214,25755,17278,840,2377,4260,12969,1752,179,600,1660,1436,,6792,,,,,,,,,,,,75898,2493,78391,129805,0.6040
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,74,194,33836,10197,1366,1246,2856,7884,2000,176,,1435,1628,,,6702,,,,,,,,,,,69326,1539,70865,113840,0.6230
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,70,194,31640,11952,916,1239,4060,9545,2287,229,,1865,1500,2546,,,,,,,,,,,,,67779,1878,69657,115134,0.6050
19,NUEVO LEON,11,SAN NICOLAS DE LOS GARZA,83,192,31480,10584,1601,1871,3343,9901,2485,265,638,1832,1560,3364,,,,,,,,,,,,,68924,1564,70488,110592,0.6370
19,NUEVO LEON,12,GUADALUPE,64,204,26055,19748,1086,1559,3532,10915,3577,257,514,2248,1818,2151,,,,,,,,,,,,,73460,2074,75534,126952,0.5950
19,NUEVO LEON,13,GUADALUPE,60,225,22941,25364,1093,1448,3298,7888,3191,423,507,2037,1578,,,,6814,,,,,,,,,,76582,2039,78621,144419,0.5440
19,NUEVO LEON,14,GUADALUPE,85,273,33901,25319,1953,2144,6174,9929,3201,284,615,2086,2084,,,,,7785,,,,,,,,,95475,2228,97703,165412,0.5910
19,NUEVO LEON,15,GUADALUPE,84,156,19127,14440,786,789,4661,6002,1816,238,394,1391,1075,,,,,,3886,,,,,,,,54605,1230,55835,87103,0.6410
19,NUEVO LEON,16,APODACA,288,628,55131,58726,4069,3779,11982,22174,6794,488,1026,4101,3449,3545,,,,,,14594,,,,,,,189858,4554,194412,360935,0.5390
19,NUEVO LEON,17,GENERAL ESCOBEDO,135,437,36068,43740,3723,4265,7032,16706,5340,421,929,3138,3848,,,,,,,,12655,,,,,,137865,3760,141625,272504,0.5200
19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,77,209,29055,12020,922,710,2229,15996,1703,723,404,925,2402,885,,,,,,,,9488,,,,,77462,1783,79245,128742,0.6160
19,NUEVO LEON,19,SANTA CATARINA,72,257,42100,16336,1198,1688,4529,9039,2812,554,382,2393,1898,1070,,,,,,,,,8652,,,,92651,2225,94876,166499,0.5700
19,NUEVO LEON,20,HIDALGO,196,406,28268,39599,11394,3988,6869,8593,4290,1714,,2119,2808,,,,,,,,,,,13648,,,123290,3977,127267,225622,0.5640
19,NUEVO LEON,21,SABINAS HIDALGO,67,100,18257,10507,2034,718,751,,1641,26,93,378,1831,,,,,,,,,,,,869,,37105,760,37865,54220,0.6980
19,NUEVO LEON,22,CHINA,251,443,34250,45343,1304,1822,13509,6031,3762,320,1020,1695,2238,20374,,,,,,,,,,,,,131668,4046,135714,246209,0.5520
19,NUEVO LEON,23,CADEREYTA JIMENEZ,71,176,13928,15871,402,4733,11542,2194,1128,270,714,995,2031,926,,,,,,,,,,,,,54734,1594,56328,100819,0.5740
19,NUEVO LEON,24,MONTEMORELOS,81,151,16502,20948,287,1442,1166,1895,2497,70,806,942,1208,632,,,,,,,,,,,,,48395,1767,50162,85605,0.5860
19,NUEVO LEON,25,LINARES,61,123,15206,10149,910,204,3015,508,7799,55,746,179,224,1045,,,,,,,,,,,,,40040,2100,42140,69420,0.6070
19,NUEVO LEON,26,GALEANA,111,173,16807,31698,320,2663,633,506,4424,40,102,202,316,1423,,,,,,,,,,,,,59134,2599,61733,81710,0.7560
