CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1432,B,38,169,5,15,9,12,2,0,1,6,8,9,,,,,,,,,,,,,274,20,294,598,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1432,C01,45,171,4,15,13,9,14,3,0,7,3,11,,,,,,,,,,,,,295,11,306,598,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1432,C02,38,164,9,24,7,18,7,1,1,6,7,11,,,,,,,,,,,,,293,15,308,598,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1433,B,52,151,4,17,11,15,8,2,0,4,6,15,,,,,,,,,,,,,285,12,297,609,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1433,C01,49,159,7,10,9,18,10,1,3,1,7,18,,,,,,,,,,,,,292,10,302,609,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1433,C02,46,176,6,16,8,15,11,0,0,4,12,12,,,,,,,,,,,,,306,14,320,609,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1434,B,53,180,7,8,8,18,10,2,6,6,0,0,,,,,,,,,,,,,298,14,312,678,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1434,C01,43,147,8,26,9,18,3,1,0,3,11,9,,,,,,,,,,,,,278,19,297,677,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1434,C02,42,163,7,21,8,19,4,1,0,1,7,12,,,,,,,,,,,,,285,13,298,677,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1435,B,47,143,29,15,9,11,5,4,0,6,4,21,,,,,,,,,,,,,294,14,308,615,Acta Casilla,,,
