CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,20,HIDALGO,1,ABASOLO,1,2,91,188,124,10,56,83,51,24,,12,5,,,,,,,,,,,10,,,654,17,671,820
2,19,NUEVO LEON,20,HIDALGO,1,ABASOLO,2,2,120,358,220,32,52,138,84,12,,23,9,,,,,,,,,,,23,,,1071,33,1104,1390
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,3,2,288,229,0,1,98,5,5,3,5,0,0,1,,,,,,,,,,,,,635,8,643,838
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,4,1,147,118,0,2,42,0,0,0,0,0,0,0,,,,,,,,,,,,,309,5,314,433
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,5,1,183,140,0,1,53,5,6,4,2,1,0,2,,,,,,,,,,,,,397,5,402,515
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,6,1,148,131,1,0,88,6,0,6,0,1,1,7,,,,,,,,,,,,,389,14,403,559
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,7,1,34,28,0,0,66,0,0,0,0,0,0,0,,,,,,,,,,,,,128,2,130,202
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,8,1,78,107,1,1,42,4,0,0,0,0,0,1,,,,,,,,,,,,,234,15,249,337
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,9,1,126,25,0,0,79,2,0,0,0,0,1,1,,,,,,,,,,,,,234,2,236,337
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,10,1,90,84,1,1,73,4,7,0,1,0,1,0,,,,,,,,,,,,,262,12,274,374
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,11,1,65,47,0,0,14,1,0,0,0,0,1,1,,,,,,,,,,,,,129,3,132,197
2,19,NUEVO LEON,22,CHINA,3,LOS ALDAMAS,12,1,82,171,0,0,55,0,0,0,0,0,0,0,,,,,,,,,,,,,308,0,308,417
2,19,NUEVO LEON,22,CHINA,3,LOS ALDAMAS,13,1,94,220,3,1,36,4,2,0,1,0,1,0,,,,,,,,,,,,,362,3,365,531
2,19,NUEVO LEON,22,CHINA,3,LOS ALDAMAS,15,1,168,77,1,0,25,2,0,0,0,2,1,0,,,,,,,,,,,,,276,2,278,387
2,19,NUEVO LEON,22,CHINA,3,LOS ALDAMAS,16,1,91,140,1,1,41,1,2,0,0,2,0,0,,,,,,,,,,,,,279,13,292,501
2,19,NUEVO LEON,22,CHINA,3,LOS ALDAMAS,17,1,113,89,0,0,47,0,4,0,0,2,1,0,,,,,,,,,,,,,256,2,258,378
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,20,7,1188,1111,5,22,43,110,25,3,5,33,11,5,,,,,,,,,,,,,2561,70,2631,4523
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,21,4,577,505,1,11,21,59,17,0,3,43,8,3,,,,,,,,,,,,,1248,37,1285,2335
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,22,2,386,344,3,13,9,31,10,0,10,14,6,4,,,,,,,,,,,,,830,14,844,1487
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,23,2,369,352,4,5,10,34,2,2,1,8,0,3,,,,,,,,,,,,,790,26,816,1323
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,24,1,231,174,2,1,4,41,8,1,2,1,3,1,,,,,,,,,,,,,469,6,475,719
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,25,2,459,401,2,7,10,62,3,0,3,4,2,1,,,,,,,,,,,,,954,21,975,1434
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,26,2,493,455,1,3,8,45,9,0,8,11,1,0,,,,,,,,,,,,,1034,20,1054,1470
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,27,2,261,263,0,1,7,39,3,0,0,6,3,1,,,,,,,,,,,,,584,8,592,904
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,28,3,501,560,3,8,11,46,10,0,13,21,3,4,,,,,,,,,,,,,1180,14,1194,2073
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,29,3,400,423,2,14,13,53,10,4,26,18,6,4,,,,,,,,,,,,,973,30,1003,1802
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,30,3,378,361,2,10,11,34,10,0,17,13,5,3,,,,,,,,,,,,,844,40,884,1579
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,31,1,163,148,2,0,2,20,5,1,7,2,0,2,,,,,,,,,,,,,352,12,364,662
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,32,2,223,177,3,3,5,12,1,0,0,5,3,0,,,,,,,,,,,,,432,11,443,901
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,33,2,297,224,2,14,9,23,5,1,2,4,2,1,,,,,,,,,,,,,584,19,603,1117
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,34,2,179,200,3,4,16,15,8,1,2,6,3,3,,,,,,,,,,,,,440,23,463,762
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,35,1,80,58,2,4,5,9,0,0,2,6,2,0,,,,,,,,,,,,,168,5,173,290
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,36,1,51,104,0,1,5,3,2,0,0,3,1,0,,,,,,,,,,,,,170,1,171,299
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,37,1,159,138,1,8,4,15,8,1,0,4,5,2,,,,,,,,,,,,,345,14,359,603
2,19,NUEVO LEON,24,MONTEMORELOS,4,ALLENDE,38,1,137,121,0,12,7,27,0,0,1,4,2,1,,,,,,,,,,,,,312,14,326,595
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,39,2,467,273,8,11,4,,18,0,3,9,92,,,,,,,,,,,,9,,894,27,921,1360
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,40,2,440,277,12,16,10,,13,0,1,5,135,,,,,,,,,,,,5,,914,20,934,1381
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,41,2,156,91,0,10,0,,2,1,1,5,55,,,,,,,,,,,,0,,321,7,328,870
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,42,3,711,314,24,62,4,,12,2,0,13,245,,,,,,,,,,,,8,,1395,30,1425,2043
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,43,2,443,227,7,19,9,,7,1,0,6,91,,,,,,,,,,,,5,,815,12,827,1231
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,44,2,295,166,10,20,4,,6,1,0,4,111,,,,,,,,,,,,6,,623,11,634,922
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,45,2,265,191,2,8,3,,5,0,1,3,53,,,,,,,,,,,,3,,534,14,548,777
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,46,1,232,224,6,22,7,,7,1,0,4,44,,,,,,,,,,,,4,,551,10,561,842
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,47,2,297,145,8,17,5,,3,1,0,4,54,,,,,,,,,,,,4,,538,15,553,781
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,48,2,499,282,3,21,12,,11,0,0,4,92,,,,,,,,,,,,2,,926,24,950,1486
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,49,2,407,261,2,29,6,,13,0,1,0,124,,,,,,,,,,,,5,,848,17,865,1304
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,52,1,81,72,0,1,9,,3,0,0,2,19,,,,,,,,,,,,0,,187,6,193,360
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,55,1,61,54,1,23,5,,5,0,0,0,34,,,,,,,,,,,,1,,184,10,194,273
2,19,NUEVO LEON,21,SABINAS HIDALGO,5,ANAHUAC,61,1,126,140,1,0,3,,3,0,0,1,15,,,,,,,,,,,,0,,289,8,297,417
2,19,NUEVO LEON,16,APODACA,6,APODACA,63,5,292,400,18,22,62,150,31,4,5,30,28,22,,,,,,77,,,,,,,1141,54,1195,2516
2,19,NUEVO LEON,16,APODACA,6,APODACA,66,8,620,678,38,69,186,276,82,5,11,44,43,41,,,,,,208,,,,,,,2301,65,2366,4908
2,19,NUEVO LEON,16,APODACA,6,APODACA,68,8,959,881,52,128,221,382,98,7,12,71,62,55,,,,,,209,,,,,,,3137,58,3195,5990
