"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","RUFINO MONTIEL ESCUDERO","NO REGISTRADO","NULO"
"Atlapexco","162","BASICA","1","305","162","2","0","1","14","4","14","3","0","11"
"Atlapexco","162","CONTIGUA 1","5","304","164","3","0","3","27","5","10","1","0","9"
"Atlapexco","162","CONTIGUA 2","3","278","220","7","0","2","13","7","9","2","0","8"
"Atlapexco","163","BASICA","0","253","68","2","0","0","10","7","1","1","0","13"
"Atlapexco","163","CONTIGUA 1","2","259","33","0","0","5","10","3","2","0","0","37"
"Atlapexco","163","EXTRAORDINARIA 1","0","24","6","1","0","1","2","31","1","1","0","3"
"Atlapexco","164","BASICA","0","183","78","1","0","2","6","4","1","4","0","21"
"Atlapexco","165","BASICA","2","227","104","4","0","11","38","29","4","12","0","28"
"Atlapexco","165","CONTIGUA 1","1","247","134","5","0","2","27","26","3","4","0","28"
"Atlapexco","166","BASICA","2","118","122","3","0","5","28","15","1","17","0","14"
"Atlapexco","166","CONTIGUA 1","1","137","129","2","0","1","22","3","0","11","0","20"
"Atlapexco","167","BASICA","3","176","115","0","0","2","8","18","2","7","0","27"
"Atlapexco","168","BASICA","5","217","102","2","0","1","5","8","5","4","0","29"
"Atlapexco","169","BASICA","1","217","47","5","0","9","3","82","3","5","0","21"
"Atlapexco","169","CONTIGUA 1","1","198","69","4","0","1","9","88","6","3","0","21"
"Atlapexco","170","BASICA","3","138","144","2","0","4","7","8","3","0","0","24"
"Atlapexco","170","CONTIGUA 1","4","120","136","1","0","1","17","6","1","2","0","25"
"Atlapexco","171","BASICA","1","157","285","3","0","0","49","7","8","5","0","17"
"Atlapexco","171","CONTIGUA 1","3","189","292","3","0","0","23","3","3","2","0","20"
"Atlapexco","172","BASICA","0","173","129","2","0","4","8","7","0","4","0","11"
"Atlapexco","173","BASICA","2","168","110","1","0","10","9","7","2","0","0","11"
"Atlapexco","174","BASICA","3","199","183","5","0","25","30","13","1","10","0","12"
"Atlapexco","175","BASICA","4","266","194","3","0","8","16","9","7","6","0","24"
"Atlapexco","176","BASICA","1","155","115","7","0","3","42","4","61","7","0","23"
"Atlapexco","176","CONTIGUA 1","0","155","109","0","0","6","33","4","53","2","0","20"
"Atlapexco","177","BASICA","1","212","136","1","0","1","3","6","13","2","0","26"
"Atlapexco","177","CONTIGUA 1","2","177","141","2","0","1","11","18","10","0","0","27"
