"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","HÉCTOR HERRERA OCAMPO","NO REGISTRADO","NULO","...20"
"Apan","127","BASICA","170","64","40","28","1","33","2","13","4","0","0","0","0","2","0","9",NA
"Apan","127","CONTIGUA 1","148","72","45","25","3","25","7","15","4","0","0","0","0","2","0","6",NA
"Apan","127","CONTIGUA 2","159","53","37","17","3","31","8","7","5","0","0","0","0","3","0","4",NA
"Apan","127","CONTIGUA 3","153","58","48","17","0","33","8","13","2","0","0","1","0","2","0","5",NA
"Apan","127","ESPECIAL 1","5","4","3","1","0","2","0","0","1","0","0","0","0","0","4","1",NA
"Apan","128","BASICA","163","61","48","20","5","18","2","11","0","0","0","0","0","0","5","11",NA
"Apan","128","CONTIGUA 1","147","76","61","23","1","19","12","14","0","0","0","0","4","0","0","3",NA
"Apan","128","CONTIGUA 2","154","62","47","20","1","19","5","18","5","0","0","0","0","4","0","3",NA
"Apan","128","CONTIGUA 3","146","41","40","22","0","28","3","22","4","0","0","0","0","1","0","7",NA
"Apan","128","CONTIGUA 4","135","72","37","16","1","22","5","13","4","0","0","0","0","4","1","6",NA
"Apan","129","BASICA","237","63","54","13","1","34","3","14","2","0","0","0","0","2","0","6",NA
"Apan","129","CONTIGUA 1","202","50","87","15","1","24","10","20","4","0","0","0","0","4","0","9",NA
"Apan","129","CONTIGUA 2","255","61","57","13","0","23","12","23","1","0","0","0","0","0","2","4",NA
"Apan","129","CONTIGUA 3","215","63","51","11","0","29","4","16","13","0","0","0","3","3","0","3",NA
"Apan","130","BASICA","179","61","41","22","2","48","4","18","2","1","0","0","0","3","2","10",NA
"Apan","130","CONTIGUA 1","207","58","52","0","16","0","47","4","9","6","0","0","0","6","0","8",NA
"Apan","130","CONTIGUA 2","194","64","35","14","1","35","3","18","4","0","0","0","0","4","0","2","ANULADA"
"Apan","131","BASICA","113","82","25","19","0","25","10","9","2","1","0","0","0","6","0","3",NA
"Apan","131","CONTIGUA 1","130","58","21","13","1","46","5","15","7","0","0","0","0","0","0","4",NA
"Apan","132","BASICA","114","50","29","8","1","29","8","17","5","0","0","0","0","0","0","1",NA
"Apan","132","CONTIGUA 1","117","58","21","12","0","20","3","17","3","0","0","0","0","0","0","3",NA
"Apan","133","BASICA","105","96","28","14","0","21","3","4","0","0","0","0","0","2","0","6",NA
"Apan","133","CONTIGUA 1","127","78","19","12","0","24","4","15","12","0","0","0","0","1","0","3",NA
"Apan","134","BASICA","167","68","54","19","2","49","3","28","3","0","0","0","0","0","7","7",NA
"Apan","134","CONTIGUA 1","166","70","49","13","1","51","3","20","4","0","0","0","0","0","8","5",NA
"Apan","134","CONTIGUA 2","161","76","43","16","0","35","3","22","3","0","0","0","0","4","0","5",NA
"Apan","135","BASICA","180","80","29","26","0","34","5","31","6","0","0","0","0","1","0","3",NA
"Apan","135","CONTIGUA 1","161","99","30","16","1","22","8","21","8","0","0","0","0","2","0","7",NA
"Apan","135","CONTIGUA 2","150","95","31","20","1","26","7","24","7","1","0","0","0","3","0","8",NA
"Apan","136","BASICA","176","93","34","16","2","70","9","47","2","0","0","0","0","10","0","9",NA
"Apan","136","CONTIGUA 1","157","100","38","17","0","80","5","36","16","0","0","0","0","7","0","7",NA
"Apan","137","BASICA","170","45","26","19","0","33","8","13","5","0","0","0","0","0","0","12",NA
"Apan","137","CONTIGUA 1","166","31","23","22","2","46","7","19","8","0","0","0","0","0","6","1",NA
"Apan","137","CONTIGUA 2","184","42","25","17","7","32","11","17","5","0","0","0","0","0","0","5",NA
"Apan","138","BASICA","115","60","23","12","2","11","3","7","3","0","0","0","0","3","0","5",NA
"Apan","138","CONTIGUA 1","138","52","14","13","2","19","3","6","2","1","0","1","0","1","0","1",NA
"Apan","139","BASICA","113","140","29","5","3","35","4","9","3","2","0","0","0","1","0","17",NA
"Apan","140","BASICA","5","101","30","1","1","11","2","0","1","0","0","0","0","0","0","3",NA
"Apan","141","BASICA","51","93","15","2","3","2","8","4","6","0","0","0","0","0","0","7",NA
"Apan","142","BASICA","60","127","16","64","3","35","4","14","5","0","0","0","0","1","0","10",NA
"Apan","143","BASICA","128","89","39","11","0","20","9","11","3","0","1","0","0","4","0","5",NA
"Apan","143","CONTIGUA 1","141","83","43","14","1","16","4","16","0","0","0","0","0","0","0","3",NA
"Apan","143","CONTIGUA 2","151","91","33","13","1","12","12","13","7","0","0","0","0","1","0","5",NA
"Apan","144","BASICA","119","67","91","9","4","35","8","13","8","0","0","0","0","2","0","6",NA
"Apan","145","BASICA","59","48","60","7","3","20","4","8","2","0","0","0","0","2","0","5",NA
"Apan","145","CONTIGUA 1","67","47","50","11","21","25","0","10","0","0","0","0","0","0","0","4",NA
"Apan","146","BASICA","103","41","16","12","0","19","0","8","0","0","1","0","0","0","0","5",NA
"Apan","146","EXTRAORDINARIA 1","77","130","46","8","2","14","5","4","4","0","0","0","0","1","0","4",NA
"Apan","146","EXTRAORDINARIA 1 CONTIGUA 1","69","104","45","10","1","9","3","12","4","0","0","0","0","4","0","5",NA
"Apan","147","BASICA","71","82","43","21","1","16","11","10","0","0","0","0","0","2","0","9",NA
"Apan","147","CONTIGUA 1","78","88","39","11","3","13","11","22","6","0","0","0","0","5","0","9",NA
"Apan","148","BASICA","106","82","31","12","0","22","0","25","6","0","0","0","0","1","0","8",NA
"Apan","148","CONTIGUA 1","75","78","31","6","0","25","0","14","1","0","0","0","0","0","0","6",NA
"Apan","149","BASICA","56","88","28","9","1","11","0","0","0","0","0","0","0","0","0","8",NA
"Apan","150","BASICA","102","90","14","14","5","46","6","13","3","1","0","0","0","0","1","13",NA
"Apan","151","BASICA","60","130","28","5","3","72","17","112","2","0","0","0","0","2","1","11",NA
