"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Villa De Tezontepec","1556","BASICA","27","58","0","0","16","73","81","12","40","5","0","1","0","0","4"
"Villa De Tezontepec","1556","CONTIGUA 1","28","64","0","0","9","89","72","12","30","4","0","4","0","0","7"
"Villa De Tezontepec","1556","CONTIGUA 2","26","69","0","0","10","108","73","8","29","1","0","2","0","0","6"
"Villa De Tezontepec","1557","BASICA","22","96","0","0","16","110","114","21","52","2","1","1","0","0","7"
"Villa De Tezontepec","1557","CONTIGUA 1","31","99","0","0","9","111","104","19","54","2","1","4","2","1","17"
"Villa De Tezontepec","1558","BASICA","32","58","0","0","9","99","95","16","16","6","0","0","0","0","7"
"Villa De Tezontepec","1558","CONTIGUA 1","30","81","0","0","11","69","67","9","26","4","0","2","0","0","3"
"Villa De Tezontepec","1559","BASICA","29","70","0","0","8","94","83","8","17","0","1","2","0","0","8"
"Villa De Tezontepec","1559","CONTIGUA 1","31","80","0","0","3","98","84","9","13","1","0","0","0","1","5"
"Villa De Tezontepec","1560","BASICA","17","61","0","0","8","124","47","12","46","0","0","1","0","0","6"
"Villa De Tezontepec","1560","CONTIGUA 1","20","57","0","0","4","127","39","19","32","2","0","0","0","0","14"
"Villa De Tezontepec","1561","BASICA","20","54","0","0","6","225","39","6","24","2","0","1","0","0","11"
"Villa De Tezontepec","1561","CONTIGUA 1","10","56","0","0","7","250","18","6","21","2","0","0","0","0","13"
"Villa De Tezontepec","1561","CONTIGUA 2","17","50","0","0","9","261","33","12","19","1","0","0","1","0","11"
"Villa De Tezontepec","1562","BASICA","15","27","0","0","4","40","25","7","26","2","0","0","0","0","6"
