"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Singuilucan","1121","BASICA","30","55","21","151","6","0","103","12","50","4","0","5","0","0","15"
"Singuilucan","1121","CONTIGUA 1","20","79","17","157","10","0","123","8","28","9","0","5","0","2","11"
"Singuilucan","1121","CONTIGUA 2","33","101","12","126","6","0","126","21","24","4","0","6","2","0","10"
"Singuilucan","1121","CONTIGUA 3","24","90","14","129","6","0","118","10","30","9","0","3","0","0","8"
"Singuilucan","1122","BASICA","20","55","11","123","3","0","104","7","13","16","1","3","1","0","12"
"Singuilucan","1122","CONTIGUA 1","22","57","5","105","2","0","105","10","23","11","0","0","0","0","8"
"Singuilucan","1122","CONTIGUA 2","19","66","18","66","5","0","121","5","26","10","0","7","0","0","8"
"Singuilucan","1123","BASICA","13","55","35","40","5","0","81","16","81","2","0","3","0","0","20"
"Singuilucan","1123","CONTIGUA 1","17","69","29","33","10","0","67","11","85","4","0","2","0","0","16"
"Singuilucan","1123","CONTIGUA 2","14","59","17","47","4","0","66","14","96","3","1","5","0","0","9"
"Singuilucan","1124","BASICA","52","96","15","86","3","0","41","18","97","5","0","4","0","0","21"
"Singuilucan","1125","BASICA","16","63","25","66","4","0","76","14","146","7","0","4","0","0","9"
"Singuilucan","1125","CONTIGUA 1","12","67","21","50","1","0","83","24","141","0","0","3","6","0","15"
"Singuilucan","1126","BASICA","15","55","9","14","4","0","93","9","106","3","1","4","0","0","16"
"Singuilucan","1127","BASICA","14","59","4","73","2","0","99","6","17","17","2","0","0","0","7"
"Singuilucan","1128","BASICA","17","40","19","145","8","0","170","0","44","8","0","4","1","0","16"
"Singuilucan","1129","BASICA","4","95","14","90","3","0","125","4","14","3","7","1","0","0","18"
"Singuilucan","1130","BASICA","6","60","27","13","6","0","81","2","70","4","0","5","0","0","13"
"Singuilucan","1130","CONTIGUA 1","2","71","16","13","2","0","86","1","85","1","1","4","1","0","7"
"Singuilucan","1131","BASICA","23","77","29","102","3","0","151","8","10","7","0","3","0","0","14"
