"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","MINERVA DURAN VIVAR","NO REGISTRADO","NULO"
"Mineral Del Monte","713","BASICA","81","44","21","1","30","0","66","16","48","16","0","13"
"Mineral Del Monte","713","CONTIGUA 1","79","43","14","2","21","0","58","10","52","29","0","12"
"Mineral Del Monte","714","BASICA","60","67","26","1","26","0","58","24","34","8","1","7"
"Mineral Del Monte","714","CONTIGUA 1","59","66","17","1","23","0","61","21","53","13","0","0"
"Mineral Del Monte","715","BASICA","105","126","10","0","24","0","78","22","54","21","0","14"
"Mineral Del Monte","715","CONTIGUA 1","96","91","15","0","24","0","120","28","43","28","0","6"
"Mineral Del Monte","716","BASICA","55","74","24","2","38","0","85","14","29","33","0","7"
"Mineral Del Monte","716","CONTIGUA 1","65","72","25","3","50","0","59","12","41","22","0","5"
"Mineral Del Monte","717","BASICA","64","61","7","0","21","0","67","11","28","24","0","5"
"Mineral Del Monte","717","CONTIGUA 1","61","52","6","1","23","0","95","15","12","22","0","5"
"Mineral Del Monte","718","BASICA","78","49","8","1","33","0","93","21","59","28","0","7"
"Mineral Del Monte","718","CONTIGUA 1","53","65","10","0","39","0","121","34","36","19","1","7"
"Mineral Del Monte","719","BASICA","43","58","13","2","49","0","65","22","38","28","2","2"
"Mineral Del Monte","719","CONTIGUA 1","58","56","10","2","56","0","78","28","38","27","0","7"
"Mineral Del Monte","720","BASICA","64","112","19","4","62","0","111","32","52","30","0","5"
"Mineral Del Monte","720","CONTIGUA 1","95","99","23","0","60","0","90","29","46","41","0","16"
"Mineral Del Monte","721","BASICA","41","42","24","3","109","0","64","16","56","8","0","17"
"Mineral Del Monte","722","BASICA","77","10","4","1","3","0","15","5","22","6","0","7"
"Mineral Del Monte","723","BASICA","83","58","6","2","24","0","54","34","32","14","0","12"
"Mineral Del Monte","723","CONTIGUA 1","77","42","8","2","34","0","106","15","27","5","0","5"
"Mineral Del Monte","724","BASICA","26","26","5","1","3","0","8","50","5","5","0","0"
