"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"San Agustín Metzquititlán","994","BASICA","78","145","7","39","1","214","6","0","33","1","0","0","0","0","13"
"San Agustín Metzquititlán","994","CONTIGUA 1","71","147","8","49","1","225","3","0","30","2","0","1","0","0","17"
"San Agustín Metzquititlán","994","CONTIGUA 2","92","117","8","52","1","218","7","0","27","1","2","0","0","0","8"
"San Agustín Metzquititlán","995","BASICA","7","51","0","3","0","26","4","0","74","0","0","0","0","0","6"
"San Agustín Metzquititlán","996","BASICA","18","118","1","2","4","25","5","0","284","3","1","0","1","0","5"
"San Agustín Metzquititlán","996","CONTIGUA 1","13","75","8","4","2","18","1","0","321","0","1","1","0","0","6"
"San Agustín Metzquititlán","997","BASICA","6","117","1","3","0","101","2","0","75","0","0","0","0","2","5"
"San Agustín Metzquititlán","997","CONTIGUA 1","8","93","0","6","1","72","3","0","112","3","0","0","0","0","7"
"San Agustín Metzquititlán","998","BASICA","20","36","1","1","1","40","3","0","35","0","0","0","0","0","1"
"San Agustín Metzquititlán","999","BASICA","30","104","3","6","0","26","2","0","136","0","0","0","0","0","7"
"San Agustín Metzquititlán","1000","BASICA","128","106","22","31","2","32","2","0","37","4","0","0","0","0","6"
"San Agustín Metzquititlán","1001","BASICA","202","68","3","26","1","74","3","0","10","1","0","1","0","0","10"
"San Agustín Metzquititlán","1002","BASICA","149","179","1","19","0","46","1","0","32","1","0","0","0","0","13"
"San Agustín Metzquititlán","1003","BASICA","11","28","1","1","0","22","2","0","3","0","0","0","0","0","2"
"San Agustín Metzquititlán","1004","BASICA","41","21","0","12","0","19","6","0","15","0","0","0","0","0","2"
"San Agustín Metzquititlán","1005","BASICA","83","51","3","7","1","46","1","0","58","0","0","0","0","0","19"
"San Agustín Metzquititlán","1006","BASICA","69","53","8","6","3","16","1","0","15","0","0","0","0","0","3"
"San Agustín Metzquititlán","1007","BASICA","6","46","1","2","0","10","0","0","39","0","0","0","0","0","0"
