"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","JESÚS ORTIZ CANO","NO REGISTRADO","NULO"
"Tepeji Del Río De Ocampo","1262","BASICA","67","30","22","0","10","10","80","49","4","8","0","7"
"Tepeji Del Río De Ocampo","1262","CONTIGUA 1","63","44","14","0","7","5","84","52","2","15","0","5"
"Tepeji Del Río De Ocampo","1262","CONTIGUA 2","77","35","20","0","5","2","96","41","0","4","0","10"
"Tepeji Del Río De Ocampo","1263","BASICA","55","48","9","0","2","16","131","70","7","9","0","5"
"Tepeji Del Río De Ocampo","1263","CONTIGUA 1","56","44","9","0","6","12","150","67","8","7","0","7"
"Tepeji Del Río De Ocampo","1263","CONTIGUA 2","59","54","11","0","1","5","157","69","1","8","0","1"
"Tepeji Del Río De Ocampo","1264","BASICA","79","51","14","0","8","10","120","61","1","0","13","2"
"Tepeji Del Río De Ocampo","1264","CONTIGUA 1","71","48","14","0","4","3","127","55","3","13","0","9"
"Tepeji Del Río De Ocampo","1265","BASICA","62","43","19","0","3","15","87","48","6","0","14","7"
"Tepeji Del Río De Ocampo","1265","CONTIGUA 1","105","48","11","0","4","7","93","42","4","16","0","7"
"Tepeji Del Río De Ocampo","1266","BASICA","49","28","7","0","10","8","108","30","4","12","0","3"
"Tepeji Del Río De Ocampo","1266","CONTIGUA 1","57","26","9","0","3","4","113","42","1","1","0","11"
"Tepeji Del Río De Ocampo","1266","CONTIGUA 2","43","22","10","0","4","2","110","32","4","3","0","10"
"Tepeji Del Río De Ocampo","1267","BASICA","48","47","10","0","20","6","143","53","1","11","0","6"
"Tepeji Del Río De Ocampo","1267","CONTIGUA 1","43","46","9","0","11","12","125","50","5","11","0","7"
"Tepeji Del Río De Ocampo","1267","CONTIGUA 2","39","31","15","0","13","5","152","51","5","6","0","5"
"Tepeji Del Río De Ocampo","1268","BASICA","42","40","3","0","1","1","129","41","3","3","1","4"
"Tepeji Del Río De Ocampo","1268","CONTIGUA 1","40","39","6","0","1","8","130","50","0","3","0","4"
"Tepeji Del Río De Ocampo","1269","BASICA","57","36","12","0","4","10","116","71","3","11","0","12"
"Tepeji Del Río De Ocampo","1269","CONTIGUA 1","57","43","4","0","7","3","151","67","6","6","0","5"
"Tepeji Del Río De Ocampo","1269","CONTIGUA 2","66","44","7","0","6","4","114","64","3","11","0","2"
"Tepeji Del Río De Ocampo","1270","BASICA","58","47","15","0","5","7","122","46","1","6","0","5"
"Tepeji Del Río De Ocampo","1270","CONTIGUA 1","43","48","10","0","4","5","104","54","2","10","1","1"
"Tepeji Del Río De Ocampo","1270","CONTIGUA 2","49","43","15","0","7","5","130","68","4","5","0","5"
"Tepeji Del Río De Ocampo","1270","CONTIGUA 3","42","55","6","0","6","4","155","50","3","9","2","3"
"Tepeji Del Río De Ocampo","1270","CONTIGUA 4","50","34","14","0","5","5","121","33","2","4","0","3"
"Tepeji Del Río De Ocampo","1270","CONTIGUA 5","42","73","9","0","6","13","109","40","5","5","0","4"
"Tepeji Del Río De Ocampo","1271","BASICA","53","33","9","0","2","3","146","34","0","6","0","3"
"Tepeji Del Río De Ocampo","1271","CONTIGUA 1","56","51","8","0","8","5","129","48","2","2","0","5"
