"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO","...19"
"Tula De Allende","1449","BASICA","47","58","64","1","1","41","4","43","0","0","0","0","0","0","12",NA
"Tula De Allende","1449","CONTIGUA 1","47","56","62","4","4","32","3","48","0","0","1","0","0","0","6",NA
"Tula De Allende","1449","CONTIGUA 2","37","62","53","4","3","43","5","44","0","1","0","0","0","0","0",NA
"Tula De Allende","1450","BASICA","33","39","56","1","3","24","9","36","0","1","0","0","0","0","7",NA
"Tula De Allende","1450","CONTIGUA 1","34","38","54","2","1","31","5","53","0","0","0","0","0","0","4",NA
"Tula De Allende","1450","CONTIGUA 2","20","33","31","4","16","42","14","18","0","0","0","0","0","0","0",NA
"Tula De Allende","1451","BASICA","52","82","45","6","4","39","4","78","0","0","0","0","0","0","0",NA
"Tula De Allende","1451","CONTIGUA 1","55","86","42","1","2","30","2","72","0","0","0","0","1","0","0","ANULADA"
"Tula De Allende","1452","BASICA","51","93","47","6","1","33","9","78","0","1","0","0","0","0","4",NA
"Tula De Allende","1452","CONTIGUA 1","55","85","51","4","3","19","4","63","0","1","0","0","0","0","5",NA
"Tula De Allende","1452","CONTIGUA 2","35","64","44","5","3","27","3","83","0","0","0","0","0","0","0",NA
"Tula De Allende","1453","BASICA","40","67","62","5","1","97","4","43","0","0","0","0","0","0","4",NA
"Tula De Allende","1453","CONTIGUA 1","47","80","63","1","3","0","5","29","0","0","0","0","0","0","0",NA
"Tula De Allende","1453","CONTIGUA 2","62","72","75","1","5","63","7","33","0","0","0","0","0","0","7",NA
"Tula De Allende","1454","BASICA","38","64","56","3","2","67","5","39","0","0","0","0","0","1","0",NA
"Tula De Allende","1454","CONTIGUA 1","35","52","76","2","1","62","3","42","0","1","1","0","0","0","4",NA
"Tula De Allende","1455","BASICA","47","42","39","7","3","61","3","24","0","1","0","0","0","0","9",NA
"Tula De Allende","1455","CONTIGUA 1","45","29","45","6","3","61","1","28","0","1","0","0","0","1","0",NA
"Tula De Allende","1456","BASICA","56","70","55","6","4","44","3","48","0","0","0","0","0","0","7",NA
"Tula De Allende","1456","CONTIGUA 1","58","81","63","4","1","41","3","53","0","1","0","0","0","0","5","ANULADA"
"Tula De Allende","1456","CONTIGUA 2","54","79","57","4","4","42","5","49","0","0","0","0","0","0","0",NA
"Tula De Allende","1456","CONTIGUA 3","64","81","66","6","4","39","2","46","0","0","0","0","0","0","0",NA
"Tula De Allende","1456","ESPECIAL 1","24","14","13","0","0","5","1","17","0","0","0","0","0","0","1",NA
"Tula De Allende","1457","BASICA","44","67","49","5","0","51","5","29","0","0","0","0","0","0","0",NA
"Tula De Allende","1457","CONTIGUA 1","40","84","47","3","4","41","2","41","0","0","0","0","0","0","0",NA
"Tula De Allende","1457","CONTIGUA 2","33","93","55","1","1","60","4","28","0","0","0","0","0","0","10",NA
"Tula De Allende","1458","BASICA","32","68","69","3","0","40","10","51","0","1","0","0","0","0","6",NA
"Tula De Allende","1458","CONTIGUA 1","40","75","57","4","3","55","8","42","0","1","0","0","0","0","9",NA
"Tula De Allende","1458","CONTIGUA 2","29","86","76","2","4","54","5","26","0","0","0","0","0","0","0",NA
"Tula De Allende","1459","BASICA","23","47","64","1","0","50","14","35","0","0","0","0","0","0","0",NA
"Tula De Allende","1459","CONTIGUA 1","27","50","57","1","0","50","8","54","0","1","0","0","0","0","6",NA
"Tula De Allende","1459","CONTIGUA 2","28","63","65","4","4","46","8","38","0","0","0","0","0","0","0",NA
"Tula De Allende","1460","BASICA","37","91","64","4","1","71","7","41","0","0","0","0","0","0","0",NA
"Tula De Allende","1460","CONTIGUA 1","54","62","54","5","1","49","6","54","0","0","0","0","0","0","0",NA
"Tula De Allende","1460","CONTIGUA 2","37","59","90","5","2","63","11","45","0","0","0","0","0","0","9",NA
"Tula De Allende","1461","BASICA","51","63","60","8","5","53","7","58","0","0","0","0","0","0","6",NA
"Tula De Allende","1461","CONTIGUA 1","60","98","64","4","1","39","11","58","0","0","0","0","0","0","7",NA
"Tula De Allende","1461","CONTIGUA 2","56","81","44","3","3","65","7","63","0","0","0","0","0","0","8",NA
