"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Nopala De Villagrán","802","BASICA","158","110","3","8","92","0","8","60","0","0","4"
"Nopala De Villagrán","802","CONTIGUA 1","156","81","6","3","111","0","6","72","0","0","7"
"Nopala De Villagrán","802","CONTIGUA 2","151","103","3","4","104","0","5","64","0","0","7"
"Nopala De Villagrán","802","CONTIGUA 3","143","95","4","4","103","0","11","71","0","0","0"
"Nopala De Villagrán","803","BASICA","64","111","4","3","135","0","6","27","0","0","7"
"Nopala De Villagrán","803","CONTIGUA 1","84","92","9","3","125","0","15","33","0","0","5"
"Nopala De Villagrán","803","CONTIGUA 2","83","105","2","3","116","0","6","27","0","1","11"
"Nopala De Villagrán","804","BASICA","36","98","3","0","103","0","6","25","0","1","8"
"Nopala De Villagrán","804","CONTIGUA 1","36","145","2","1","126","0","6","12","0","0","6"
"Nopala De Villagrán","805","BASICA","74","79","2","0","71","0","6","7","0","0","14"
"Nopala De Villagrán","805","CONTIGUA 1","72","50","4","2","94","0","4","25","0","0","7"
"Nopala De Villagrán","806","BASICA","238","101","15","7","83","0","4","36","0","0","8"
"Nopala De Villagrán","806","CONTIGUA 1","227","109","5","12","82","0","7","35","0","0","14"
"Nopala De Villagrán","807","BASICA","74","97","10","6","79","0","12","57","0","0","7"
"Nopala De Villagrán","807","CONTIGUA 1","78","76","18","7","83","0","8","89","0","0","14"
"Nopala De Villagrán","807","CONTIGUA 2","95","88","15","11","70","0","27","64","0","0","9"
"Nopala De Villagrán","808","BASICA","22","100","2","0","152","0","5","59","0","0","2"
"Nopala De Villagrán","809","BASICA","42","192","11","3","128","0","7","30","0","0","7"
"Nopala De Villagrán","810","BASICA","39","147","99","4","207","0","9","23","0","0","10"
"Nopala De Villagrán","811","BASICA","78","148","18","5","190","0","6","40","0","0","6"
