"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Atotonilco De Tula","206","BASICA","0","58","71","41","4","60","9","47","95","1","0","1","0","0","5"
"Atotonilco De Tula","206","CONTIGUA 1","0","61","87","20","6","74","1","34","130","4","0","0","0","0","2"
"Atotonilco De Tula","206","CONTIGUA 2","0","49","84","31","17","53","3","40","127","3","0","0","0","0","5"
"Atotonilco De Tula","207","BASICA","0","61","78","33","8","111","7","56","149","1","0","0","0","0","6"
"Atotonilco De Tula","207","CONTIGUA 1","0","74","99","46","6","109","4","51","114","3","2","0","0","0","7"
"Atotonilco De Tula","208","BASICA","0","55","45","23","5","44","1","78","153","3","0","0","0","0","4"
"Atotonilco De Tula","208","CONTIGUA 1","0","51","40","23","7","51","3","48","192","0","0","0","0","0","6"
"Atotonilco De Tula","208","CONTIGUA 2","0","55","45","22","5","45","4","52","171","2","3","0","0","0","5"
"Atotonilco De Tula","209","BASICA","0","29","194","62","2","23","7","31","127","0","0","0","0","0","6"
"Atotonilco De Tula","209","CONTIGUA 1","0","45","186","87","2","23","1","34","120","1","1","0","0","0","8"
"Atotonilco De Tula","209","CONTIGUA 2","0","18","209","94","2","24","6","35","139","0","0","0","0","0","5"
"Atotonilco De Tula","210","BASICA","0","75","152","69","4","14","5","20","136","2","0","0","0","0","4"
"Atotonilco De Tula","211","BASICA","0","75","49","20","8","15","8","10","153","2","2","1","0","0","9"
"Atotonilco De Tula","211","CONTIGUA 1","0","61","46","18","10","10","7","10","170","4","0","0","0","0","6"
"Atotonilco De Tula","212","BASICA","0","70","39","20","2","23","2","27","108","0","1","0","0","0","7"
"Atotonilco De Tula","212","CONTIGUA 1","0","56","39","28","4","25","2","30","92","1","0","0","0","0","5"
"Atotonilco De Tula","213","BASICA","0","71","99","22","4","42","2","16","34","1","0","0","0","0","3"
"Atotonilco De Tula","213","CONTIGUA 1","0","88","89","26","5","31","3","9","42","1","1","0","0","0","2"
"Atotonilco De Tula","214","BASICA","0","41","48","38","13","49","2","31","177","4","1","0","0","0","1"
"Atotonilco De Tula","214","CONTIGUA 1","0","45","87","35","15","80","3","30","124","1","1","0","0","0","2"
"Atotonilco De Tula","215","BASICA","0","96","35","26","14","19","6","14","179","5","1","0","0","1","10"
"Atotonilco De Tula","215","CONTIGUA 1","0","127","32","24","17","15","5","17","171","6","0","0","0","0","7"
"Atotonilco De Tula","215","CONTIGUA 2","0","90","38","36","15","20","8","16","168","1","0","0","0","0","5"
"Atotonilco De Tula","216","BASICA","0","53","92","72","5","32","5","34","151","0","1","0","0","0","6"
"Atotonilco De Tula","216","CONTIGUA 1","0","68","102","52","9","27","3","31","129","1","1","1","0","0","5"
"Atotonilco De Tula","216","CONTIGUA 2","0","62","88","73","5","42","4","39","132","1","0","0","0","0","9"
"Atotonilco De Tula","216","CONTIGUA 3","0","86","84","94","7","27","3","43","115","2","0","0","0","0","3"
"Atotonilco De Tula","216","CONTIGUA 4","0","71","96","63","22","20","2","39","158","3","0","0","0","0","6"
"Atotonilco De Tula","217","BASICA","0","16","144","95","4","22","2","12","22","0","0","0","0","0","4"
"Atotonilco De Tula","218","BASICA","0","121","66","112","7","6","1","23","20","0","0","0","0","0","6"
"Atotonilco De Tula","219","BASICA","0","34","14","48","15","16","1","12","54","0","1","0","0","0","4"
"Atotonilco De Tula","220","BASICA","0","28","68","47","20","23","2","7","10","1","1","0","0","0","4"
"Atotonilco De Tula","220","CONTIGUA 1","0","29","81","38","19","19","0","8","17","0","0","0","0","0","10"
"Atotonilco De Tula","220","CONTIGUA 2",NA,"36","72","45","18","27","0","7","14","0","2","0","1","0","8"
"Atotonilco De Tula","221","BASICA","0","17","47","11","4","11","0","41","23","1","0","0","0","0","0"
"Atotonilco De Tula","221","CONTIGUA 1","0","11","49","8","2","24","3","34","17","2","0","0","0","0","6"
"Atotonilco De Tula","221","EXTRAORDINARIA 1","0","37","67","31","4","2","1","12","25","4","0","0","0","0","0"
"Atotonilco De Tula","221","EXTRAORDINARIA 1 CONTIGUA 1","0","19","72","33","4","5","3","11","22","0","0","0","0","0","3"
"Atotonilco De Tula","221","EXTRAORDINARIA 1 CONTIGUA 2","0","21","64","42","13","5","2","8","15","0","0","0","0","0","7"
"Atotonilco De Tula","221","EXTRAORDINARIA 1 CONTIGUA 3","0","22","81","30","6","2","5","8","22","0","0","0","0","0","6"
"Atotonilco De Tula","221","EXTRAORDINARIA 1 CONTIGUA 4","0","24","74","34","12","5","2","13","20","1","0","0","0","0","4"
"Atotonilco De Tula","221","EXTRAORDINARIA 1 CONTIGUA 5","0","17","81","28","2","3","1","8","14","0","0","0","0","0","5"
"Atotonilco De Tula","222","BASICA","0","73","82","14","7","72","0","85","139","3","0","0","0","0","8"
"Atotonilco De Tula","222","CONTIGUA 1","0","72","105","24","14","60","2","85","140","1","1","0","0","0","8"
"Atotonilco De Tula","223","BASICA","0","55","23","29","5","29","4","14","208","0","1","0","0","0","3"
"Atotonilco De Tula","223","CONTIGUA 1","0","73","28","42","3","14","4","11","221","0","0","0","0","0","5"
