"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","FRANCISCO MACIAS BELTRAN","NO REGISTRADO","NULO"
"Mineral De La Reforma","736","BASICA","117","131","11","3","2","37","14","31","14","0","0","0","0","13","0","10"
"Mineral De La Reforma","736","CONTIGUA 1","125","113","17","4","7","35","14","33","13","0","0","0","0","13","0","19"
"Mineral De La Reforma","737","BASICA","122","85","8","5","7","28","15","27","8","0","0","0","0","0","9","9"
"Mineral De La Reforma","737","CONTIGUA 1","143","60","17","3","7","32","9","21","13","0","0","0","0","21","1","8"
"Mineral De La Reforma","737","CONTIGUA 10","116","72","8","5","4","33","12","27","8","0","3","0","0","15","0","4"
"Mineral De La Reforma","737","CONTIGUA 2","124","81","11","1","5","29","6","26","11","0","0","0","0","16","0","7"
"Mineral De La Reforma","737","CONTIGUA 3","118","78","10","3","4","36","9","35","8","0","0","0","0","10","0","3"
"Mineral De La Reforma","737","CONTIGUA 4","114","75","15","4","5","31","7","27","8","0","0","0","0","16","0","23"
"Mineral De La Reforma","737","CONTIGUA 5","139","84","14","3","5","32","7","30","11","0","1","0","0","10","0","10"
"Mineral De La Reforma","737","CONTIGUA 6","119","81","9","2","4","24","4","29","17","1","0","0","0","17","0","7"
"Mineral De La Reforma","737","CONTIGUA 7","144","77","15","5","5","34","6","28","5","0","0","0","0","9","0","7"
"Mineral De La Reforma","737","CONTIGUA 8","140","73","15","4","4","23","3","40","6","1","1","0","0","10","0","11"
"Mineral De La Reforma","737","CONTIGUA 9","120","91","7","3","3","31","11","29","8","0","0","0","0","0","7","12"
"Mineral De La Reforma","738","BASICA","89","90","15","6","1","42","10","16","4","0","0","0","0","5","0","5"
"Mineral De La Reforma","738","CONTIGUA 1","107","69","8","1","1","41","11","24","4","0","0","0","0","0","7","5"
"Mineral De La Reforma","740","BASICA","116","61","14","0","5","18","4","20","2","0","0","0","0","0","8","7"
"Mineral De La Reforma","740","CONTIGUA 1","95","61","14","7","4","25","5","22","6","0","0","0","0","8","0","7"
"Mineral De La Reforma","740","CONTIGUA 10","107","78","15","3","5","22","5","25","7","0","1","0","0","9","0","8"
"Mineral De La Reforma","740","CONTIGUA 11","72","77","15","0","0","23","10","20","8","0","0","0","0","0","10","6"
"Mineral De La Reforma","740","CONTIGUA 12","89","69","24","0","4","16","5","20","8","0","0","0","0","8","1","3"
