"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Ixmiquilpan","547","BASICA","249","84","6","1","6","3","9","11","1","1","0","0","0","0","10"
"Ixmiquilpan","547","CONTIGUA 1","225","112","3","3","4","3","15","17","1","0","0","0","0","0","3"
"Ixmiquilpan","547","CONTIGUA 2","237","105","4","2","2","2","16","15","1","0","0","0","0","0","4"
"Ixmiquilpan","548","BASICA","204","129","2","2","1","3","7","12","4","0","0","0","0","0","8"
"Ixmiquilpan","548","CONTIGUA 1","203","149","3","3","4","1","7","10","0","1","0","0","0","0","4"
"Ixmiquilpan","548","CONTIGUA 2","202","117","2","2","3","4","10","13","1","0","0","1","1","0","7"
"Ixmiquilpan","549","BASICA","212","79","7","2","0","3","10","14","3","0","2","1","1","0","8"
"Ixmiquilpan","549","CONTIGUA 1","229","66","2","0","2","7","15","18","4","1","0","0","0","0","6"
"Ixmiquilpan","549","CONTIGUA 2","199","70","5","0","2","5","19","18","1","0","1","0","0","0","5"
"Ixmiquilpan","550","BASICA","223","67","7","0","0","8","8","6","8","0","0","0","0","0","8"
"Ixmiquilpan","550","CONTIGUA 1","226","67","4","0","1","6","21","21","7","0","0","0","0","0","8"
"Ixmiquilpan","550","CONTIGUA 2","200","80","10","0","2","0","15","15","5","1","0","0","0","0","10"
"Ixmiquilpan","550","CONTIGUA 3","204","94","6","3","4","4","9","21","7","1","1","0","0","0","5"
"Ixmiquilpan","550","CONTIGUA 4","233","62","6","0","2","7","8","19","10","0","0","1","0","0","7"
"Ixmiquilpan","551","BASICA","182","79","3","2","1","4","12","49","3","1","0","0","0","0","6"
"Ixmiquilpan","551","CONTIGUA 1","180","92","2","0","2","11","13","20","4","1","0","0","0","0","6"
"Ixmiquilpan","551","CONTIGUA 2","149","98","5","1","3","6","8","33","8","0","2","0","0","1","8"
"Ixmiquilpan","552","BASICA","132","98","7","1","1","7","9","42","2","0","1","1","0","1","14"
"Ixmiquilpan","552","CONTIGUA 1","166","75","1","1","5","7","7","26","10","1","0","0","0","0","5"
"Ixmiquilpan","552","CONTIGUA 2","147","120","2","0","2","2","6","26","6","0","0","0","0","0","6"
"Ixmiquilpan","553","BASICA","199","127","1","1","4","5","5","20","3","0","1","0","0","0","7"
"Ixmiquilpan","553","CONTIGUA 1","209","112","3","1","2","6","11","15","3","1","1","0","0","0","8"
"Ixmiquilpan","553","CONTIGUA 2","226","106","2","0","3","8","16","10","3","0","0","0","0","0","9"
"Ixmiquilpan","553","CONTIGUA 3","222","127","4","0","1","7","4","10","4","1","0","1","1","0","9"
"Ixmiquilpan","553","CONTIGUA 4","201","118","3","1","3","10","10","22","5","0","0","0","0","0","10"
"Ixmiquilpan","554","BASICA","172","107","4","2","1","11","9","17","6","1","0","0","0","0","9"
"Ixmiquilpan","554","CONTIGUA 1","195","100","2","2","1","8","12","26","4","0","0","0","0","0","8"
"Ixmiquilpan","555","BASICA","167","109","8","3","3","5","14","19","5","2","1","0","0","1","10"
"Ixmiquilpan","555","CONTIGUA 1","154","123","7","1","0","4","13","14","8","2","0","1","0","0","8"
"Ixmiquilpan","555","CONTIGUA 2","167","129","6","3","0","6","13","14","4","1","2","0","0","1","5"
"Ixmiquilpan","556","BASICA","206","113","11","1","4","8","14","33","14","2","0","0","0","0","15"
"Ixmiquilpan","556","CONTIGUA 1","203","137","8","3","2","9","7","40","11","0","0","0","0","0","9"
"Ixmiquilpan","557","BASICA","188","133","10","2","3","6","12","19","7","2","0","0","0","0","6"
"Ixmiquilpan","557","CONTIGUA 1","28","144","7","4","2","5","18","15","9","0","1","3","0","0","7"
"Ixmiquilpan","558","BASICA","106","77","4","0","1","5","3","32","2","0","0","0","0","0","5"
"Ixmiquilpan","558","CONTIGUA 1","105","94","6","2","0","7","13","24","5","1","0","0","0","0","2"
"Ixmiquilpan","559","BASICA","139","101","5","1","2","6","14","21","2","0","1","0","0","0","6"
"Ixmiquilpan","559","CONTIGUA 1","139","113","5","0","1","7","19","22","2","0","1","0","0","0","5"
"Ixmiquilpan","560","BASICA","160","79","8","2","1","4","21","26","3","0","1","0","0","0","9"
"Ixmiquilpan","560","CONTIGUA 1","140","93","4","2","1","0","0","21","5","0","1","0","0","0","5"
"Ixmiquilpan","560","CONTIGUA 2","152","102","8","1","3","10","7","26","2","1","0","1","0","0","5"
"Ixmiquilpan","561","BASICA","198","83","4","0","0","6","10","14","5","0","0","0","1","0","3"
"Ixmiquilpan","561","CONTIGUA 1","187","114","7","0","0","11","3","6","2","0","1","0","0","0","4"
"Ixmiquilpan","561","CONTIGUA 2","170","115","2","0","0","6","1","9","1","0","1","0","0","0","6"
"Ixmiquilpan","562","BASICA","208","126","17","0","2","5","21","21","8","0","0","0","0","0","5"
"Ixmiquilpan","562","CONTIGUA 1","196","136","8","1","1","10","27","18","3","2","0","2","0","0","8"
"Ixmiquilpan","563","BASICA","163","90","4","1","2","3","16","19","4","2","0","0","0","0","5"
"Ixmiquilpan","563","CONTIGUA 1","192","83","6","0","2","3","17","17","2","0","0","1","0","0","7"
"Ixmiquilpan","563","CONTIGUA 2","163","101","8","1","1","2","15","18","4","0","0","0","0","0","5"
"Ixmiquilpan","563","ESPECIAL 1","45","32","1","0","0","2","8","14","4","0","0","0","0","0","3"
"Ixmiquilpan","564","BASICA","72","53","5","2","1","1","3","2","0","1","0","0","0","0","7"
"Ixmiquilpan","565","BASICA","140","23","8","2","1","0","2","9","0","0","0","0","0","0","13"
"Ixmiquilpan","566","BASICA","89","42","4","1","1","2","1","6","0","0","0","0","0","0","3"
"Ixmiquilpan","567","BASICA","80","10","0","2","0","1","2","6","0","0","1","0","0","0","3"
"Ixmiquilpan","568","BASICA","138","50","6","1","0","1","21","5","2","0","0","1","0","0","3"
"Ixmiquilpan","568","CONTIGUA 1","125","57","3","2","2","1","13","14","3","0","0","0","0","0","10"
"Ixmiquilpan","569","BASICA","127","116","25","6","0","0","9","44","2","0","1","1","0","0","16"
"Ixmiquilpan","570","BASICA","107","37","10","1","2","1","4","6","2","0","0","0","0","0","2"
"Ixmiquilpan","571","BASICA","7","100","1","0","2","1","5","6","0","0","0","0","0","0","2"
"Ixmiquilpan","572","BASICA","99","106","0","1","0","0","4","25","1","0","0","0","0","0","2"
"Ixmiquilpan","573","BASICA","39","35","0","1","0","1","2","0","0","0","0","0","0","0","1"
"Ixmiquilpan","574","BASICA","191","131","3","2","2","3","11","12","0","0","0","0","0","0","10"
"Ixmiquilpan","575","BASICA","142","140","4","2","1","3","17","26","5","0","0","0","0","0","14"
