"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NOLDYN TORRES MARTÍNEZ","NO REGISTRADO","NULO"
"Jacala de Ledezma","608","BASICA","0","137","196","0","1","0","2","4","1","111","0","10"
"Jacala de Ledezma","608","CONTIGUA 1","0","147","187","0","0","0","9","1","1","107","0","10"
"Jacala de Ledezma","608","CONTIGUA 2","0","150","165","0","3","0","6","2","1","119","0","9"
"Jacala de Ledezma","609","BASICA","0","187","195","0","0","0","8","3","1","102","0","15"
"Jacala de Ledezma","609","CONTIGUA 1","0","204","191","0","2","0","6","9","2","83","0","7"
"Jacala de Ledezma","609","ESPECIAL 1","0","4","12","0","0","0","1","1","0","3","0","3"
"Jacala de Ledezma","610","BASICA","0","87","129","0","2","0","2","0","1","52","0","14"
"Jacala de Ledezma","611","BASICA","0","141","137","0","1","0","1","3","0","26","0","9"
"Jacala de Ledezma","612","BASICA","0","80","95","0","0","0","3","3","0","97","0","21"
"Jacala de Ledezma","613","BASICA","0","109","134","0","3","0","6","1","0","106","0","16"
"Jacala de Ledezma","614","BASICA","0","196","178","0","5","0","8","4","4","101","1","11"
"Jacala de Ledezma","615","BASICA","0","24","80","0","1","0","1","1","0","17","0","7"
"Jacala de Ledezma","616","BASICA","0","17","73","0","2","0","1","0","0","30","0","1"
"Jacala de Ledezma","617","BASICA","0","19","19","0","2","0","2","0","0","28","0","1"
"Jacala de Ledezma","618","BASICA","0","75","115","0","0","0","4","2","1","21","0","11"
"Jacala de Ledezma","620","BASICA","0","152","105","0","3","0","4","1","0","50","0","16"
"Jacala de Ledezma","620","CONTIGUA 1","0","136","106","0","1","0","2","1","0","31","0","15"
"Jacala de Ledezma","621","BASICA","0","46","47","0","1","0","3","0","1","46","0","4"
"Jacala de Ledezma","622","BASICA","0","103","126","0","0","0","0","0","0","56","2","6"
"Jacala de Ledezma","625","BASICA","0","65","26","0","0","0","2","1","0","10","0","0"
"Jacala de Ledezma","626","BASICA","0","66","22","0","0","0","2","3","0","12","0","5"
"Jacala de Ledezma","627","BASICA","0","117","99","0","2","0","3","0","0","70","0","17"
"Jacala de Ledezma","628","BASICA","0","68","61","0","1","0","2","0","0","39","0","5"
"Jacala de Ledezma","629","BASICA","0","131","79","0","0","0","3","19","2","81","0","13"
