"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO","...15"
"Santiago Tulantepec de Lugo Guerrero","1110","BASICA","90","125","113","2","4","12","21","11","4","0","12",NA
"Santiago Tulantepec de Lugo Guerrero","1110","CONTIGUA 1","104","120","102","4","6","19","17","16","4","0","10",NA
"Santiago Tulantepec de Lugo Guerrero","1110","CONTIGUA 2","110","134","123","2","5","14","19","10","4","0","5",NA
"Santiago Tulantepec de Lugo Guerrero","1110","CONTIGUA 3","133","112","109","4","6","10","27","13","3","0","7",NA
"Santiago Tulantepec de Lugo Guerrero","1111","BASICA","101","115","158","0","4","12","41","6","7","0","9",NA
"Santiago Tulantepec de Lugo Guerrero","1111","CONTIGUA 1","117","129","126","0","8","11","44","14","2","0","6",NA
"Santiago Tulantepec de Lugo Guerrero","1111","CONTIGUA 2","99","125","144","3","8","17","40","3","0","0","7",NA
"Santiago Tulantepec de Lugo Guerrero","1112","BASICA","66","133","142","2","2","14","25","7","3","0","8",NA
"Santiago Tulantepec de Lugo Guerrero","1112","CONTIGUA 2","94","109","138","0","4","17","30","5","6","1","7","ANULADA"
"Santiago Tulantepec de Lugo Guerrero","1113","BASICA","100","102","129","0","4","7","14","11","2","0","6",NA
"Santiago Tulantepec de Lugo Guerrero","1113","CONTIGUA 1","89","107","110","2","3","8","19","33","2","0","7","ANULADA"
"Santiago Tulantepec de Lugo Guerrero","1113","CONTIGUA 2","78","114","115","15","3","12","25","10","3","0","11","ANULADA"
"Santiago Tulantepec de Lugo Guerrero","1114","BASICA","102","112","110","2","1","7","27","9","7","0","5",NA
"Santiago Tulantepec de Lugo Guerrero","1114","CONTIGUA 1","104","109","88","3","8","9","13","13","2","0","15",NA
"Santiago Tulantepec de Lugo Guerrero","1114","CONTIGUA 2","108","107","123","2","5","8","28","11","4","0","9",NA
"Santiago Tulantepec de Lugo Guerrero","1114","CONTIGUA 3","118","104","105","4","1","3","13","13","7","0","0",NA
"Santiago Tulantepec de Lugo Guerrero","1114","CONTIGUA 4","107","115","114","2","1","14","23","10","4","0","8",NA
"Santiago Tulantepec de Lugo Guerrero","1114","CONTIGUA 5","106","101","121","1","0","10","24","7","5","0","9",NA
"Santiago Tulantepec de Lugo Guerrero","1114","CONTIGUA 6","98","97","275","1","2","11","20","9","7","0","4",NA
"Santiago Tulantepec de Lugo Guerrero","1115","BASICA","94","110","31","2","1","3","4","4","5","0","0",NA
"Santiago Tulantepec de Lugo Guerrero","1116","BASICA","80","106","75","2","3","35","15","12","10","0","17",NA
"Santiago Tulantepec de Lugo Guerrero","1116","CONTIGUA 1","82","97","63","3","3","27","13","19","13","5","8",NA
"Santiago Tulantepec de Lugo Guerrero","1116","CONTIGUA 2","78","110","66","2","5","22","21","16","6","0","5",NA
"Santiago Tulantepec de Lugo Guerrero","1116","CONTIGUA 3","84","98","64","1","3","25","18","15","8","0","14",NA
"Santiago Tulantepec de Lugo Guerrero","1116","CONTIGUA 4","74","140","60","4","5","28","23","15","8","0","9",NA
"Santiago Tulantepec de Lugo Guerrero","1116","CONTIGUA 5","76","99","71","2","4","31","15","10","8","0","10",NA
"Santiago Tulantepec de Lugo Guerrero","1116","EXTRAORDINARIA 01","92","111","113","2","4","8","8","21","3","0","9",NA
"Santiago Tulantepec de Lugo Guerrero","1116","EXTRAORDINARIA 01 CONTIGUA 01","66","112","152","3","4","6","15","14","4","0","31",NA
"Santiago Tulantepec de Lugo Guerrero","1117","BASICA","37","109","119","1","4","4","35","13","3","0","5",NA
"Santiago Tulantepec de Lugo Guerrero","1117","CONTIGUA 1","84","138","102","2","5","1","58","9","0","0","0",NA
"Santiago Tulantepec de Lugo Guerrero","1118","BASICA","81","154","102","2","6","2","6","7","3","0","12",NA
"Santiago Tulantepec de Lugo Guerrero","1118","CONTIGUA 1","62","225","95","2","4","12","6","11","2","0","15",NA
"Santiago Tulantepec de Lugo Guerrero","1118","CONTIGUA 2","102","167","79","5","5","6","9","9","2","1","12",NA
"Santiago Tulantepec de Lugo Guerrero","1118","CONTIGUA 3","102","129","97","3","3","6","15","12","3","0","14",NA
"Santiago Tulantepec de Lugo Guerrero","1119","BASICA","48","111","74","1","1","1","6","2","0","0","7",NA
"Santiago Tulantepec de Lugo Guerrero","1120","BASICA","82","213","160","2","0","6","36","13","1","0","4",NA
