"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","JUAN CARLOS SÁNCHEZ RIVERA","JUAN LUIS HERNÁNDEZ CÁZARES","NO REGISTRADO","NULO","...17"
"Cuautepec De Hinojosa","257","BASICA","89","107","15","7","41","7","40","21","15","24","1","0","6",NA
"Cuautepec De Hinojosa","257","CONTIGUA 1","46","76","26","5","32","7","38","28","25","24","7","0","10",NA
"Cuautepec De Hinojosa","257","CONTIGUA 2","60","69","18","9","21","3","48","22","16","50","9","0","11",NA
"Cuautepec De Hinojosa","257","CONTIGUA 3","51","97","27","9","41","9","36","33","12","49","3","0","9",NA
"Cuautepec De Hinojosa","258","BASICA","36","95","22","16","60","3","51","16","31","36","10","0","11",NA
"Cuautepec De Hinojosa","258","CONTIGUA 1","30","109","34","18","47","1","55","14","27","37","14","1","12",NA
"Cuautepec De Hinojosa","258","CONTIGUA 2","42","112","23","7","53","4","63","16","28","37","2","3","11",NA
"Cuautepec De Hinojosa","258","CONTIGUA 3","46","90","28","9","39","1","77","20","33","46","10","0","6",NA
"Cuautepec De Hinojosa","259","BASICA","23","90","6","8","37","2","71","28","28","29","7","0","9",NA
"Cuautepec De Hinojosa","259","CONTIGUA 1","26","103","3","13","38","5","72","26","35","27","7","0","4",NA
"Cuautepec De Hinojosa","259","CONTIGUA 2","11","102","5","13","42","0","87","13","26","19","2","0","2",NA
"Cuautepec De Hinojosa","260","BASICA","28","69","3","3","39","1","64","12","22","22","6","0","7",NA
"Cuautepec De Hinojosa","260","CONTIGUA 1","26","72","4","8","23","1","73","7","18","19","5","0","5",NA
"Cuautepec De Hinojosa","261","BASICA","37","133","8","9","29","0","85","31","26","40","5","0","15",NA
"Cuautepec De Hinojosa","261","CONTIGUA 1","20","164","8","6","44","1","91","24","17","20","5","0","12",NA
"Cuautepec De Hinojosa","262","BASICA","77","87","18","4","26","2","44","26","10","33","3","0","16",NA
"Cuautepec De Hinojosa","262","CONTIGUA 1","55","87","13","10","19","0","58","10","11","33","4","0","7",NA
"Cuautepec De Hinojosa","262","CONTIGUA 2","62","84","6","11","23","1","62","16","25","40","8","1","7",NA
"Cuautepec De Hinojosa","262","CONTIGUA 3","68","60","14","4","31","1","51","16","22","27","2","0","13",NA
"Cuautepec De Hinojosa","263","BASICA","27","86","4","10","18","0","85","14","13","49","2","2","10",NA
"Cuautepec De Hinojosa","263","CONTIGUA 1","33","67","4","8","20","1","99","20","32","40","0","0","8",NA
"Cuautepec De Hinojosa","264","BASICA","42","81","56","22","65","1","29","27","16","49","4","0","20",NA
"Cuautepec De Hinojosa","264","CONTIGUA 1","17","111","91","74","30","1","35","35","12","43","5","0","15",NA
"Cuautepec De Hinojosa","264","CONTIGUA 2","18","103","77","33","63","1","28","35","14","42","2","0","15",NA
"Cuautepec De Hinojosa","264","CONTIGUA 3","40","70","64","26","55","1","33","28","20","54","5","0","10",NA
"Cuautepec De Hinojosa","265","CONTIGUA 1","37","89","18","42","21","3","41","45","17","22","8","0","9",NA
"Cuautepec De Hinojosa","265","CONTIGUA 2","33","97","29","22","34","0","43","46","18","26","8","0","10",NA
