"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO","...15"
"Pisaflores","962","BASICA","126","225","0","0","0","0","91","3","0","0","9",NA
"Pisaflores","962","CONTIGUA 1","144","209","0","0","0","0","60","3","0","0","5",NA
"Pisaflores","962","CONTIGUA 2","156","221","0","0","0","0","58","8","0","0","9",NA
"Pisaflores","962","CONTIGUA 3","146","202","0","0","0","0","65","6","0","0","9",NA
"Pisaflores","963","BASICA","185","135","0","0","0","0","88","2","0","0","3",NA
"Pisaflores","964","BASICA","116","80","0","0","0","0","51","1","0","0","8",NA
"Pisaflores","965","BASICA","80","107","0","0","0","0","46","1","0","0","8","ANULADA"
"Pisaflores","966","BASICA","125","105","0","0","0","0","55","1","0","0","25",NA
"Pisaflores","967","BASICA","205","248","0","0","0","0","62","0","0","0","24",NA
"Pisaflores","967","EXTRAORDINARIA 1","148","106","0","0","0","0","54","0","0","0","9",NA
"Pisaflores","968","BASICA","75","23","0","0","0","0","10","0","0","0","1",NA
"Pisaflores","969","BASICA","86","107","0","0","0","0","10","0","0","0","5","ANULADA"
"Pisaflores","970","BASICA","136","151","0","0","0","0","95","0","0","0","7",NA
"Pisaflores","970","CONTIGUA 1","145","179","0","0","0","0","66","1","0","0","9",NA
"Pisaflores","971","BASICA","140","54","0","0","0","0","79","0","0","0","6",NA
"Pisaflores","972","BASICA","153","143","0","0","0","0","58","0","0","0","6",NA
"Pisaflores","972","CONTIGUA 1","96","143","0","0","0","0","64","0","0","0","8",NA
"Pisaflores","972","EXTRAORDINARIA 1","65","152","0","0","0","0","121","2","0","0","9",NA
"Pisaflores","973","BASICA","106","98","0","0","0","0","106","0","0","0","7",NA
"Pisaflores","974","BASICA","71","120","0","0","0","0","108","1","0","0","10",NA
"Pisaflores","975","BASICA","159","104","0","0","0","0","28","3","0","0","10",NA
"Pisaflores","976","BASICA","120","161","0","0","0","0","17","4","0","0","3",NA
"Pisaflores","977","BASICA","70","47","0","0","0","0","64","0","0","0","4",NA
"Pisaflores","978","BASICA","138","105","0","0","0","0","162","1","0","0","11",NA
"Pisaflores","979","BASICA","66","69","0","0","0","0","32","2","0","0","4",NA
"Pisaflores","980","BASICA","44","86","0","0","0","0","6","3","0","0","4",NA
"Pisaflores","981","BASICA","122","94","0","0","0","0","69","1","0","0","7",NA
