"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Zacualtipán De Ángeles","1600","BASICA","35","53","36","4","26","195","9","12","19","0","11"
"Zacualtipán De Ángeles","1600","CONTIGUA 1","34","49","28","4","21","228","12","16","19","0","12"
"Zacualtipán De Ángeles","1600","CONTIGUA 2","24","40","45","7","32","201","4","10","23","0","5"
"Zacualtipán De Ángeles","1600","CONTIGUA 3","33","54","32","12","21","184","20","13","28","0","12"
"Zacualtipán De Ángeles","1600","CONTIGUA 4","26","52","28","5","26","226","7","7","18","0","9"
"Zacualtipán De Ángeles","1600","CONTIGUA 5","17","60","30","5","18","213","13","22","22","0","12"
"Zacualtipán De Ángeles","1601","BASICA","10","50","17","2","15","252","8","8","5","0","10"
"Zacualtipán De Ángeles","1601","CONTIGUA 1","24","46","17","6","11","224","15","8","16","0","13"
"Zacualtipán De Ángeles","1601","CONTIGUA 2","20","56","8","3","14","278","8","6","7","0","14"
"Zacualtipán De Ángeles","1602","BASICA","21","53","17","3","16","192","13","10","6","0","8"
"Zacualtipán De Ángeles","1602","CONTIGUA 1","40","43","12","7","16","174","18","5","6","0","4"
"Zacualtipán De Ángeles","1602","CONTIGUA 2","20","80","16","4","18","175","12","9","11","0","8"
"Zacualtipán De Ángeles","1602","CONTIGUA 3","32","87","15","6","19","200","12","5","3","0","8"
"Zacualtipán De Ángeles","1603","BASICA","42","115","11","12","36","175","9","24","11","0","15"
"Zacualtipán De Ángeles","1603","CONTIGUA 1","40","139","10","15","47","158","8","13","3","0","10"
"Zacualtipán De Ángeles","1604","BASICA","63","112","20","3","58","172","21","12","9","0","9"
"Zacualtipán De Ángeles","1604","CONTIGUA 1","83","109","18","7","56","166","19","11","15","0","23"
"Zacualtipán De Ángeles","1605","BASICA","43","70","45","5","43","117","10","15","14","0","7"
"Zacualtipán De Ángeles","1605","CONTIGUA 1","38","74","53","9","46","133","5","10","6","0","9"
"Zacualtipán De Ángeles","1605","CONTIGUA 2","55","108","38","5","37","113","9","13","4","0","7"
"Zacualtipán De Ángeles","1606","BASICA","35","90","44","9","19","138","17","13","7","0","10"
"Zacualtipán De Ángeles","1606","CONTIGUA 1","23","83","41","19","15","115","17","7","13","0","15"
"Zacualtipán De Ángeles","1606","CONTIGUA 2","44","84","30","11","19","119","27","11","7","0","5"
"Zacualtipán De Ángeles","1606","CONTIGUA 3","27","86","26","13","19","150","9","8","12","0","8"
"Zacualtipán De Ángeles","1607","BASICA","24","139","14","6","29","128","10","12","11","0","8"
"Zacualtipán De Ángeles","1607","CONTIGUA 1","38","116","19","4","13","116","17","10","12","0","9"
"Zacualtipán De Ángeles","1607","ESPECIAL 1","10","10","18","2","5","27","2","7","7","0","6"
"Zacualtipán De Ángeles","1608","BASICA","58","88","38","8","22","168","19","15","17","0","9"
"Zacualtipán De Ángeles","1608","CONTIGUA 1","33","118","43","10","34","139","16","22","10","0","14"
"Zacualtipán De Ángeles","1608","CONTIGUA 2","44","107","33","4","33","155","15","22","12","0","15"
"Zacualtipán De Ángeles","1609","BASICA","32","85","55","10","76","5","8","10","0","0","18"
"Zacualtipán De Ángeles","1610","BASICA","25","98","48","9","99","20","9","51","17","0","17"
"Zacualtipán De Ángeles","1611","BASICA","11","51","10","5","44","17","16","3","0","0","6"
"Zacualtipán De Ángeles","1611","CONTIGUA 1","11","48","14","3","56","23","6","3","1","0","7"
"Zacualtipán De Ángeles","1612","BASICA","15","43","8","2","27","72","11","10","6","1","3"
"Zacualtipán De Ángeles","1613","BASICA","13","63","181","5","6","38","32","12","9","0","9"
"Zacualtipán De Ángeles","1614","BASICA","52","80","39","1","6","20","39","11","4","0","12"
"Zacualtipán De Ángeles","1614","CONTIGUA 1","72","80","26","3","2","19","49","16","2","0","10"
"Zacualtipán De Ángeles","1615","BASICA","85","57","22","4","15","15","16","22","3","0","10"
"Zacualtipán De Ángeles","1615","CONTIGUA 1","72","42","17","2","20","27","17","18","4","0","16"
"Zacualtipán De Ángeles","1616","BASICA","52","71","36","15","52","122","30","11","11","0","17"
"Zacualtipán De Ángeles","1617","BASICA","15","127","9","0","29","17","13","5","5","0","11"
"Zacualtipán De Ángeles","1618","BASICA","36","63","20","6","31","66","32","5","3","0","4"
"Zacualtipán De Ángeles","1618","CONTIGUA 1","33","57","20","3","27","64","24","2","8","0","6"
