"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Mixquiahuala De Juárez","743","BASICA","56","70","9","180","32","18","8","15","10","0","6"
"Mixquiahuala De Juárez","743","CONTIGUA1","57","67","12","146","38","14","14","16","9","1","9"
"Mixquiahuala De Juárez","743","CONTIGUA2","37","69","7","159","47","4","12","16","5","0","8"
"Mixquiahuala De Juárez","744","BASICA","16","71","10","117","66","9","9","9","1","0","9"
"Mixquiahuala De Juárez","744","CONTIGUA1","15","79","14","117","59","10","14","12","7","0","6"
"Mixquiahuala De Juárez","744","CONTIGUA2","29","44","7","122","69","7","6","10","14","0","10"
"Mixquiahuala De Juárez","745","BASICA","27","72","13","177","41","8","27","23","9","0","12"
"Mixquiahuala De Juárez","745","CONTIGUA1","27","82","12","189","45","18","22","22","18","0","10"
"Mixquiahuala De Juárez","746","BASICA","14","74","15","137","7","2","10","14","0","0","0"
"Mixquiahuala De Juárez","746","CONTIGUA1","13","77","9","140","57","6","22","15","6","1","12"
"Mixquiahuala De Juárez","746","CONTIGUA2","23","79","11","148","31","2","26","12","7","0","11"
"Mixquiahuala De Juárez","747","BASICA","18","96","13","128","45","4","31","26","13","0","7"
"Mixquiahuala De Juárez","747","CONTIGUA1","16","84","11","105","37","6","31","32","14","0","3"
"Mixquiahuala De Juárez","748","BASICA","13","62","14","181","29","11","15","18","5","0","11"
"Mixquiahuala De Juárez","748","CONTIGUA1","17","69","18","164","29","13","26","18","6","0","7"
"Mixquiahuala De Juárez","748","CONTIGUA2","20","78","10","171","28","6","24","20","6","0","4"
"Mixquiahuala De Juárez","748","ESPECIAL","0","2","2","3","2","0","4","1","0","0","0"
"Mixquiahuala De Juárez","749","BASICA","14","109","17","212","43","0","14","15","8","1","7"
"Mixquiahuala De Juárez","749","CONTIGUA1","18","89","18","242","27","21","10","12","7","1","21"
"Mixquiahuala De Juárez","750","BASICA","23","78","8","159","104","7","20","31","11","0","7"
"Mixquiahuala De Juárez","750","CONTIGUA1","20","63","17","146","73","9","20","44","16","0","8"
"Mixquiahuala De Juárez","750","CONTIGUA2","36","88","17","115","100","7","24","32","22","0","7"
"Mixquiahuala De Juárez","751","BASICA","14","44","4","74","168","0","15","28","6","0","5"
"Mixquiahuala De Juárez","751","CONTIGUA1","20","72","9","57","142","7","8","35","7","0","7"
"Mixquiahuala De Juárez","751","CONTIGUA2","16","51","11","80","171","4","6","35","21","0","5"
"Mixquiahuala De Juárez","751","CONTIGUA3","12","67","19","86","119","3","10","50","24","0","8"
"Mixquiahuala De Juárez","752","BASICA","34","66","3","96","121","7","9","43","8","0","10"
"Mixquiahuala De Juárez","752","CONTIGUA1","43","62","9","99","104","12","18","39","12","0","3"
"Mixquiahuala De Juárez","753","BASICA","11","55","10","127","55","6","18","27","13","0","5"
"Mixquiahuala De Juárez","753","CONTIGUA1","13","84","11","127","33","10","24","16","8","1","5"
"Mixquiahuala De Juárez","753","CONTIGUA2","14","80","17","109","49","12","18","24","5","0","8"
"Mixquiahuala De Juárez","754","BASICA","5","98","5","80","78","10","21","32","2","0","10"
"Mixquiahuala De Juárez","755","BASICA","4","67","6","86","35","1","44","6","2","0","6"
"Mixquiahuala De Juárez","755","CONTIGUA1","6","66","9","64","33","1","69","3","1","0","4"
"Mixquiahuala De Juárez","756","BASICA","9","83","15","45","14","6","66","19","7","0","6"
"Mixquiahuala De Juárez","756","CONTIGUA1","11","70","13","44","16","11","74","16","6","0","12"
"Mixquiahuala De Juárez","756","CONTIGUA2","11","89","21","49","6","10","79","13","8","0","5"
"Mixquiahuala De Juárez","757","BASICA","22","94","28","75","40","10","19","28","6","1","9"
"Mixquiahuala De Juárez","757","CONTIGUA1","16","83","14","93","47","9","4","13","14","0","11"
"Mixquiahuala De Juárez","758","BASICA","8","141","7","150","18","3","14","16","3","0","8"
"Mixquiahuala De Juárez","758","CONTIGUA1","11","133","13","139","32","7","22","20","4","0","17"
"Mixquiahuala De Juárez","759","BASICA","3","85","5","101","50","9","81","14","6","0","4"
"Mixquiahuala De Juárez","759","CONTIGUA1","8","74","8","91","31","6","78","11","10","0","6"
"Mixquiahuala De Juárez","759","CONTIGUA2","6","102","5","70","55","12","83","15","3","0","9"
"Mixquiahuala De Juárez","760","BASICA","11","79","18","119","96","3","7","10","7","0","17"
"Mixquiahuala De Juárez","761","BASICA","9","141","12","114","63","12","33","13","14","0","13"
"Mixquiahuala De Juárez","761","CONTIGUA1","12","130","13","97","98","10","34","15","4","0","5"
"Mixquiahuala De Juárez","761","CONTIGUA2","15","143","11","86","61","12","43","18","6","0","3"
"Mixquiahuala De Juárez","762","BASICA","24","69","8","83","46","4","14","6","2","0","9"
"Mixquiahuala De Juárez","762","CONTIGUA1","28","89","3","83","43","5","17","3","3","0","6"
"Mixquiahuala De Juárez","763","BASICA","9","64","12","69","46","5","15","23","2","0","5"
"Mixquiahuala De Juárez","763","CONTIGUA1","19","48","6","76","55","14","23","10","4","0","6"
"Mixquiahuala De Juárez","764","BASICA","12","94","10","62","14","2","7","18","1","0","4"
