"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","MARÍA ELENA JIMÉNEZ GUZMÁN","J. GUADALUPE SANTIAGO AGUILAR","NO REGISTRADO","NULO"
"Tezontepec De Aldama","1310","BASICA","171","80","3","0","2","101","3","29","0","2","0","0","0","25","16","0","10"
"Tezontepec De Aldama","1310","CONTIGUA 1","165","77","12","0","3","117","2","32","0","0","0","0","0","52","19","0","7"
"Tezontepec De Aldama","1310","CONTIGUA 2","160","80","5","0","2","109","2","25","2","4","0","0","0","28","16","0","5"
"Tezontepec De Aldama","1310","CONTIGUA 3","150","87","4","0","3","113","4","26","2","1","2","0","0","26","23","0","6"
"Tezontepec De Aldama","1311","BASICA","79","214","3","0","4","114","7","35","0","13","0","0","0","7","6","0","3"
"Tezontepec De Aldama","1311","CONTIGUA 1","77","216","4","0","3","104","1","42","2","5","1","0","0","9","10","0","14"
"Tezontepec De Aldama","1311","CONTIGUA 2","60","201","9","0","2","127","5","41","3","1","2","0","6","8","6","0","5"
"Tezontepec De Aldama","1312","BASICA","63","50","3","0","2","157","3","10","1","2","0","0","0","13","5","0","13"
"Tezontepec De Aldama","1312","CONTIGUA 1","57","57","14","0","7","161","2","23","1","3","1","0","0","9","5","0","7"
"Tezontepec De Aldama","1313","BASICA","104","70","1","0","3","171","1","35","0","1","0","0","0","25","5","0","7"
"Tezontepec De Aldama","1313","CONTIGUA 1","94","86","3","0","2","179","0","35","3","1","1","1","0","31","3","0","1"
"Tezontepec De Aldama","1313","CONTIGUA 2","108","68","4","0","1","191","2","35","2","0","0","0","0","28","6","0","6"
