"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Jaltocan","630","BASICA","7","133","345",NA,"8","8","6","1","24","0","17"
"Jaltocan","631","BASICA","4","220","233","0","4","11","6","1","13","0","10"
"Jaltocan","631","CONTIGUA 1","2","173","262","0","10","6","7","9","12","0","14"
"Jaltocan","631","CONTIGUA 2","12","191","252","0","3","16","10","3","14","0","11"
"Jaltocan","632","BASICA","4","168","253","0","3","25","11","2","17","0","15"
"Jaltocan","632","CONTIGUA 1","12","163","249","0","0","23","15","0","20","0","11"
"Jaltocan","632","CONTIGUA 2","8","160","243","0","2","38","10","2","13","0","12"
"Jaltocan","633","BASICA","3","111","188","0","0","2","5","0","15","0","9"
"Jaltocan","634","BASICA","2","104","164","0","3","1","7","1","3","0","6"
"Jaltocan","635","BASICA","4","68","75","0","1","1","5","2","12","0","9"
"Jaltocan","636","BASICA","9","60","51","0","2","5","31","1","12","0","2"
"Jaltocan","637","BASICA","1","64","76","0","2","1","4","2","1","0","7"
"Jaltocan","638","BASICA","0","73","112","0","1","2","1","3","5","0","6"
"Jaltocan","639","BASICA","1","86","168","0","0","2","1","3","1","0","8"
"Jaltocan","640","BASICA","0","141","241","0","7","4","41","5","45","0","21"
"Jaltocan","641","BASICA","0","109","220","0","1","1","4","0","2","0","15"
