"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Yahualica","1591","BASICA","7","96","26","1","2","3","95","0","44","0","11"
"Yahualica","1585","BASICA","45","148","107","19","10","11","26","0","166","1","26"
"Yahualica","1585","CONTIGUA1","51","151","111","10","10","13","25","0","156","0","18"
"Yahualica","1585","CONTIGUA2","72","127","119","8","9","14","22","0","159","0","18"
"Yahualica","1586","BASICA","78","174","87","1","0","7","9","0","126","0","15"
"Yahualica","1586","CONTIGUA1","71","185","103","5","3","2","5","0","103","0","24"
"Yahualica","1586","CONTIGUA2","93","138","118","1","0","0","4","0","118","0","8"
"Yahualica","1587","BASICA","15","153","64","9","1","0","17","0","224","0","13"
"Yahualica","1587","CONTIGUA1","27","144","40","7","0","1","4","0","252","0","10"
"Yahualica","1587","CONTIGUA2","17","147","49","16","0","1","11","0","227","0","9"
"Yahualica","1588","BASICA","152","157","92","2","2","2","36","0","117","0","0"
"Yahualica","1588","EXTRAORDINARIA","63","32","21","23","0","3","75","0","47","4","7"
"Yahualica","1589","BASICA","42","93","33","10","5","2","121","0","78","0","18"
"Yahualica","1590","BASICA","97","52","33","4","2","2","38","0","128","0","13"
"Yahualica","1590","CONTIGUA1","102","60","33","8","1","2","46","0","117","1","17"
"Yahualica","1592","BASICA","13","267","101","16","0","4","14","0","182","0","27"
"Yahualica","1593","BASICA","59","149","66","22","2","4","15","0","154","0","35"
"Yahualica","1593","CONTIGUA1","29","169","71","27","2","2","13","0","160","0","24"
"Yahualica","1594","BASICA","35","51","67","5","1","2","40","0","61","0","21"
"Yahualica","1595","BASICA","58","76","17","4","1","6","34","0","92","0","12"
"Yahualica","1596","BASICA","65","60","44","2","0","3","6","0","101","0","7"
"Yahualica","1597","BASICA","59","71","60","13","2","0","8","0","114","0","15"
"Yahualica","1598","BASICA","27","179","96","4","7","23","16","0","215","0","23"
"Yahualica","1598","CONTIGUA1","46","175","119","5","3","18","11","0","184","0","9"
"Yahualica","1598","CONTIGUA2","44","174","104","6","1","19","9","0","188","0","17"
"Yahualica","1598","CONTIGUA3","35","181","125","4","2","20","10","0","151","0","24"
"Yahualica","1598","EXTRAORDINARIA","10","57","65","11","6","1","51","0","43","0","9"
"Yahualica","1599","BASICA","31","123","166","16","3","3","107","0","99","0","37"
"Yahualica","1599","EXTRAORDINARIA","36","115","46","27","1","19","10","0","105","0","13"
